---- START at 2025-08-18 09:57:06, Target=1779/1779 ----
[54/1779] QOFDIA08_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6707.9s, Completed=76/1779, ETA=2025-08-21 02:29:42
[87/1779] EXUHUC_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2583.9s, Completed=77/1779, ETA=2025-08-21 02:05:51
[96/1779] IYUCEM_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1644.8s, Completed=78/1779, ETA=2025-08-21 02:35:21
[99/1779] UMOYOM10_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1475.8s, Completed=79/1779, ETA=2025-08-21 01:56:27
[61/1779] PURJIW_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6133.0s, Completed=80/1779, ETA=2025-08-21 01:56:30
[98/1779] FASHOX_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1614.1s, Completed=81/1779, ETA=2025-08-21 01:10:54
[97/1779] ULOKUD01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1887.3s, Completed=82/1779, ETA=2025-08-21 01:25:03
[84/1779] XEDPIH_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3479.0s, Completed=83/1779, ETA=2025-08-21 00:45:10
[7/1779] PEJFOA_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=10765.5s, Completed=84/1779, ETA=2025-08-21 01:17:03
[83/1779] EVURAP_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3981.0s, Completed=85/1779, ETA=2025-08-21 01:40:55
[105/1779] BOXFOK_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1185.7s, Completed=86/1779, ETA=2025-08-21 01:00:28
[94/1779] ja907023c_si_004_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2660.2s, Completed=87/1779, ETA=2025-08-21 00:42:09
[107/1779] FEWXIQ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1408.9s, Completed=88/1779, ETA=2025-08-21 01:59:27
[73/1779] QIWGOU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5683.8s, Completed=89/1779, ETA=2025-08-21 01:36:21
[67/1779] POBMOJ01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6896.1s, Completed=90/1779, ETA=2025-08-21 01:48:42
[89/1779] ULILEI_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4041.3s, Completed=91/1779, ETA=2025-08-21 02:04:30
[100/1779] NOCLOH02_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3052.0s, Completed=92/1779, ETA=2025-08-21 01:27:59
[75/1779] VUQKUO_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5968.8s, Completed=93/1779, ETA=2025-08-21 01:47:12
[117/1779] XOTHAP_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1162.2s, Completed=94/1779, ETA=2025-08-21 02:08:23
[119/1779] RUHFOR_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=760.5s, Completed=95/1779, ETA=2025-08-21 01:32:30
[90/1779] VITZAB_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4404.4s, Completed=96/1779, ETA=2025-08-21 00:53:06
[109/1779] VEMMEG_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2042.3s, Completed=97/1779, ETA=2025-08-21 00:28:17
[95/1779] ODIVUU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3877.4s, Completed=98/1779, ETA=2025-08-21 00:00:32
[88/1779] VURNED01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4585.3s, Completed=99/1779, ETA=2025-08-20 23:24:16
[104/1779] PEPLAY_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2621.5s, Completed=100/1779, ETA=2025-08-20 23:03:27
[47/1779] WOYWIS_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=9894.5s, Completed=101/1779, ETA=2025-08-20 23:06:06
[123/1779] VABKAN_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=569.9s, Completed=102/1779, ETA=2025-08-20 22:54:54
[112/1779] YASVUM_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2082.0s, Completed=103/1779, ETA=2025-08-20 22:28:01
[120/1779] REWNEO01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1168.5s, Completed=104/1779, ETA=2025-08-20 22:46:02
[5/1779] HACDOH_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=13012.1s, Completed=105/1779, ETA=2025-08-20 23:11:29
[92/1779] ERAQAR_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5096.6s, Completed=106/1779, ETA=2025-08-20 22:54:58
[114/1779] GUHNUU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2339.8s, Completed=107/1779, ETA=2025-08-20 22:28:36
[113/1779] SUSZOW_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2620.4s, Completed=108/1779, ETA=2025-08-20 22:12:20
[101/1779] SAPHOI_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4388.3s, Completed=109/1779, ETA=2025-08-20 21:44:34
[131/1779] acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1072.7s, Completed=110/1779, ETA=2025-08-20 22:55:03
[125/1779] ECUGEQ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1413.9s, Completed=111/1779, ETA=2025-08-20 22:40:12
