---- START at 2025-08-08 15:20:13, Target=8268/8268 ----
[23/8268] QUSSAA_clean_argon_273.0K_0.01bar_14.0 FAILED: Command '/home/yongsang/PSID_SIMULATION_TOOLS/RASPA/bin/simulate simulation.input' died with <Signals.SIGINT: 2>.
[3/8268] FITHIA_clean_argon_273.0K_0.01bar_14.0 FAILED: Command '/home/yongsang/PSID_SIMULATION_TOOLS/RASPA/bin/simulate simulation.input' died with <Signals.SIGINT: 2>.

---- RESTART at 2025-08-08 15:20:18, Remain=8268/8268 ----
[88/8268] YARSAN_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=146.2s, Completed=80/8268, ETA=2025-08-09 03:23:51
[99/8268] XEYMAR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=103.7s, Completed=81/8268, ETA=2025-08-09 03:35:13
[98/8268] UMOBEF08_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=108.6s, Completed=82/8268, ETA=2025-08-09 03:27:30
[101/8268] HEBKEG_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=85.1s, Completed=83/8268, ETA=2025-08-09 03:19:49
[102/8268] AZIVAI_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=76.7s, Completed=84/8268, ETA=2025-08-09 03:17:56
[61/8268] LUXFOA_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=284.5s, Completed=85/8268, ETA=2025-08-09 03:20:08
[100/8268] BULBER_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=118.6s, Completed=86/8268, ETA=2025-08-09 03:30:52
[105/8268] VARHON_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=90.7s, Completed=87/8268, ETA=2025-08-09 03:40:18
[110/8268] ESEBOV_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=49.3s, Completed=88/8268, ETA=2025-08-09 03:35:12
[71/8268] BIZMAA_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=263.2s, Completed=89/8268, ETA=2025-08-09 03:28:16
[85/8268] CAVPUM_manual_argon_273.0K_0.01bar_14.0 Done. TimeForThis=204.0s, Completed=90/8268, ETA=2025-08-09 03:24:27
[91/8268] RULVUP_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=182.2s, Completed=91/8268, ETA=2025-08-09 03:26:33
[104/8268] KIYTOD_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=112.4s, Completed=92/8268, ETA=2025-08-09 03:30:17
[75/8268] OLODEA_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=279.5s, Completed=93/8268, ETA=2025-08-09 03:41:30
[117/8268] LASRAB_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=35.5s, Completed=94/8268, ETA=2025-08-09 03:37:10
[114/8268] GOQWOY_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=70.6s, Completed=95/8268, ETA=2025-08-09 03:37:18
[96/8268] CUYYAX_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=202.5s, Completed=96/8268, ETA=2025-08-09 03:38:36
[28/8268] XUDQEU_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=516.9s, Completed=97/8268, ETA=2025-08-09 03:34:37
[95/8268] LETPOR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=215.4s, Completed=98/8268, ETA=2025-08-09 03:36:55
[122/8268] NUNPAP_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=41.9s, Completed=99/8268, ETA=2025-08-09 03:36:57
[116/8268] BENZUR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=73.7s, Completed=100/8268, ETA=2025-08-09 03:30:13
[82/8268] QODHUO02_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=270.2s, Completed=101/8268, ETA=2025-08-09 03:24:17
[81/8268] DUVNIS01_charged_argon_273.0K_0.01bar_14.0 Done. TimeForThis=285.4s, Completed=102/8268, ETA=2025-08-09 03:30:01
[111/8268] IWAYOU_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=109.5s, Completed=103/8268, ETA=2025-08-09 03:24:43
[92/8268] EDORIY_charged_argon_273.0K_0.01bar_14.0 Done. TimeForThis=247.5s, Completed=104/8268, ETA=2025-08-09 03:27:39
[109/8268] KIBDIJ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=141.5s, Completed=105/8268, ETA=2025-08-09 03:31:04
[86/8268] ETIXAI_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=287.1s, Completed=106/8268, ETA=2025-08-09 03:24:12
[115/8268] IWEVUD_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=117.1s, Completed=107/8268, ETA=2025-08-09 03:22:54
[120/8268] ZOXNEH_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=93.8s, Completed=108/8268, ETA=2025-08-09 03:23:26
[126/8268] FUTYOK_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=55.8s, Completed=109/8268, ETA=2025-08-09 03:21:03
[103/8268] RIYWED_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=203.7s, Completed=110/8268, ETA=2025-08-09 03:17:20
[113/8268] USAHAZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=141.1s, Completed=111/8268, ETA=2025-08-09 03:13:32
[108/8268] EBEMII_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=170.6s, Completed=112/8268, ETA=2025-08-09 03:10:08
[131/8268] YIWMUM_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=46.8s, Completed=113/8268, ETA=2025-08-09 03:04:28
[107/8268] QUPJAN_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=189.9s, Completed=114/8268, ETA=2025-08-09 03:02:18
[118/8268] COTXOA_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=134.4s, Completed=115/8268, ETA=2025-08-09 03:23:42
[134/8268] LUFQUZ01_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=67.2s, Completed=116/8268, ETA=2025-08-09 03:32:12
[125/8268] UMOYOM15_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=111.2s, Completed=117/8268, ETA=2025-08-09 03:29:42
[141/8268] KEFBII_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=47.4s, Completed=118/8268, ETA=2025-08-09 03:26:33
[143/8268] SETQOZ_SL_argon_273.0K_0.01bar_14.0 Done. TimeForThis=49.2s, Completed=119/8268, ETA=2025-08-09 03:25:59
[127/8268] LUKLIN_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=110.3s, Completed=120/8268, ETA=2025-08-09 03:20:30
[135/8268] BETGOY_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=84.2s, Completed=121/8268, ETA=2025-08-09 03:30:19
[142/8268] SEHTAB_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=64.2s, Completed=122/8268, ETA=2025-08-09 03:24:30
[128/8268] HOGSIG_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=124.1s, Completed=123/8268, ETA=2025-08-09 03:26:13
[136/8268] OSOTIB_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=92.0s, Completed=124/8268, ETA=2025-08-09 03:21:22
[90/8268] YARBIE_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=358.8s, Completed=125/8268, ETA=2025-08-09 03:18:56
[112/8268] GARTUR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=219.5s, Completed=126/8268, ETA=2025-08-09 03:13:36
[140/8268] GIRYAJ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=90.3s, Completed=127/8268, ETA=2025-08-09 03:19:19
[147/8268] TUYJED_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=62.2s, Completed=128/8268, ETA=2025-08-09 03:33:57
[119/8268] ILOWAI_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=218.3s, Completed=129/8268, ETA=2025-08-09 03:35:41
[121/8268] KONSAJ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=210.3s, Completed=130/8268, ETA=2025-08-09 03:31:33
[152/8268] VODSEM_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=54.6s, Completed=131/8268, ETA=2025-08-09 03:32:13
[149/8268] XOMCUZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=72.6s, Completed=132/8268, ETA=2025-08-09 03:30:15
[157/8268] LATCEO_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=39.4s, Completed=133/8268, ETA=2025-08-09 03:27:44
[139/8268] FAVGUH_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=133.3s, Completed=134/8268, ETA=2025-08-09 03:23:43
[146/8268] GUJREK01_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=88.1s, Completed=135/8268, ETA=2025-08-09 03:19:05
[155/8268] FARFIO_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=58.7s, Completed=136/8268, ETA=2025-08-09 03:20:15
[148/8268] HAWWOT_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=89.4s, Completed=137/8268, ETA=2025-08-09 03:15:44
[124/8268] ACAJIZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=217.7s, Completed=138/8268, ETA=2025-08-09 03:19:34
[145/8268] OCIMUL_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=118.1s, Completed=139/8268, ETA=2025-08-09 03:15:53
[160/8268] REZXUQ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=34.1s, Completed=140/8268, ETA=2025-08-09 03:12:52
[14/8268] YOZBIZ01_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=731.9s, Completed=141/8268, ETA=2025-08-09 03:15:38
[161/8268] BEWVOQ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=36.6s, Completed=142/8268, ETA=2025-08-09 03:11:03
[151/8268] GESFAN_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=96.1s, Completed=143/8268, ETA=2025-08-09 03:10:36
[62/8268] OMIPEH_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=577.2s, Completed=144/8268, ETA=2025-08-09 03:07:11
[132/8268] DUQRUD_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=201.4s, Completed=145/8268, ETA=2025-08-09 03:05:00
[158/8268] FUSMIQ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=70.2s, Completed=146/8268, ETA=2025-08-09 03:09:43
[137/8268] MABLAD_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=206.5s, Completed=147/8268, ETA=2025-08-09 03:19:50
[170/8268] KAHYUP_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=46.7s, Completed=148/8268, ETA=2025-08-09 03:17:48
[130/8268] TUNJET_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=245.9s, Completed=149/8268, ETA=2025-08-09 03:17:33
[159/8268] TAJXIO03_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=88.1s, Completed=150/8268, ETA=2025-08-09 03:13:41
[164/8268] QAQNOO_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=90.0s, Completed=151/8268, ETA=2025-08-09 03:24:24
[144/8268] cg500192d_si_002_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=216.4s, Completed=152/8268, ETA=2025-08-09 03:23:01
[176/8268] IDUTUW_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=45.8s, Completed=153/8268, ETA=2025-08-09 03:18:31
[156/8268] FAYPAY_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=146.1s, Completed=154/8268, ETA=2025-08-09 03:14:40
[172/8268] PEPLEC_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=70.4s, Completed=155/8268, ETA=2025-08-09 03:14:01
[171/8268] JIVSEN_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=82.5s, Completed=156/8268, ETA=2025-08-09 03:19:44
[150/8268] QUNWAZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=187.8s, Completed=157/8268, ETA=2025-08-09 03:15:38
[165/8268] ESURER02_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=111.8s, Completed=158/8268, ETA=2025-08-09 03:12:00
[166/8268] ESUSIW_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=114.1s, Completed=159/8268, ETA=2025-08-09 03:14:57
[177/8268] GADMAA01_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=61.6s, Completed=160/8268, ETA=2025-08-09 03:14:24
[175/8268] ASAHEJ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=89.0s, Completed=161/8268, ETA=2025-08-09 03:11:07
[167/8268] ILIFOY_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=125.8s, Completed=162/8268, ETA=2025-08-09 03:12:20
[179/8268] FUSNIR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=69.2s, Completed=163/8268, ETA=2025-08-09 03:14:29
[138/8268] ORUKOD_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=287.8s, Completed=164/8268, ETA=2025-08-09 03:18:19
[154/8268] YOKKIU_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=219.1s, Completed=165/8268, ETA=2025-08-09 03:25:09
[174/8268] RAVXIX_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=129.6s, Completed=166/8268, ETA=2025-08-09 03:21:06
[182/8268] GOGWEF_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=81.7s, Completed=167/8268, ETA=2025-08-09 03:25:29
[189/8268] CUNFOH_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=55.7s, Completed=168/8268, ETA=2025-08-09 03:22:22
[168/8268] HAMJOW_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=170.3s, Completed=169/8268, ETA=2025-08-09 03:26:28
[187/8268] LUMYID_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=79.4s, Completed=170/8268, ETA=2025-08-09 03:25:16
[163/8268] LEQVUZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=194.6s, Completed=171/8268, ETA=2025-08-09 03:22:54
[178/8268] KASRAZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=131.0s, Completed=172/8268, ETA=2025-08-09 03:22:38
