GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
Ar,273,rf,random_struct,0.1,0.9709663843505192,0.9362103847827228,0.942489946195704,0.0084651200870932,0.0060984198853587,0.0056291816746825,0.0260350763674279,0.1309920959029819,0.2679747012110915,0.0019698592080227,0.0070791123456011,0.0118560855824958,struct+input,struct+input,struct+input
Ar,273,rf,random_struct,0.5,0.9917002586037564,0.9505841597290056,0.9494581960155632,0.0035406599141788,0.0058411811659947,0.0059277425069279,0.0145882247797817,0.1159683274999882,0.2545236849083585,0.0008773079876155,0.0054465001663929,0.0103396583101447,struct+input,struct+input,struct+input
Ar,293,cat,random_struct,0.01,0.936826529383508,0.9597834751826608,0.9660814471959578,0.0237545181684679,0.0066543417490723,0.002511560829348,0.0194133731792852,0.081182579724113,0.1805433968751884,0.0014878486750382,0.0028332753685477,0.0019636333005738,struct+input,struct+input,struct+input
Ar,293,cat,random_struct,0.05,0.951204354754355,0.962816682036995,0.967453048398858,0.0150496154325228,0.0049379982583953,0.0027790219464445,0.0172707163148571,0.0771958146869046,0.1754956210638684,0.0012468021281908,0.0020309022735148,0.0021266957789411,struct+input,struct+input,struct+input
Ar,293,cat,random_struct,0.1,0.9566941182047648,0.9645195933860516,0.9679826666938296,0.0170120299353506,0.0055076412935787,0.0024199695384645,0.0163094109269601,0.0758367835887493,0.1743164174814467,0.0012032228164392,0.0024455835274428,0.0020782745291957,struct+input,struct+input,struct+input
Ar,293,cat,random_struct,0.5,0.966932600556083,0.9743461704739896,0.9720727482379916,0.0208909405319103,0.005707018585626,0.0025813412822469,0.0112886093108387,0.0662455639372254,0.1646866930954387,0.0010351808693481,0.0018717978248735,0.0023795612519225,struct+input,struct+input,struct+input
Ar,293,gbm,random_struct,0.01,0.948798786635375,0.957815925107439,0.9634678531916976,0.01660553861607,0.0035871323503853,0.0021195081372563,0.0181929939820461,0.0829942551209095,0.1856534269391099,0.0014316226901161,0.0018044422712085,0.0012039629413307,struct+input,struct+input,struct+input
Ar,293,gbm,random_struct,0.05,0.954436952257006,0.961231103181999,0.9648029049917828,0.0139819054853167,0.0033988431025854,0.0024257653368979,0.0159022255984911,0.0786631810821891,0.1809735693230661,0.0011173205162566,0.0022979989623921,0.0025397360299077,struct+input,struct+input,struct+input
Ar,293,gbm,random_struct,0.1,0.9705199035606586,0.9641588380270992,0.965924315920377,0.0146876669696825,0.0040689640548364,0.0025228542971497,0.0142851141899143,0.0765252990187468,0.1792814550350533,0.0010619749356151,0.0017109404616747,0.0026482099459074,struct+input,struct+input,struct+input
Ar,293,gbm,random_struct,0.5,0.9835025107344322,0.974226846895691,0.9709031831950256,0.0132442208103724,0.0042424822323216,0.002744939088242,0.0089886827846648,0.0667109678362074,0.168217236471706,0.0009824250399818,0.0021397917594401,0.0023491102058834,struct+input,struct+input,struct+input
