---- START at 2025-08-16 12:11:23, Target=2039/2039 ----
[101/2039] KOFPEB03_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=296.8s, Completed=105/2039, ETA=2025-08-16 18:43:02
[83/2039] DIBJIJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=539.9s, Completed=106/2039, ETA=2025-08-16 18:47:06
[100/2039] JUBXAH_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=328.4s, Completed=107/2039, ETA=2025-08-16 18:44:44
[112/2039] ROQFUA05_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=227.7s, Completed=108/2039, ETA=2025-08-16 18:43:16
[104/2039] NIBXUT_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=330.8s, Completed=109/2039, ETA=2025-08-16 18:42:55
[110/2039] REZVAU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=271.0s, Completed=110/2039, ETA=2025-08-16 18:41:04
[115/2039] NIKZEN_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=179.3s, Completed=111/2039, ETA=2025-08-16 18:38:15
[121/2039] KAGWEW_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=148.6s, Completed=112/2039, ETA=2025-08-16 18:40:58
[119/2039] IXECET_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=172.0s, Completed=113/2039, ETA=2025-08-16 18:38:11
[114/2039] ROQFUA02_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=222.7s, Completed=114/2039, ETA=2025-08-16 18:35:10
[126/2039] QIGBIR_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=115.8s, Completed=115/2039, ETA=2025-08-16 18:33:00
[88/2039] CIWZIT_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=551.8s, Completed=116/2039, ETA=2025-08-16 18:39:36
[95/2039] FAHQIR_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=508.4s, Completed=117/2039, ETA=2025-08-16 18:44:31
[116/2039] BELYIC_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=265.7s, Completed=118/2039, ETA=2025-08-16 18:44:19
[123/2039] AFOVOH_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=213.5s, Completed=119/2039, ETA=2025-08-16 18:43:51
