MOF,Total time (s)
AWIBAK_clean,1459.1
AWIBAL_clean,1228.2
AWIBEO_clean,1414.5
AWIBIS_clean,1417.3
AWOFOI_clean,1495.6
AWUPAL_clean,579.1
AWUPOZ_clean,584.5
AXAFAG_clean,1066.2
AXIGAR_clean,718.8
AXIMUP_clean,1277.6
AXINAX01_clean,183.8
AXINAX_clean,927.4
AXINEA_clean,1313.8
AXINIF_clean,2633.6
AXIPEE01_clean,396.0
AXIPEE02_clean,1337.3
AXIPEE03_clean,414.3
AXIPEE_clean,372.6
AXUBAW_manual,393.0
AXUBOL_clean,1335.6
AXUHAD_clean,4193.8
AXUHEH_clean,1445.5
AYOQEM_clean,7354.7
AYOXUJ_clean,825.5
AYUJIP_clean,3529.5
AZAFIS_clean,512.5
AZAVOO_clean,958.7
AZAVUU_clean,739.5
AZAWAB_clean,3584.6
AZEBUE_clean,876.7
AZEWEH_clean,778.9
AZIVAI_clean,1348.0
AZIXUD_clean,1639.8
BABREE_clean,3956.8
BACGAQ_clean,1338.6
BADXAI_clean,1988.0
BADYAJ_clean,633.0
BAEDTA01_clean,1385.5
BAFHAU_clean,166.0
BAKGIF_manual,924.7
BAKJEE_clean,857.2
BAKJII_clean,2424.6
BAKJOO_clean,1811.0
BAKYIY_clean,1413.5
BAKYOE_clean,877.7
BAMKIM_clean,742.9
BAMKOS_clean,765.8
BANMAG_clean,267.2
BAPDAA_clean,1912.2
BAQWIC_clean,812.4
BARZUR_clean,1830.8
BASJUB_clean,3727.1
BAWROI_clean,345.2
BAWRUO_clean,443.2
BAXFIR01_clean,1409.8
BAXFIR02_clean,1448.0
BAXSIE_clean,587.7
BAZFUF01_clean,2814.5
BAZFUF_clean,2929.1
BAZGAM_clean,401.2
BAZGEQ_clean,1018.1
BAZJET_clean,1018.5
BAZJIX_clean,928.3
BEDYEQ_clean,539.9
BEFGEA_manual,2885.9
BEFLUV_clean,719.0
BEFMAC_clean,1271.0
BEGDEY_clean,3171.5
BEJZAS_clean,696.8
BELJIL_clean,938.2
BELTOD_clean,5664.2
BELTUJ_clean,5864.7
BENXUP_clean,977.9
BENZOL_clean,611.9
BENZUR_clean,596.6
BEPBAB_clean,574.4
BEPLUF_clean,301.4
BEPMAM_clean,303.0
BEPMIU_clean,279.3
BEPNIV_clean,292.2
BEPNOB_clean,286.2
BEPNUH_clean,321.2
BEPPAP_clean,274.2
BEPPIX_clean,385.1
BEPPOD_clean,379.4
BEPREV01_clean,4661.8
BEPREV02_clean,4602.1
BEPREV03_clean,4703.5
BEPREV_clean,4625.2
BEPRIZ_clean,824.5
BEPROF_clean,1411.5
BEPVEZ_clean,617.1
BEPVID_clean,607.4
BEPVOJ01_clean,623.0
BEPVOJ_clean,555.5
BEPWEA_clean,388.3
BERQIA_clean,5586.7
BETDAH_clean,824.0
BETDEL_clean,1650.6
BETDIP_clean,1737.9
BETDOV_clean,868.9
BETDUB_clean,767.4
BETFAJ_clean,823.8
BETFEN_clean,812.5
BETFOX_clean,849.6
BETFUD_clean,821.1
BETGAK_clean,809.4
BETGEO_clean,1064.5
BETGIS_clean,974.4
BETGOY_clean,989.6
BETGUE_clean,729.0
BETHEP_clean,1107.5
BETHIT_clean,785.6
BETZOR_clean,1700.8
BEVWAB_clean,5190.0
BEWCUD_clean,260.9
BEWVEG_clean,953.7
BEWVOQ_clean,247.2
BEWWEH_clean,326.4
BEXPAX_clean,824.9
BEXQIF_clean,467.6
BEXQOL_clean,412.4
BEXQUR_clean,423.7
BEXRAY_clean,212.9
BEXREC_clean,224.6
BEXRIG_clean,234.6
BEXRUT_clean,895.4
BEXSAA_clean,894.5
BEXSEE_clean,879.1
BEXSII_clean,768.3
BEXTUV_clean,1481.2
BEXVAD01_clean,1055.6
BEXVAD_clean,1163.9
BEXVEH_clean,1152.0
BEXVIL_clean,556.9
BEYKEX_clean,1527.6
BEYSEF_clean,723.9
BIBXIV_clean,1603.5
BIBXOB_clean,652.6
BIBXUH_clean,449.9
BICPOT_clean,4471.3
BICPUA_clean,1068.6
BIDPOV_clean,1929.2
BIFGOO_clean,657.9
BIFKEI_clean,1491.4
BIGZUO_clean,438.1
BIHBAX_clean,2528.1
BIHBEB_clean,1315.6
BIJDUV_clean,910.7
BIJFAD_clean,1024.3
BIMDEF_clean,1061.3
BIMDIL_clean,1089.7
BINCUY_manual,2332.8
BINDAF_manual,2362.5
BINMIW_clean,2178.1
BINROH_clean,756.5
BINRUN_clean,787.0
BINSAU_clean,856.4
BIPBAF_clean,1200.2
BIPLIX_clean,1298.3
BIPSUQ_clean,578.0
BIQHEQ_clean,1057.4
BIQVII_clean,652.8
BIRGIU_clean,1032.9
BIRMUM_clean,514.8
BIRSEC_clean,2101.5
BIRSIG_clean,2184.3
BIWSEG_ion_b,74.5
BIWSIK_ion_b,2876.3
BIWSOQ_clean,1101.1
BIWYAH10_clean,172.0
BIXXIR_clean,1898.2
BIXYEO_clean,2055.0
BIYSUZ_clean,329.5
BIYTAG_clean,367.3
BIYTOU_clean,786.8
BIYVEM_clean,359.3
BIYVIQ_clean,1178.7
BIZLUT_clean,4161.7
BIZMAA_clean,4340.8
BIZMEE_clean,4296.9
BIZMII_clean,4261.7
BOCKOT_clean,801.7
BOHJOZ_auto,347.7
BOHWOM_clean,1948.4
BOJCIN_clean,917.0
BOKQEZ_clean,954.2
BOLPAU_clean,1295.5
BOLZIN_clean,808.2
BOMCOX_clean,2590.7
BOPHIZ_clean,1017.9
BORBEQ_clean,802.3
BOSHIC_clean,3104.5
BOVHEB_clean,3287.1
BOWDIC_clean,2178.4
BOWNUY_clean,757.9
BOWRAH_clean,1758.3
BOWSOW_clean,859.8
BOWZUK_clean,280.7
BOXFOK_clean,1049.7
BOXYIY_clean,502.1
BOYCEY_auto,1334.7
BOYTEQ_clean,652.3
BOYYOF_clean,1607.2
BOZFIH_clean,4317.4
BOZFON_clean,1704.3
BUBQOE_clean,1035.0
BUBTUP_clean,1025.4
BUCSAU_clean,1849.3
BUCSEY_clean,1001.3
BUCSIC01_clean,1790.4
BUCVAY_clean,1307.3
BUCWAZ_clean,817.8
BUGSAY_clean,1089.1
BUGSEC_clean,1069.3
BUGSIG_clean,1069.5
BUGSOM_clean,1121.2
BUKMUQ01_clean,420.5
BUKRUW01_clean,1296.0
BUKRUW02_clean,1082.6
BUKRUW03_clean,880.2
BUKYAJ_clean,1091.7
BULBER_clean,1500.5
BUNKUS_clean,681.8
BUNLAZ_clean,637.7
BUPDOH_clean,2479.7
BUPVEP_clean,836.7
