MOF,HENRY_AR_313_CORE,time_below_50_313_0.01,time_below_50_313_0.05,time_below_50_313_0.1,time_below_50_313_0.5,time_below_50_313_1,5bar_AR_313_CORE,15bar_AR_313_CORE
AGONAM_clean,195.9,72.2,122.4,161.7,226.5,226.7,438.6,976.6
AGONEQ_clean,134.4,40.8,65.7,89.2,140.3,139.3,224.0,617.6
AGOVOJ_clean,141.0,42.2,49.9,55.6,92.3,108.4,120.5,184.5
AGUBUA_clean,151.6,74.1,138.1,159.7,164.2,238.7,745.2,1358.4
AHAMAY_clean,279.4,107.9,199.1,261.2,305.8,304.0,552.3,834.1
AHEQAH_clean,163.1,49.2,77.9,100.2,156.7,164.0,245.0,745.6
AHIYOH_clean,510.9,201.6,368.2,432.3,487.4,521.0,1574.0,2783.8
AHOKIR01_clean,223.6,89.4,158.7,205.4,262.8,259.3,608.5,1079.0
AHOKIR_clean,185.3,67.4,119.2,155.9,214.3,218.0,447.5,1010.8
AHOKOX_clean,174.7,57.6,105.9,136.1,180.5,182.5,447.8,1120.6
AHUFIU_clean,272.7,85.9,110.8,138.5,246.3,268.6,294.7,719.9
AJAKON_clean,296.2,101.7,167.3,221.8,323.9,332.5,497.8,1107.4
AJAYIT_clean,342.2,115.0,173.2,230.0,371.0,379.6,454.2,958.9
AJIGIL_clean,653.9,212.1,288.6,375.8,620.5,647.5,761.4,1989.5
AJOTEY_clean,116.1,37.6,57.7,76.4,121.9,124.9,192.1,525.7
AJOVEB_clean,393.3,140.9,249.2,327.1,434.3,444.7,958.5,1964.9
AJOXAA_clean,223.2,81.7,143.1,187.7,246.0,251.7,550.5,1222.7
AKEDIF_clean,222.8,81.4,135.2,178.0,245.9,250.8,472.1,1091.7
AKOBAF_clean,432.7,162.5,279.3,369.5,480.2,465.0,1094.6,2231.5
AKOHEO_clean,209.3,66.9,96.6,124.3,215.6,230.5,262.3,654.1
AKOXIJ_clean,435.7,314.4,440.0,451.0,772.9,1261.1,3244.6,5071.1
AKUKUO_clean,231.3,75.9,123.3,163.1,248.0,249.1,357.2,717.4
ALAHUS_clean,364.6,116.7,170.8,224.7,402.8,329.2,589.3,1479.8
ALAMUW_clean,147.1,48.5,72.2,93.6,161.8,168.1,208.7,589.4
ALANAD_clean,221.7,73.2,115.0,145.5,222.5,229.5,375.1,1091.6
ALEJAE_clean,216.9,73.7,107.8,143.0,228.4,233.4,339.3,1100.0
ALEJEI_clean,586.2,167.3,214.9,248.6,340.5,369.1,449.0,1170.6
ALEJIM_clean,601.8,167.1,209.5,257.7,361.6,388.2,540.0,1186.8
ALEQIT_clean,254.7,88.5,139.9,185.5,290.9,295.5,367.5,742.7
ALIBUT_clean,504.9,184.0,305.0,405.6,530.6,528.7,1221.0,3119.8
ALICAA_clean,504.9,176.8,294.0,390.3,538.5,512.2,1142.9,2948.3
ALIXAU_clean_h,234.3,80.4,109.6,143.3,239.4,255.5,288.7,640.5
ALIXOJ_clean,203.9,67.4,100.3,133.4,222.2,238.3,296.2,814.7
ALIXUP_clean,226.6,62.6,78.0,98.8,174.2,211.8,236.9,357.5
ALOLES_ion_b,248.6,73.3,86.5,98.1,173.8,225.5,281.9,290.0
ALOLIY_clean,238.4,70.9,82.6,96.6,170.8,214.9,258.1,294.7
ALONEV_clean,520.7,148.7,182.2,227.8,363.4,379.8,420.9,743.3
ALUJEX_clean,233.1,82.6,132.1,172.1,257.5,261.0,407.7,892.2
ALUJIB_clean,227.8,79.6,126.5,172.3,253.8,250.0,389.4,871.0
ALUJOH_clean,226.9,76.8,121.6,158.5,244.6,242.6,366.1,845.9
ALUKIC_clean,158.1,52.0,72.0,93.3,163.9,178.1,203.5,578.3
ALUKOI_clean,156.9,51.4,73.4,92.8,164.9,177.9,203.5,580.3
ALUKUO_clean,157.0,50.2,70.5,91.0,162.7,174.9,201.7,575.6
ALULAV_clean,156.5,51.7,71.1,92.9,163.7,177.4,202.9,582.5
ALULEZ_clean,216.9,65.1,73.0,80.4,125.8,152.6,185.6,215.3
ALULID_clean,153.9,48.6,67.2,87.8,156.1,167.8,186.0,467.8
ALURAB_clean,382.2,134.5,222.3,280.1,395.7,406.4,816.1,2102.0
ALUREF_clean,396.5,126.8,218.9,280.8,389.9,389.0,854.6,2122.7
ALURIJ_clean,391.9,136.9,221.9,294.0,403.5,395.4,866.0,2114.9
AMAFOK_clean,255.9,100.0,164.1,219.5,291.4,286.2,489.4,916.9
AMAGAX_clean,486.6,204.3,383.8,481.7,552.7,558.4,1752.4,3301.0
AMILOY_clean,405.6,151.4,248.6,310.9,421.7,422.0,792.7,1759.3
AMILUE_clean,329.6,121.6,209.2,280.9,367.3,363.0,658.1,1509.0
AMIMAL_clean,409.4,151.8,249.1,324.9,413.4,422.1,772.3,1741.2
AMIMEP_clean,356.4,125.8,217.8,283.0,380.1,383.7,676.9,1561.0
AMIZIG_clean,348.9,99.6,145.6,192.0,328.4,343.8,386.4,789.0
AMODUC_clean,168.7,54.1,77.9,100.3,176.9,189.0,223.5,661.2
AMOFAK_clean,180.0,53.9,73.4,94.1,159.1,173.0,198.7,600.8
AMOYOR_clean,339.3,130.2,205.3,271.2,391.9,387.0,599.2,1156.1
AMUFOF_clean,222.4,72.7,106.3,140.1,239.3,255.7,276.0,602.7
AMUPOP_clean,482.6,190.8,350.7,430.8,519.1,517.1,1173.3,1997.1
AMUWUB_clean,197.9,59.5,76.4,94.9,173.6,207.3,224.1,385.8
AMUXAI_clean,234.1,71.6,90.5,110.6,207.8,248.7,271.0,440.2
ANAWIX_clean,188.6,68.5,116.1,151.3,217.0,213.2,389.3,853.8
ANAWOD_clean,255.3,102.3,180.3,223.3,274.6,268.0,938.8,2292.8
ANEHEI_clean,260.7,89.3,138.8,186.3,292.0,331.5,414.2,932.8
ANENEN_clean,221.6,67.0,95.9,122.8,215.6,233.3,246.1,440.1
ANENIR_clean,233.9,70.2,103.3,129.9,227.3,245.1,256.6,428.9
ANIDIL_clean,838.0,291.8,467.7,617.2,893.6,871.3,1452.7,3240.3
ANOMOG_clean,198.2,66.7,102.3,131.1,199.9,203.7,313.6,915.1
ANOMUM_clean,150.9,51.9,79.6,104.0,168.3,174.9,251.9,699.0
ANONAT_manual,154.9,51.8,77.4,103.2,170.0,181.2,233.5,662.3
ANUGEW_clean,295.4,101.3,163.0,209.3,320.1,323.2,604.0,1917.2
ANUGIA_clean,141.5,47.0,63.5,79.1,142.2,156.2,176.6,475.7
ANUGOG_clean,193.8,64.3,95.0,126.9,207.8,215.2,292.2,903.0
APACAX_clean,157.2,50.4,77.2,100.5,148.0,150.6,251.5,557.1
APARAM_clean,280.1,106.2,189.6,248.1,323.9,325.1,564.7,1172.4
APAYIB_clean,283.3,114.9,214.4,268.8,315.3,315.4,1037.8,2377.6
APAYOH_clean,287.5,115.4,206.4,263.3,318.7,326.9,1031.4,2421.3
