MOF,Total time (s)
GAHSEQ_clean,156.3
GALFAB_clean,262.9
GANBAZ01_clean,202.0
GANBAZ02_clean,105.3
GANBAZ_clean,198.3
GANBED02_clean,168.3
GANBED_clean,183.2
GANBIH_clean,203.0
GASTIG_clean,215.3
GATQIE_clean,232.2
GATQOK_clean,478.9
GAYFOD_clean,103.2
GEBPEK_clean,67.4
GEBSAJ_clean,1451.2
GEDPAH_clean,89.9
GESNIC_clean,150.1
GEYFIB_clean,306.3
GEZYUH_clean,238.1
GIFKIP_clean,72.4
GIJXAA_clean,170.3
GINNUO_clean,194.7
GITSUY_clean,401.9
GITVAH01_clean,664.7
GITVAH_clean,737.4
GOBTAT_clean,262.4
GOLDAO_clean,484.0
GONMUT_clean,1321.7
GONSUZ_clean,100.0
GOPLUS_clean,109.9
GOQWOY_clean,94.2
GORJEE_clean,428.4
GORWUF_clean,141.1
GUKCIA_clean,296.5
GUPBOJ03_clean,227.1
GUPCEA_clean,760.4
GURPOZ_clean,535.5
GUZVOO_clean,161.5
HABCEV_clean,143.6
HABCIZ_clean,124.5
HABCOF_clean,126.9
HABDAS_clean,122.7
HABRUZ_clean,150.2
HACDOH_clean,429.4
HACDUN_clean,487.3
HACRAH_clean,383.4
HACREL_clean,429.7
HAFQOW_clean,150.5
HAFQUC_clean,80.2
HAMJUC_clean,484.3
HANKIS_clean,2365.3
HANKOY_clean,2584.4
HAWGIY_clean,231.4
HAXNOJ_clean,54.5
HEGKAP_clean,333.0
HEXNII_clean,135.0
HICGEG_clean,278.0
HICZIE_clean,145.6
HIDDAB_clean,158.9
HIQKID_clean,145.7
HIVSAI_clean,202.5
HIWMAD_clean,155.9
HIZSEQ_clean,90.2
HIZTUG_clean,197.4
HOGJET_clean,122.5
HOJJUN_clean,218.8
HONXAL_clean,473.8
HOQNOS_clean,182.7
HOVGEG_clean,259.2
HOZFIN_clean,100.7
HUBQEC_clean,195.1
HUCSEF_clean,322.2
HUDCEQ_clean,133.0
HUGTOT_clean,548.6
HUHBUJ_clean,800.4
HUNCIE_clean,107.7
HURFIL_clean,308.1
HURFOR_clean,234.7
HUVNAP_clean,639.0
HUXHUF_clean,164.7
HUYFAJ_clean,261.3
HUZYEI_clean,389.1
HUZYIM_clean,546.4
IBAPOS_clean,73.3
IBAQAF_clean,75.2
IBAQEJ_clean,74.2
IBIYUO_clean,389.2
IBURAZ_clean,208.2
ic062019u-file003_clean,252.0
ic1010083_si_002_clean,1004.3
ic200054b_si_002_clean,306.0
ic302758g_si_002_clean,603.1
ic403175w_si_002_clean,284.7
ic5005374_si_003_clean,294.2
ic502478u_si_003_clean,380.7
ic502488c_si_002_clean,281.3
ic502643m_si_011_clean,80.7
ic502643m_si_012_clean,106.7
ic5b00096_si_002_clean,851.3
ic5b00561_si_002_clean,544.1
ic8008859_si_001_clean,449.9
ic801677y_si_001_clean,166.5
ICAREL_clean,230.2
ICIKAH_clean,964.3
ICITIY_clean,193.0
ICIVEW_clean,93.1
IDUYOX_clean,124.0
IFEPUG01_clean,536.6
IFEPUG02_clean,462.3
IFEPUG03_clean,449.4
IFEPUG04_clean,450.0
IFEPUG05_clean,428.8
IFEPUG06_clean,466.2
IFEPUG07_clean,483.3
IFEPUG08_clean,472.2
IFEPUG09_clean,552.9
IFEPUG10_clean,597.8
IFEQER_clean,434.0
IFUPAC_clean,176.0
IGORUS_clean,84.2
IGUCEU_clean,404.6
IJAPIU_clean,173.7
IJAPOA_clean,172.1
IJENIV_clean,210.5
IJENOB_clean,508.8
IJEXUS_clean,139.1
IKOTEH_clean,340.1
ILITON_clean,117.9
ILOWAI_clean,268.0
IMACZN01_clean,128.6
IMAXOL_clean,203.0
IMULEH_clean,260.2
IMUVES_clean,608.4
INASAT_clean,291.5
INECIP_clean,284.0
INECOV_clean,218.6
INEPEY_clean,171.3
INEXEG_clean,299.6
INIROO_clean,161.9
IPEBEM_clean,646.3
IPIVOT_clean,262.1
IREGOD_clean,215.2
IRUVUO_clean,647.4
ISEQIH_clean,109.6
IVEKEA_clean,838.4
IVIPEK_clean,280.8
IWAHIZ_clean,229.8
IWAHUK_clean,435.1
IWEVUD_clean,140.8
IWEWAK_clean,159.5
IWEWEO_clean,129.9
IWEWIS_clean,167.7
IWEWOY_clean,227.1
IXIKOR01_clean,831.3
IXIKOR_clean,824.6
IYALUR_clean,878.7
IYIHUU_manual,123.1
IYITOB_clean,106.0
IYOCUW_clean,103.3
IYOVEY_clean,105.2
IYUHOB_clean,182.9
IZIHIK_clean,237.0
IZULUL_clean,294.3
IZUSEC_clean,246.0
ja0660047si20060818_060256_clean,211.4
ja0660047si20060818_060458_clean,271.9
ja0734952si20070516_030528_clean,691.9
ja078060t-file002_clean,606.2
ja101440z_si_001_clean,160.1
ja102862j_si_005_clean,207.6
ja111042f_si_002_clean,59.8
ja202154j_si_003_clean,157.4
ja206029a_si_003_clean,284.3
ja4015666_si_002_clean,78.9
ja4015666_si_003_clean,79.9
ja4015666_si_005_clean,83.2
ja403810k_si_003_clean,1202.4
ja406030p_si_010_clean,763.7
ja410368j_si_002_clean,167.4
ja501810r_si_002_clean,71.8
ja507119n_si_002_clean,422.8
ja507971r_si_004_clean,163.9
ja508679h_si_001_clean,650.3
ja5109535_si_002_clean,461.3
ja5111317_ja5111317_si_003_clean,507.1
ja5b00450_si_002_clean,284.7
ja5b00450_si_003_clean,1484.0
jacs.5b11034_ja5b11034_si_002_clean,273.2
jacs.5b11079_ja5b11079_si_002_clean,207.0
jacs.6b01663_ja6b01663_si_002_clean,53.2
jacs.6b02030_ja6b02030_si_004_clean,229.3
jacs.6b03263_ja6b03263_si_002_clean,458.1
jacs.6b04608_ja6b04608_si_002_clean,921.9
jacs.6b06375_ja6b06375_si_001_clean,687.0
jacs.6b08724_ja6b08724_si_010_clean,60.7
jacs.6b08724_ja6b08724_si_011_clean,60.5
jacs.6b08724_ja6b08724_si_012_clean,30.5
jacs.6b08724_ja6b08724_si_013_clean,60.2
jacs.6b08724_ja6b08724_si_015_clean,60.9
JADBEY_clean,238.0
JADMIN_clean,778.9
JAJZAY_clean,112.2
JALLIU_clean,290.6
j.inoche.2015.02.023_INC05895-mmc1_clean,211.6
j.inoche.2015.03.005_INC05902-mmc1_clean,632.2
JIVQOU_clean,278.8
JIVSAJ01_clean,577.4
JIVSEN01_clean,432.1
JIVSIR01_clean,442.4
j.jssc.2015.08.048_mmc2_clean,364.6
j.jssc.2016.06.015_ZJU-10_clean,128.8
JOBFEM_clean,343.2
JOBFIQ_clean,462.5
JOHQUT_clean,151.9
JOHSIJ_clean,252.8
JOQSIT_clean,115.6
JOZWOM_clean,272.3
JOZWUS_clean,281.1
jp302979a_si_002_clean,146.0
JUKPAI_clean,327.4
JUSGUB_clean,531.4
JUTCOS_clean,269.2
JUYBEM_clean,123.3
KACGAZ_clean,138.3
KACGED_clean,286.8
KACKIL_clean,78.6
KAHZAW_clean,60.6
KALFUA_clean,301.9
KARMUN_clean,455.3
KAVXAI_clean,240.1
KELJAN_clean,699.2
KEVBIY_clean,915.3
KEVBOE_clean,892.7
KEWJIG_clean,305.6
KIFDIM_clean,105.1
KINMUR_clean,156.4
KINSEH_clean,109.1
KODPUP_clean,128.2
KOGSOQ_clean,246.4
KOJZOZ_clean,164.7
KOMHEB_clean,344.8
KOMHIF_clean,371.3
KOMHOL_clean,365.3
KOMHUR_clean,368.4
KOMJAZ_clean,387.6
KOQGAA_clean,150.8
KOVGOT01_clean,165.7
KOVGOT_clean,162.5
KOZNEU_clean,261.1
KOZQIB_clean,80.7
KUGFAU_clean,115.2
KUHZET_clean,755.1
KUKPUD_clean,86.3
KUKQAK_clean,389.9
KULMAG_clean,397.1
KULMIO_clean,281.9
KUNLAH_clean,217.1
KUSDOT_clean,250.4
KUXROM_clean,188.6
KUXSAZ_clean,130.4
KUZYUB_clean,158.2
LABMOT_clean,123.4
LABMUZ_clean,494.7
LABNEK_clean,162.8
LABNOU_clean,472.1
LABNUA_clean,120.5
LABPEM_clean,422.5
LABPIQ_clean,153.4
LABPOW_clean,190.6
LABPUC_clean,187.3
LABQAJ_clean,139.9
LABQEN_clean,154.8
LACYEW_clean,148.1
LACYIA_clean,181.6
LACYOG_clean,110.0
