MOF,15bar_AR_313_CORE,5bar_AR_313_CORE,HENRY_AR_313_CORE,time_below_50_313_0.01,time_below_50_313_0.05,time_below_50_313_0.1,time_below_50_313_0.5,time_below_50_313_1
NEYZAU_clean,1213.6,567.6,127.7,57.7,113.5,135.9,158.6,164.1
NEZWOG01_clean,748.6,287.4,201.1,68.2,100.3,131.2,228.5,248.3
NEZWOG_clean,1162.6,412.1,225.3,75.0,120.0,158.7,250.1,247.7
NIBHUC_clean,440.8,261.0,299.4,95.8,109.8,125.5,201.3,235.1
NIBJAK_clean,137.6,110.9,117.1,35.7,41.0,46.4,76.3,92.8
NIBXUT_clean,1511.4,590.2,252.7,95.6,154.4,207.9,301.1,304.1
NIFTIH_clean,867.4,431.4,212.9,82.6,135.1,180.7,248.3,249.6
NIGBOW_clean,324.8,156.3,123.8,40.4,54.6,66.8,126.5,147.4
NIGDEO_clean,1958.6,653.3,263.2,98.1,163.5,213.3,314.3,305.0
NIGDIS_clean,1842.0,647.8,257.0,94.8,160.5,210.3,300.5,300.1
NIGFIT_clean,656.3,234.5,137.1,47.4,75.1,96.6,157.3,163.3
NIGFOZ_clean,668.5,239.3,137.8,48.7,74.3,97.7,164.2,167.8
NIGFUF_clean,699.5,246.5,140.9,50.2,76.8,102.0,164.1,169.1
NIGGAM_clean,656.9,232.2,137.1,47.8,73.7,96.5,158.1,164.5
NIGGEQ_clean,687.0,248.2,139.1,49.1,76.1,101.6,164.6,170.5
NIGGIU_clean,797.6,298.0,133.4,49.0,81.1,105.9,161.0,163.3
NIGNUO_clean,2824.5,1040.1,366.8,140.0,239.4,318.4,406.7,403.9
NIGPEA_clean,2128.9,803.5,273.8,113.3,180.6,229.5,315.0,301.7
NIHBAI01_clean,586.7,305.2,194.3,68.9,110.5,147.3,228.1,227.7
NIHBAI02_clean,590.2,311.1,191.4,70.3,110.6,150.5,224.2,227.0
NIHBAI_clean,580.9,308.2,195.1,72.1,111.1,147.5,227.5,229.5
NIHBEM01_clean,598.3,314.0,200.4,75.5,116.7,155.9,236.0,241.6
NIHBEM02_clean,611.3,318.0,200.6,74.7,118.0,156.2,235.7,241.3
NIHBEM_clean,608.5,318.7,201.3,73.2,117.4,156.7,238.6,241.7
NIHBIQ01_clean,600.0,308.0,201.7,72.8,114.2,153.1,237.4,244.4
NIHBIQ02_clean,660.0,305.6,200.9,72.7,113.7,151.1,238.8,240.5
NIHBIQ_clean,608.6,312.9,199.1,72.7,115.1,153.3,239.8,242.7
NIHVUX_clean,426.9,275.8,238.4,76.7,98.7,123.3,223.2,259.1
NIJTOR_clean,958.1,536.9,302.5,115.9,200.4,263.4,355.0,357.6
NIJZIP01_clean,267.4,246.0,205.3,64.4,75.5,87.5,160.8,204.2
NIJZIP_clean,197.7,174.2,142.7,45.1,53.4,61.9,112.9,145.1
NIJZOV_clean,187.2,172.4,143.3,44.6,53.0,61.5,109.3,139.9
NIKDAM_clean,562.0,275.0,224.9,75.5,100.1,126.0,232.4,264.6
NIKHAS_clean,1098.4,544.7,340.0,119.7,188.0,248.8,350.8,354.9
NIKJIB_clean,1792.4,740.8,341.9,123.8,204.0,276.7,393.8,392.0
NIKKIC_clean,1217.0,564.2,287.8,107.7,178.9,230.2,322.9,328.6
NIKYOW01_clean,586.6,305.5,204.9,73.7,114.9,154.4,241.0,245.7
NIKYOW02_clean,605.9,316.2,201.7,74.1,117.5,154.5,239.3,243.5
NIKYOW_clean,581.9,301.7,203.8,72.6,115.6,152.1,238.9,247.2
NIKYUC01_clean,604.5,319.1,201.4,72.5,116.7,155.5,236.4,245.3
NIKYUC02_clean,604.1,314.2,202.3,73.6,117.2,152.7,238.5,242.4
NIKYUC_clean,601.0,316.1,202.6,73.3,117.3,160.1,239.8,242.1
NIKZAJ01_clean,604.1,312.5,204.3,73.0,116.5,152.7,237.8,242.5
NIKZAJ02_clean,604.1,317.0,205.5,73.7,117.3,155.9,239.2,244.9
NIKZAJ_clean,594.7,306.5,201.7,72.1,115.1,154.5,245.8,246.8
NIKZEN01_clean,603.7,315.4,199.7,72.5,115.6,156.7,235.6,239.5
NIKZEN02_clean,608.0,314.1,204.6,73.9,118.4,156.7,238.8,243.7
NIKZEN_clean,614.6,321.3,201.7,73.3,118.1,157.7,239.9,241.9
NIMPEG01_clean,584.0,220.0,170.6,57.3,80.0,102.6,182.0,195.6
NIMPEG_clean,667.0,254.1,189.0,64.6,91.2,118.3,208.8,216.5
NIMPOQ_clean,2241.0,779.8,343.2,126.7,203.4,267.8,383.3,391.1
NIMQAC_clean,2012.5,1110.2,389.2,168.4,308.1,379.5,426.7,433.0
NIMQAD_clean,,,,108.9,169.0,212.7,337.7,341.8
NIMQEH_clean,,,,85.3,107.8,134.3,227.7,256.7
NIMTAE_clean,1150.2,523.2,365.3,131.9,182.1,235.2,332.4,333.1
NIMXAK_clean,962.7,346.9,197.1,67.7,104.2,137.8,209.7,215.5
NIMXIS_clean,623.0,241.7,187.5,63.7,86.3,110.5,202.0,223.0
NINHOH_clean,110.2,83.6,66.0,20.7,25.5,30.0,56.5,71.2
NINVAI_clean,639.6,250.6,154.8,54.7,85.5,113.6,174.8,177.9
NIRFIE_clean,1254.4,748.7,341.4,144.7,256.2,325.9,373.7,374.5
NIRGAY_clean,971.1,371.3,266.5,91.4,132.2,172.5,287.3,302.3
NISBEX_clean,1597.5,642.2,387.8,140.4,217.7,286.9,460.2,468.3
NISPEL_charged,,,,195.9,346.3,427.8,496.0,499.3
NIVZOJ_clean,260.3,194.7,159.8,50.3,61.7,80.7,133.3,167.6
NIXFUX_clean,3456.8,1861.8,644.6,265.4,506.5,532.3,506.5,647.4
NIXGIM_clean,2199.9,1148.9,639.8,224.0,357.4,480.1,570.3,604.8
NIXKIQ_clean,6159.3,2250.6,411.6,182.1,327.9,375.0,395.6,490.4
NIYJAI_clean,2501.1,1167.6,498.3,194.2,324.2,422.4,550.8,554.5
NIYZIG_clean,1308.1,487.5,215.2,78.1,129.7,169.5,258.6,253.2
NIZNAN_clean,2649.8,1263.2,388.6,159.2,297.5,374.5,438.1,448.1
NIZZAY_clean,3922.3,1457.4,410.1,172.4,281.4,363.9,430.0,429.9
NIZZEC_clean,1187.4,435.6,276.3,98.3,139.0,182.8,266.6,263.9
NIZZIG_clean,644.6,242.4,233.2,76.0,101.1,127.6,199.2,208.5
NIZZOM_clean,658.6,245.9,233.2,76.4,102.0,125.6,202.2,213.8
NOBVOR_clean,1155.3,572.6,230.2,92.0,164.8,216.1,280.4,278.6
NOBWEI_clean,,,,305.6,527.4,657.6,727.5,777.6
NOCKOG_clean,1241.3,607.1,225.0,90.6,161.3,208.8,266.9,266.2
NOCKUM_clean,1437.5,637.2,265.9,100.9,172.8,228.7,313.0,315.4
NOCLOH01_clean,810.1,399.1,176.0,68.1,118.5,156.5,218.5,219.0
NOCLOH02_clean,805.1,392.5,178.9,67.0,114.8,155.3,214.9,217.1
NOCLOH03_clean,802.8,383.7,171.1,65.6,111.2,148.8,209.9,211.7
NOCLOH_clean,786.5,384.7,172.6,65.8,113.8,153.9,214.2,215.0
NOCLUN_clean,788.2,298.1,151.4,55.4,87.4,117.0,181.9,182.3
NOCYUB_clean,962.9,429.9,323.2,114.4,163.2,216.6,374.3,387.1
NOCZAI_clean,858.9,416.5,335.0,110.3,160.2,207.2,365.1,386.7
NODKAT_clean,1811.2,937.1,289.3,124.2,229.9,297.3,344.9,339.7
NODKEX_clean,880.9,351.4,160.1,52.0,88.8,118.1,165.5,167.0
NODKIB_clean,2556.8,1414.7,455.9,175.2,322.0,387.2,466.3,453.5
NODKOH_clean,2135.8,1003.9,326.1,135.9,232.3,298.8,351.9,354.2
NODKUN_clean,908.3,342.9,156.1,57.3,93.2,124.3,180.8,183.2
NOFDUI_clean,1762.2,819.3,350.5,136.0,227.0,316.6,428.9,408.4
NOFHOG_clean,879.1,320.6,168.4,59.0,93.5,124.4,190.8,198.2
NOFQAB_clean,8973.9,4388.4,2396.9,906.4,1270.9,1479.1,1584.5,1589.9
NOFQIK_clean,461.4,246.1,196.5,65.9,94.9,119.0,220.0,236.7
NOFQOQ_clean,555.4,274.9,193.0,67.9,105.2,135.7,227.8,234.5
NOFRIK_clean,2354.0,2211.5,489.2,528.9,563.1,612.4,1308.0,1535.6
NOGDAP_clean,3002.5,1883.8,181.7,134.5,215.2,221.7,336.4,637.5
NOHFOG_clean,500.4,233.0,158.7,55.2,84.8,111.0,179.6,185.7
NOHLAZ_clean,367.4,170.5,132.7,44.2,61.7,78.5,143.2,158.7
NOHQEI_clean,9166.0,3410.7,2282.4,713.6,989.1,1188.7,1475.4,1404.3
NOHSIM01_clean,1462.2,669.6,193.4,81.0,147.2,186.1,228.2,232.4
NOHSIM_clean,968.5,406.6,149.8,61.2,100.4,132.9,184.4,184.2
NOHSUA_clean,1924.6,748.5,345.7,126.0,203.7,270.2,388.0,386.4
NOKJON_clean,530.0,186.3,125.8,43.0,63.4,83.7,144.6,153.7
NOKLIJ_clean,687.6,239.6,154.8,53.3,82.7,105.4,180.0,190.0
NOKPEJ_clean,385.8,256.7,211.2,68.6,90.9,111.7,212.7,242.1
NOMPOW_clean,1600.6,530.0,358.0,117.0,169.5,221.5,327.7,338.1
NOMQAJ01_clean,759.9,515.6,219.0,96.3,181.8,225.2,264.7,266.0
NOPJOT_clean,1100.8,441.1,201.6,76.6,121.3,160.1,237.3,237.7
NOQKOV_clean,927.3,417.6,230.8,84.4,136.3,184.4,273.4,277.7
NOQKUB_clean,1410.3,631.6,239.7,94.0,166.0,221.5,286.3,294.6
NORBUT_clean,2027.6,962.0,824.9,301.7,415.4,519.8,936.3,936.9
NORGOS_clean,419.2,420.1,357.0,111.0,127.2,161.5,244.2,326.1
NORPIV_clean,8182.6,4028.5,465.6,277.1,479.4,497.6,587.9,1063.9
NOSHEK_clean,664.5,261.6,137.3,50.0,80.1,105.3,213.3,167.8
NOSJIQ_charged,,,,371.7,495.6,610.2,1067.6,1072.7
NOSTUM01_clean,1943.3,795.8,239.4,96.4,173.8,225.8,291.6,283.8
NOSTUM_clean,912.1,387.4,165.0,62.0,106.1,142.0,200.6,208.3
NOWGIR_clean,1052.4,369.1,251.5,89.2,126.9,164.8,281.5,304.9
NUBBAP_clean,1124.1,365.8,193.4,65.9,104.7,140.0,217.9,213.3
NUBPIL_clean,210.5,127.2,106.9,33.7,42.6,51.6,96.6,115.2
NUCBIY_clean,2415.7,1292.9,1108.6,363.6,533.0,648.2,855.0,835.6
NUCCEV_clean,3882.0,1703.5,461.3,189.4,353.6,443.9,501.3,512.3
NUCPEI_clean,981.0,442.3,170.3,64.9,109.3,142.9,189.2,186.4
NUCPIM_clean,1159.8,506.7,189.5,71.6,120.5,158.5,199.5,202.2
NUCYAN_clean,248.4,180.6,148.7,49.5,67.0,84.9,153.7,173.0
NUCYER_clean,244.8,182.8,149.0,48.8,68.4,85.9,156.0,176.7
NUCYIV_clean,856.9,420.7,262.2,101.2,152.5,201.6,328.7,314.4
NUDLAB_clean,826.2,354.1,299.3,90.5,132.6,170.7,279.7,292.8
NUDLEF_clean,1528.3,607.8,665.9,181.4,234.5,288.7,461.9,472.9
NUDLIJ_clean,641.5,285.2,167.1,61.0,95.5,126.3,199.4,202.8
NUDMAC_clean,1310.1,596.4,236.6,92.0,161.0,212.6,290.3,288.5
NUDMEG_clean,1241.0,582.4,242.1,93.7,164.3,212.8,284.7,283.5
NUDMOQ_clean,1336.9,602.3,241.0,94.5,161.7,210.3,296.2,288.2
NUDMUW_clean,1274.0,582.5,236.3,91.9,159.2,213.5,281.8,281.4
NUDNEH_clean,1307.2,592.0,242.6,93.9,161.7,216.1,289.4,290.2
NUFBEX_clean,430.4,220.9,178.9,58.8,77.2,98.5,183.6,208.8
NUFBOH_clean,3361.8,1488.8,300.8,142.0,264.0,326.1,359.4,389.1
NUFBUN_clean,1064.4,396.0,179.5,66.6,108.4,142.4,212.2,214.9
NUFCAU_clean,715.7,244.5,176.1,60.0,86.1,114.6,195.0,205.8
NUFTOY_charged,,,,86.5,136.7,177.7,232.7,236.5
NUGRIR_clean,4087.0,1388.8,553.1,205.0,331.8,438.3,580.0,583.9
NUGROX_clean,4638.1,1649.9,595.4,242.7,391.6,522.7,641.8,631.6
NUHNUA_clean,1772.6,742.1,390.9,141.7,219.5,276.6,401.6,423.0
NUHPAI_clean,1193.4,503.8,290.2,107.8,163.3,218.2,331.0,338.6
NUHQAK_clean,2161.5,980.8,273.6,114.6,215.6,269.3,324.2,321.7
NUHQIS_clean,4545.3,1922.9,385.5,174.5,327.1,412.9,464.4,482.3
