ACUBAB_clean,0.389656,0.318913,0.447329,0.322268,0.326818,0.388014,0.491176,0.240822,0.000000,0.334181,0.000000,0.000000,0.365539,0.000000,0.000000,0.333046
ACUFEK_clean,0.063534,0.150516,0.044309,0.057497,0.089786,0.051731,0.016468,0.000000,0.025605,0.023743,0.000000,0.025510,0.007250,0.000000,0.019708,0.048358
ACUJOZ_manual,0.199402,0.000000,0.116234,0.099936,0.154768,0.075367,0.000000,0.000000,0.118727,0.000000,0.141872,0.112442,0.028265,0.124669,0.000000,0.008741
ACUTOI_clean,0.000000,0.024834,0.053871,0.062293,0.121181,0.090619,0.074455,0.000000,0.095562,0.000000,0.039604,0.085115,0.000000,0.072998,0.110202,0.000000
ADARAA_clean,0.090776,0.079097,0.094901,0.121558,0.053636,0.000000,0.015550,0.069412,0.135311,0.000000,0.000000,0.113506,0.000000,0.098074,0.112931,0.000000
ADASEF_clean,0.069381,0.072801,0.124515,0.061289,0.000000,0.035898,0.028783,0.109780,0.097657,0.078094,0.024951,0.096936,0.000000,0.000000,0.000000,0.000000
ADASIJ_clean,0.100545,0.034619,0.019633,0.000000,0.000000,0.000000,0.032252,0.065536,0.000000,0.049711,0.000000,0.039296,0.000000,0.000000,0.000000,0.000000
ADASOP_clean,0.198912,0.208634,0.197914,0.122463,0.163546,0.180529,0.108167,0.109952,0.203670,0.156543,0.183213,0.000000,0.000000,0.000000,0.143289,0.199393
ADASUV_clean,0.123352,0.127009,0.099614,0.097856,0.073874,0.049461,0.000000,0.000000,0.057717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ADATAC_clean,0.105031,0.103182,0.048841,0.080892,0.070933,0.058663,0.000000,0.067423,0.000000,0.000000,0.000000,0.080467,0.101536,0.000000,0.000000,0.000000
ADATEG_manual,0.085766,0.000000,0.040240,0.215590,0.051309,0.032234,0.067561,0.066080,0.059011,0.102744,0.000000,0.034300,0.076869,0.046999,0.047634,0.000000
ADATIK_clean,0.271084,0.139108,0.158616,0.064350,0.000000,0.068220,0.000000,0.120136,0.075497,0.115009,0.000000,0.113788,0.103860,0.087443,0.000000,0.000000
ADATOQ_clean,0.118595,0.045555,0.051468,0.084580,0.063466,0.128824,0.030430,0.083809,0.111847,0.000000,0.000000,0.000000,0.075169,0.074628,0.000000,0.000000
ADATUW_clean,0.178850,0.156154,0.046002,0.017382,0.022018,0.021744,0.044143,0.007799,0.062739,0.045183,0.000000,0.057276,0.027415,0.104721,0.000000,0.000000
ADAVAE_clean,0.047816,0.094567,0.011597,0.074975,0.000000,0.000000,0.000000,0.103632,0.000000,0.071016,0.000000,0.000000,0.123155,0.000000,0.000000,0.000000
ADAVEI_clean,0.000000,0.126575,0.117787,0.111845,0.033814,0.000000,0.060275,0.128049,0.150440,0.000000,0.055954,0.000000,0.000000,0.000000,0.000000,0.000000
ADAXEK_clean,0.106977,0.090054,0.142917,0.064872,0.019255,0.068011,0.047092,0.099031,0.042224,0.054582,0.068478,0.033642,0.026403,0.000000,0.000000,0.013813
ADAXIO_clean,0.071607,0.121596,0.016851,0.057062,0.062497,0.000000,0.031918,0.060999,0.098678,0.060608,0.000000,0.000000,0.000000,0.095955,0.000000,0.094121
ADIQEL_clean,1.009906,0.000000,0.683548,0.000000,0.873408,0.837612,0.824051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ADOBIF_clean,0.128649,0.130495,0.000000,0.000000,0.119952,0.122188,0.121285,0.000000,0.000000,0.000000,0.101535,0.000000,0.000000,0.000000,0.000000,0.162982
ADOCEC_clean,0.114737,0.089787,0.211365,0.079068,0.000000,0.116276,0.000000,0.000000,0.089071,0.000000,0.111453,0.154416,0.118606,0.000000,0.000000,0.000000
ADODOO_clean,0.150029,0.353935,0.175535,0.208370,0.000000,0.191097,0.176994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140160,0.000000,0.000000
ADODUU_clean,0.084652,0.246246,0.114382,0.125927,0.094338,0.104936,0.126398,0.000000,0.096361,0.000000,0.000000,0.000000,0.100222,0.000000,0.000000,0.000000
ADOGEH_clean,0.858548,1.114411,0.946775,0.701458,0.741525,0.000000,0.779855,1.210889,0.000000,1.121508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ADUROI_clean,0.146544,0.120025,0.078310,0.138914,0.089564,0.000000,0.043324,0.000000,0.039752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ADUWIH_clean,0.042401,0.095890,0.091475,0.087275,0.102675,0.165454,0.060773,0.112704,0.098224,0.136393,0.065655,0.000000,0.000000,0.000000,0.000000,0.041569
ADUWON_clean,0.314280,0.364898,0.000000,0.097084,0.012867,0.075319,0.114426,0.047685,0.000000,0.154567,0.000000,0.000000,0.087064,0.000000,0.065246,0.000000
AFEJOK_ion_b,0.050830,0.037552,0.097355,0.054866,0.081866,0.046663,0.068301,0.121062,0.034711,0.085552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AFENEE_clean,0.445433,0.203534,0.000000,0.196883,0.224261,0.307082,0.265037,0.000000,0.000000,0.000000,0.244988,0.000000,0.000000,0.246194,0.000000,0.000000
AFIPAH_clean,0.137216,0.068763,0.012533,0.037759,0.053892,0.073056,0.000000,0.000000,0.069360,0.055712,0.000000,0.000000,0.031355,0.045895,0.000000,0.000000
AFITEP_clean,0.259406,0.151228,0.098288,0.092230,0.000000,0.000000,0.000000,0.000000,0.000000,0.190697,0.000000,0.000000,0.201548,0.000000,0.000000,0.248175
AFITUF_clean,0.209568,0.188493,0.240653,0.138519,0.145312,0.146297,0.000000,0.100414,0.165463,0.097910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AFIXAO_clean,0.155466,0.163195,0.123316,0.147587,0.114455,0.113108,0.052929,0.181531,0.000000,0.178140,0.146931,0.142098,0.000000,0.000000,0.000000,0.000000
AFIXES_clean,0.000000,0.164424,0.149861,0.000000,0.140974,0.141667,0.072810,0.166633,0.000000,0.118559,0.142390,0.000000,0.000000,0.115062,0.000000,0.000000
