GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,273,0.05,1,struct+input,random_struct,rf,0.9607636485894098,0.01605644072437872,0.02667029419918428,0.0024248175190925148
Ar,313,0.05,5,struct+input,random_struct,gbm,0.9292627605246333,0.012497659915123402,0.05900482953121032,0.0020121795889846113
Ar,313,0.05,15,struct+input,random_struct,gbm,0.9579758429763668,0.003206235354870408,0.1402586539284642,0.0029511094283369526
Ar,273,0.5,1,struct+input,random_struct,cat,0.9825635919795234,0.013893383083906113,0.01588438343641222,0.0015128180737481462
Ar,313,0.05,1,struct+input,random_struct,cat,0.9356277010917523,0.019902893354163686,0.010192952005502959,0.0005716130120708567
He,293,0.05,15,struct+input,random_struct,cat,0.9924947406005525,0.0035358161285516717,0.00988629965358198,0.0005180303289009687
Ar,313,0.01,15,struct+input,random_struct,rf,0.9568272319581382,0.002706907288903843,0.13913806998148873,0.002641451044137461
Ar,313,0.05,1,struct+input,random_struct,rf,0.955722884263064,0.02604744846439461,0.00910831183214498,0.001051087322180594
Ar,313,0.01,5,struct+input,random_struct,gbm,0.9237707255105352,0.013818050509065509,0.06409853345291334,0.002960138166039594
Ar,273,0.05,1,struct+input,random_struct,gbm,0.9648513755165602,0.012063911161616446,0.02557375252115448,0.0019863842507538572
He,293,0.5,15,struct+input,random_struct,gbm,0.980421457724411,0.03433250623825607,0.0045396570464585,0.001150580511713974
Ar,273,0.1,5,struct+input,random_struct,rf,0.933599978309425,0.008017195540785345,0.12764820811177108,0.0034320286727416603
He,273,0.5,1,struct+input,random_struct,cat,0.9914016683965787,0.005346493420774158,0.00059079939879486,5.132074728452134e-05
He,293,0.1,5,struct+input,random_struct,rf,0.9908441242395846,0.010442604854759887,0.00234171934663986,0.00023202429423624347
Ar,293,0.1,15,struct+input,random_struct,gbm,0.9640088203615725,0.003533460199296713,0.18292055459321643,0.0037118212192086327
H2,293,0.01,5,struct+input,random_struct,gbm,0.9615302402344865,0.024352495012128408,0.04182103340449931,0.001905647474924131
O2,293,0.01,5,struct+input,random_struct,rf,0.9484375313065613,0.009027310985504248,0.062423505196739414,0.00229342454252739
Ar,313,0.1,1,struct+input,random_struct,gbm,0.9602664900529116,0.02405532328423019,0.008044436312106799,0.0011645811505015939
Ar,273,0.5,5,struct+input,random_struct,cat,0.9520041574981416,0.004453428742205114,0.11328672304871264,0.003237120518814236
Ar,313,0.5,15,struct+input,random_struct,cat,0.9658019640910878,0.0015279706438845785,0.1275655517281751,0.0017486864429398724
Ar,313,0.01,1,struct+input,random_struct,gbm,0.9426400880126208,0.02684738098240542,0.011256068752200778,0.0009111589760398593
Ar,273,0.5,1,struct+input,random_struct,gbm,0.9892521808813115,0.008326763902200248,0.01394899174860308,0.001101980207772382
Ar,273,0.01,15,struct+input,random_struct,gbm,0.9441909481476806,0.002292652801282416,0.27935323041792154,0.004710676445164698
Ar,293,0.1,5,struct+input,random_struct,rf,0.9611194637746869,0.005021282338845589,0.07623089633775863,0.002574142771750485
He,273,0.05,5,struct+input,random_struct,rf,0.9882358959794704,0.012971345072655125,0.003266056921675,0.0002357081857110437
He,273,0.05,15,struct+input,random_struct,cat,0.9926403361579768,0.0030182416367539734,0.01104183157813774,0.0006069722693383751
Ar,313,0.01,15,struct+input,random_struct,cat,0.9599280073941845,0.0026508980456684352,0.14126238871486924,0.0008456846562878812
He,273,0.01,1,struct+input,random_struct,rf,0.9877708753620629,0.007943705278906435,0.00107080793740202,4.515703732924601e-05
Ar,293,0.1,5,struct+input,random_struct,cat,0.9645040490092376,0.002306402505197928,0.07762625001984481,0.0022079123231234904
He,273,0.5,15,struct+input,random_struct,gbm,0.9801500687001324,0.027930400739405323,0.0060489686387476,0.0011239289746632446
Ar,273,0.5,15,struct+input,random_struct,cat,0.954786471697784,0.002478241403693288,0.24948674302995047,0.004011538492251517
He,293,0.05,15,struct+input,random_struct,gbm,0.9871959354839397,0.01815019545155473,0.008752904430223779,0.0008061664373793313
He,313,0.1,5,struct+input,random_struct,cat,0.9917298028868403,0.004201860987411316,0.00283947166302118,0.00018198649038331203
He,273,0.01,5,struct+input,random_struct,cat,0.9892919296200319,0.0035541688500268344,0.00554269445071046,0.00018841446818995133
Ar,313,0.01,5,struct+input,random_struct,cat,0.9344546313710582,0.014592446490908139,0.061871386776206405,0.0029305857285172325
Ar,313,0.05,1,struct+input,random_struct,gbm,0.9563742880574612,0.024088304840952143,0.0089985831696906,0.0012095277720894093
Ar,293,0.1,1,struct+input,random_struct,gbm,0.9723534883519104,0.00924537225059541,0.01510137876609626,0.0011303991151717346
He,293,0.01,5,struct+input,random_struct,cat,0.9903600760242238,0.0029854963207162433,0.0048792422344573995,0.00022377695899961287
He,293,0.05,1,struct+input,random_struct,gbm,0.9878405913539572,0.016673050382361002,0.00060716751209238,5.099501009660576e-05
He,293,0.1,15,struct+input,random_struct,gbm,0.993988660701767,0.006337802832644982,0.006765501239481419,0.0005547754806597317
Ar,293,0.5,15,struct+input,random_struct,gbm,0.9688392623101489,0.0030293790766790403,0.17220394167817502,0.004016777641744607
He,313,0.01,1,struct+input,random_struct,cat,0.9903599418024609,0.003033202551019705,0.0008991879783579401,3.777113026251582e-05
Ar,313,0.01,1,struct+input,random_struct,cat,0.928526180313559,0.028632838811644256,0.01200915484041076,0.000726859252276855
N2,293,0.01,5,struct+input,random_struct,cat,0.8353482943139994,0.08805659595865159,0.0773022716842811,0.005062613636647165
Ar,313,0.05,15,struct+input,random_struct,cat,0.96182835803798,0.0024885808981114687,0.13495391420524913,0.0011555295779129206
He,313,0.05,1,struct+input,random_struct,cat,0.9926893272725262,0.002876671225528917,0.00065037592862398,3.515073603287529e-05
Ar,313,0.05,15,struct+input,random_struct,rf,0.9592009948986483,0.0026265730550737274,0.1318337226153684,0.00250742641323241
He,313,0.01,1,struct+input,random_struct,gbm,0.9879691974744839,0.011314778853901704,0.0008635530916158601,4.537205781606405e-05
He,313,0.05,1,struct+input,random_struct,rf,0.9918742502195963,0.007048098469287414,0.0005650068517759801,3.424784864399102e-05
Ar,273,0.1,5,struct+input,random_struct,gbm,0.9335627854029065,0.007332872478678703,0.13173061207695871,0.003303614924201023
He,293,0.05,5,struct+input,random_struct,gbm,0.9778257901623133,0.035838660406581783,0.00303401147168514,0.00037139821750210145
He,293,0.5,1,struct+input,random_struct,rf,0.9919680409431862,0.010648011864037,0.00029682631876808,4.7551332128195056e-05
Ar,313,0.1,1,struct+input,random_struct,cat,0.9454113828407991,0.02002629490735212,0.00942433057136286,0.0005438711645147197
He,273,0.1,15,struct+input,random_struct,gbm,0.9804562603207574,0.029279184587562318,0.008433751902903523,0.0011267161551913904
He,313,0.05,15,struct+input,random_struct,gbm,0.9824602141549492,0.026472962447230255,0.00847521515576984,0.0008157318974663644
H2,293,0.01,5,struct+input,random_struct,rf,0.9542107099431558,0.033180297064418336,0.043069648951896036,0.0021232389463666135
Ar,313,0.5,15,struct+input,random_struct,rf,0.9639567970885118,0.002262823798449897,0.12411084199973435,0.00238120388547663
He,313,0.1,1,struct+input,random_struct,cat,0.9929881711467621,0.0032255184101083905,0.00057608019144942,4.659211053600247e-05
He,313,0.1,15,struct+input,random_struct,cat,0.9933805751399432,0.0028104618361265007,0.00838106628905404,0.0005208244183016332
Ar,273,0.1,1,struct+input,random_struct,cat,0.9721599063127861,0.012228464972019477,0.024055987544767482,0.0012937846027345314
Ar,293,0.05,1,struct+input,random_struct,cat,0.9642396560111095,0.006503594196540691,0.01778489900015498,0.000828534763764769
Ar,293,0.01,15,struct+input,random_struct,gbm,0.9612181575771583,0.004738109499316523,0.18947892969930163,0.00374935920767856
Ar,293,0.01,1,struct+input,random_struct,cat,0.9567944042002248,0.009606338712901103,0.01966651919974492,0.0009123098173742071
Ar,293,0.1,1,struct+input,random_struct,rf,0.9699986902065568,0.012210056100454864,0.015448944677155579,0.0011874174574247275
He,293,0.5,1,struct+input,random_struct,cat,0.9934507800846293,0.0036056756072707346,0.00048610903942023994,3.850277272230239e-05
O2,293,0.01,5,struct+input,random_struct,gbm,0.9564788233899163,0.010174202262977437,0.06224592360780958,0.0022228818616156615
Ar,313,0.5,15,struct+input,random_struct,gbm,0.9624779502384344,0.002286530076501359,0.13211739505315329,0.0017839218729896536
Ar,293,0.1,15,struct+input,random_struct,rf,0.9608554316375247,0.0065127370733997865,0.17593964195683814,0.003970613862715821
He,313,0.5,15,struct+input,random_struct,rf,0.9919477659912381,0.009048783568791147,0.004414481237972339,0.0005450383284044314
Ar,273,0.5,5,struct+input,random_struct,rf,0.9489897537256058,0.005965406821031142,0.11272441421538201,0.002728616784711926
He,293,0.1,15,struct+input,random_struct,cat,0.9928379842357693,0.003429784031899546,0.00863171286887568,0.0004959413926748064
He,293,0.05,5,struct+input,random_struct,cat,0.9918819034265001,0.00428202427149966,0.0033291500643939805,0.00020465829957510765
He,313,0.05,5,struct+input,random_struct,rf,0.990022558179201,0.009108535296170636,0.0027852551975616597,0.00018696020456977533
He,293,0.1,5,struct+input,random_struct,gbm,0.9814208359813913,0.0301871856280915,0.002385647970894,0.0003538120718341702
Ar,293,0.1,5,struct+input,random_struct,gbm,0.9635253539219143,0.0033950208631972315,0.07781715108665388,0.0023685634960100097
He,293,0.1,1,struct+input,random_struct,gbm,0.9821713172982088,0.029592735496440828,0.00048297459872208,6.976093883832129e-05
He,313,0.1,1,struct+input,random_struct,rf,0.9925383394579258,0.007309302294683188,0.00046064381484021993,3.6920016882686024e-05
He,293,0.01,15,struct+input,random_struct,rf,0.9878422519838148,0.01013780738533759,0.01355526388842802,0.0006972132214440873
Ar,273,0.1,1,struct+input,random_struct,rf,0.9649104465042543,0.014664447235357854,0.02507949997904494,0.002164292666014432
He,293,0.5,5,struct+input,random_struct,gbm,0.9864031206636901,0.022015336652393115,0.0014032575824723,0.0003289726201346033
Ar,273,0.05,15,struct+input,random_struct,rf,0.9454115986309738,0.00270436039477464,0.26363286670242264,0.005674452078268127
He,293,0.01,15,struct+input,random_struct,gbm,0.9793237590041391,0.028399149684710273,0.01390312971512232,0.001115303462381272
Ar,313,0.5,1,struct+input,random_struct,gbm,0.9842747077389777,0.014474299424390708,0.00542333917456434,0.0007222321898697437
Ar,313,0.5,5,struct+input,random_struct,rf,0.9465778517192625,0.011495514302088195,0.050172765059194414,0.0029966227237935702
He,313,0.5,5,struct+input,random_struct,rf,0.9912781356369896,0.009848743783666153,0.00144669182938554,0.00020061976787466313
Ar,313,0.01,1,struct+input,random_struct,rf,0.94071641615601,0.028120435144058653,0.011364548599308518,0.000905324142216243
Ar,273,0.01,15,struct+input,random_struct,rf,0.9437793003392916,0.003012752749661472,0.2670465456014276,0.00604976356426482
He,293,Henry,5,struct+input,random_struct,gbm,0.9516991067511265,0.07149540579190711,0.0066540144761516,0.0005006141397835018
He,293,0.5,5,struct+input,random_struct,rf,0.9916047670766875,0.010345577421920422,0.00141196049299898,0.00025183464703080636
He,293,0.5,5,struct+input,random_struct,cat,0.993014526394145,0.004057656230166197,0.00234301211988168,0.00019116067671107547
He,273,0.05,1,struct+input,random_struct,gbm,0.9860007187814634,0.018968634921178132,0.00068780400846382,6.157289039410126e-05
He,273,0.5,5,struct+input,random_struct,gbm,0.9824287808367999,0.020186452180790116,0.00195324497202576,0.0003713120084808116
He,273,0.1,1,struct+input,random_struct,gbm,0.987616763793576,0.016573829658228883,0.0005692907826828399,5.571822461864094e-05
Ar,293,0.05,15,struct+input,random_struct,cat,0.9634246639020768,0.0062120908036384145,0.1814084462352739,0.004820380652017302
He,313,0.01,5,struct+input,random_struct,rf,0.9877688103905294,0.009038491027574707,0.00423930929606358,0.00020748801729791443
He,293,Henry,15,struct+input,random_struct,cat,0.9940228523800669,0.002929249039316645,0.00644800324640934,0.00046763963526813036
Ar,313,0.5,5,struct+input,random_struct,cat,0.9437401584670514,0.013180107812328968,0.05192985780675502,0.0029370646157193515
