GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,313,0.5,15,struct+input,qt_then_rd,rf,0.9644533982249817,0.002630705352867928,0.11778429882129601,0.00209769250111641
Ar,313,0.5,1,struct+input,qt_then_rd,gbm,0.9978671773134149,0.00012875732513852677,0.00322993723122426,7.303668822722587e-05
Ar,293,0.5,15,struct+input,qt_then_rd,cat,0.966332161030136,0.002623803697972953,0.17019880181011487,0.005380014572891213
N2,293,0.01,5,struct+input,qt_then_rd,cat,0.9661628838383705,0.003562966427984039,0.05819933142837867,0.002032934923152481
Ar,273,0.1,5,struct+input,qt_then_rd,cat,0.9507081384015524,0.0027413283945549624,0.11138714259185512,0.0030435513585424625
He,293,0.01,15,struct+input,qt_then_rd,gbm,0.9886320874742479,0.0003344081172888373,0.013166514811258379,0.00021196062447798587
He,293,0.05,1,struct+input,qt_then_rd,rf,0.995786527486788,0.00015293625789543556,0.0005303269291090801,4.933382100287668e-06
He,293,Henry,15,struct+input,qt_then_rd,cat,0.9975231859609657,0.0005630524412152734,0.00500059828135534,5.5901565717228365e-05
Ar,293,0.5,1,struct+input,qt_then_rd,cat,0.9953614619655891,0.0003953889268421814,0.00755306250786762,4.217874980876186e-05
Ar,273,0.01,5,struct+input,qt_then_rd,rf,0.939136288741653,0.0019581528527420067,0.11648707959111664,0.0016274316384217561
Ar,293,0.1,1,struct+input,qt_then_rd,rf,0.9906291818881365,0.0012992654381774058,0.00902545601647158,0.00017294038789786293
Ar,313,0.05,15,struct+input,qt_then_rd,cat,0.9641377068082695,0.0010128266563692466,0.1264721643215677,0.0022036226769207583
He,273,0.5,1,struct+input,qt_then_rd,cat,0.996660474211367,0.0003912662414795664,0.00047911129686448,2.039441083115651e-05
Ar,293,0.5,5,struct+input,qt_then_rd,cat,0.9735962086181779,0.002112513015248446,0.06281898747721368,0.0013951494099158283
He,293,0.1,5,struct+input,qt_then_rd,gbm,0.9975964777882776,3.0435097132738477e-05,0.00198899151167472,1.824701762812303e-05
H2,293,0.01,5,struct+input,qt_then_rd,gbm,0.9816644524746702,0.0003649457040436195,0.0341788023862552,0.000429484980827775
He,293,0.5,15,struct+input,qt_then_rd,rf,0.9990875281310378,4.483712582100338e-05,0.0033173979856588,4.102300127468047e-05
He,273,0.05,1,struct+input,qt_then_rd,cat,0.9939034681127371,0.0005154176187408382,0.00068386738430588,1.2408339342383675e-05
He,313,0.5,15,struct+input,qt_then_rd,cat,0.9964931958377458,0.000355583164516946,0.00575479063901294,0.00018012750079036174
He,313,0.5,15,struct+input,qt_then_rd,rf,0.9981338367259731,0.00023244269861673306,0.0035939073477367404,4.5988025337806805e-05
He,313,0.05,1,struct+input,qt_then_rd,rf,0.9950103565748943,0.0002743593535341554,0.00051732652320602,1.041920388949734e-05
He,293,0.5,5,struct+input,qt_then_rd,cat,0.997467308084827,0.0007279044458517672,0.0018221981686111597,2.586170694697976e-05
He,273,0.5,5,struct+input,qt_then_rd,gbm,0.9982325916029307,0.0002034396135355658,0.0014945491734167401,1.7701707931187615e-05
He,293,0.5,15,struct+input,qt_then_rd,cat,0.9974108614721015,0.0004308913139421233,0.00548879891985914,0.00012184524725123587
He,273,0.01,1,struct+input,qt_then_rd,gbm,0.9876359455755598,0.0005218307578729823,0.0010332001773606,1.9831705156545213e-05
Ar,313,0.5,15,struct+input,qt_then_rd,gbm,0.9645897290211867,0.002653966744042146,0.12445505040586427,0.0026196611254029147
He,313,0.1,1,struct+input,qt_then_rd,cat,0.9952921071501489,0.0002968063292274826,0.00049771581563802,1.406636316934766e-05
He,293,Henry,1,struct+input,qt_then_rd,rf,0.9734928575745613,0.0010662808926153585,0.0011931514222056397,1.3682911798859547e-05
Ar,313,0.5,5,struct+input,qt_then_rd,rf,0.9707033782946116,0.0038649583664320335,0.03827704697096328,0.0007969439807534544
O2,293,0.01,5,struct+input,qt_then_rd,rf,0.9670211712616433,0.0038050783993162644,0.05492334914412926,0.0012365973231880422
