filename,Ar_273K,Ar_293K,Ar_313K,rel_273K,rel_293K,rel_313K
ja500330a_si_009_auto,0.191385309,0.26967199,0.104672954,1.8284122276705785,2.576329220631339,1.0
ja507947d_si_001_auto,0.278794202,0.299703428,0.18026244,1.546601732451863,1.6625949809622016,1.0
ja512311a_si_003_auto,0.198855748,0.303067818,0.138472696,1.4360646809389772,2.1886467639800986,1.0
ja512311a_si_007_auto,0.133289042,0.189035786,0.097044812,1.3734793159267493,1.9479226359880013,1.0
ja512762r_si_002_auto,0.181853641,0.204585161,0.11433429,1.5905433181943929,1.7893596138131438,1.0
ja512973b_si_002_auto,0.284835992,0.329953227,0.181948952,1.5654720121718535,1.8134384582770229,1.0
ja512973b_si_003_auto,0.279907654,0.324224872,0.190515878,1.4692090598348975,1.7018259863883891,1.0
ja512973b_si_004_auto,0.282758212,0.312261647,0.204607434,1.3819547338636777,1.5261500566983308,1.0
ja512973b_si_005_auto,0.306507018,0.329756204,0.220784557,1.3882629390605432,1.4935655304913378,1.0
JALCAD_clean,1.122602593,0.470184174,0.531526596,2.112034659127387,0.8845919988545597,1.0
JAVSUV_clean,2.998494761,0.392054,1.575174495,1.9035952972308634,0.2488955993412019,1.0
JAVTEG_clean,2.379992871,0.373746828,1.087046866,2.1894114646203304,0.3438185046936146,1.0
JILWIL_clean,3.172527221,0.346859494,1.386996424,2.287336265691771,0.2500795878043302,1.0
JILWOR_clean,2.606756465,0.296547635,1.120622213,2.326168832600144,0.2646276609189434,1.0
JIZWEW_clean,0.802676193,0.291155543,0.391138133,2.0521553008486646,0.7443803567984,1.0
JIZWIA_clean,0.871100692,0.304529788,0.426028533,2.0447003534385337,0.7148107800563678,1.0
JIZWOG_clean,0.892614798,0.316643144,0.424901018,2.1007593773286746,0.7452162517530141,1.0
LETQAE01_ion_b,0.250213777,0.63276873,0.124808858,2.0047757908336927,5.069902410292064,1.0
LOFZUB_clean,3.060493436,0.335840896,1.325129995,2.3095797752280145,0.25343996231856486,1.0
LOGBAK_clean,3.033586138,0.332792986,1.324431012,2.2904825623337186,0.2512724203712621,1.0
LOGBEO_clean,3.051544742,0.343168121,1.333042315,2.2891581967523664,0.2574322788845604,1.0
MILQIJ_clean,1.779441203,0.490788409,0.849631728,2.094367647014237,0.5776484008610375,1.0
MIMFOF_clean,2.437426942,0.40475989,1.262454748,1.9307044041470864,0.32061338486882546,1.0
MISQIQ01_clean,2.523736816,0.314190754,1.832055605,1.3775437869419906,0.1714962980067409,1.0
MISQIQ02_clean,2.525289483,0.319901051,1.831047314,1.3791503167023023,0.1747093308589403,1.0
MISQIQ03_clean,2.491300213,0.30899969,1.809723283,1.376619418229588,0.17074416453755709,1.0
MISQIQ04_clean,2.523379765,0.316211108,1.840604704,1.3709514919288177,0.17179740294741744,1.0
MISQIQ05_clean,2.518948063,0.31414298,1.828432295,1.3776545458578218,0.1718100149833549,1.0
MISQIQ06_clean,2.514676028,0.318668974,1.828369434,1.375365383624106,0.1742913483862146,1.0
MISQIQ07_clean,2.526959072,0.314478658,1.826326451,1.383629454973053,0.17219191992089264,1.0
MISQIQ_clean,2.522705895,0.325813759,1.847367293,1.365568127442213,0.17636652994483862,1.0
MOPKEJ_clean,2.998815581,0.437863206,1.612492289,1.8597394861712733,0.2715443720177691,1.0
MORZID_clean,3.073322485,0.572780263,2.189612906,1.403591692658757,0.2615897364463196,1.0
MUBZOA_auto,0.215062931,0.283866129,0.148421466,1.4490015278517732,1.9125678828694497,1.0
MUBZUG_auto,0.224101219,0.29779728,0.151585031,1.4783862068808098,1.964555985742418,1.0
NAPNEA_clean,0.871178428,0.248056141,0.386947132,2.251414614438853,0.6410595155929467,1.0
NAXKOO_clean,1.442355338,0.58974881,0.629594753,2.2909265541480774,0.9367117613192688,1.0
NAYPIM_clean,2.88265227,0.379915769,1.50283739,1.9181398394672626,0.25279898645587995,1.0
NOGDAP_clean,2.979169046,0.338989406,1.347156432,2.211449966190712,0.2516332906466797,1.0
OYEWIA_clean,0.758463801,0.378682719,0.382214599,1.9843925454035314,0.9907594319807759,1.0
PEFJUF_clean,2.186202143,0.267764331,0.851074485,2.568755357529018,0.31461914993257023,1.0
POZHUI_ion_b,0.403145094,2.121484453,0.19367925,2.0815089587552613,10.953597006390721,1.0
QAVPIO_clean,2.120993641,0.309721986,0.960926703,2.207237695006588,0.3223159321445144,1.0
QETHUT_clean,2.993944575,0.386593369,1.562475993,1.916153968709329,0.24742355769430371,1.0
QOLVET_clean,3.093185854,0.569769367,2.187775406,1.4138498154412473,0.26043320783175494,1.0
QONQAM_clean,0.793500124,0.315889073,0.387551423,2.047470546895657,0.815089441691974,1.0
QONQEQ_manual,0.919799835,0.394331842,0.444705202,2.0683361266369893,0.8867263981319471,1.0
RAPBOZ_clean,0.922178338,0.196103614,0.416286675,2.2152482733203027,0.4710782875767042,1.0
RAWZIA_clean,1.409137879,0.560498176,0.597214868,2.3595157363028005,0.9385201307479839,1.0
