filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,DISORDER,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,MOF,chunk_1 time (s)
ATIBOU_clean,4.75824,3.95303,4.75824,1.66268,883.495,531.369,0.0,0.0,0.4562,0.274376,0.0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATIBOU_clean,212.8
ATIBUA_clean,4.92972,3.79229,4.92858,1.6758,825.852,492.811,0.0,0.0,0.4524,0.269961,0.0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATIBUA_clean,212.7
ATICAH_clean,5.2478,3.97372,5.19698,1.59515,971.718,609.171,0.0,0.0,0.4788,0.30016,0.0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATICAH_clean,212.7
ATICEL_clean,4.9438,3.91943,4.9438,1.60993,940.703,584.311,0.0,0.0,0.4708,0.292434,0.0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATICEL_clean,212.4
ATIJUJ_manual,17.44029,16.95439,17.44029,0.753394,1262.36,1675.56,0.0,0.0,0.7098,0.942136,0.0,Co,Yes,Co,manual,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATIJUJ_manual,241.8
ATIRUS_clean,4.46122,3.66446,4.46122,2.04969,327.839,159.946,0.0,0.0,0.4254,0.207544,0.0,Tb,Yes,Tb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATIRUS_clean,392.4
ATIXAE_clean,6.03489,5.11879,6.02804,1.08037,1988.86,1840.92,0.0,0.0,0.5946,0.550369,0.0,Tb,Yes,Tb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATIXAE_clean,160.5
ATIXUX_clean,4.75983,4.08689,4.75983,1.55048,933.775,602.248,10.5817,6.82478,0.5034,0.324673,0.0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATIXUX_clean,366.6
ATOGEV_clean,5.55487,4.3075,5.55487,1.61783,1414.83,874.522,0.0,0.0,0.6026,0.372475,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATOGEV_clean,127.1
ATOWIQ_clean,9.54888,7.69493,9.54888,0.866747,1781.33,2055.19,0.0,0.0,0.6812,0.785928,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATOWIQ_clean,261.3
ATOWOW_clean,9.60606,7.73922,9.60387,0.865497,1776.39,2052.45,0.0,0.0,0.6816,0.787524,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATOWOW_clean,198.0
ATULIM_clean,4.7399,4.20115,4.72096,1.75805,590.761,336.032,0.0,0.0,0.3948,0.224567,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATULIM_clean,234.6
ATUXIY_clean,5.42434,3.78722,5.41357,1.56042,1520.84,974.637,0.0,0.0,0.5342,0.342345,0.0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,ATUXIY_clean,340.5
AVAGIP_clean,4.84155,4.68679,4.83529,1.40449,799.444,569.206,0.0,0.0,0.4578,0.325955,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVAGIP_clean,284.6
AVAGOV_clean,4.8139,4.57423,4.8139,1.40471,790.723,562.91,0.0,0.0,0.4598,0.327328,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVAGOV_clean,289.5
AVAGUB_clean,4.77305,4.26622,4.76857,1.33788,1125.79,841.477,0.0,0.0,0.484,0.361768,0.0,Ag,Yes,Ag,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVAGUB_clean,394.0
AVAJUE_clean,37.52571,19.54108,37.52571,0.164116,999.284,6088.87,0.0,0.0,0.9304,5.66915,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVAJUE_clean,1862.2
AVAKAL_clean,26.25291,12.57512,26.25291,0.207415,1259.45,6072.13,0.0,0.0,0.913,4.40181,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVAKAL_clean,157.2
AVAKEP_clean,25.17564,12.49369,25.17564,0.244994,1420.93,5799.87,0.0,0.0,0.8902,3.63356,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVAKEP_clean,232.3
AVAQIX01_clean,5.36267,3.61603,5.3498,1.32796,1049.23,790.108,0.0,0.0,0.535,0.402873,0.0,Cd,Yes,Cd,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVAQIX01_clean,226.3
AVAQIX_clean,5.44587,3.64311,5.44587,1.30707,1099.34,841.068,0.0,0.0,0.5528,0.42293,0.0,Cd,Yes,Cd,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVAQIX_clean,247.0
AVEHAM_clean,4.51878,3.91316,4.51878,1.20992,526.263,434.955,0.0,0.0,0.4704,0.388785,0.0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVEHAM_clean,524.6
AVELOD_clean,8.08398,4.98141,8.08398,0.915242,1686.35,1842.51,0.0,0.0,0.6036,0.659498,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVELOD_clean,463.2
AVELUJ_clean,8.10638,4.88927,8.10638,0.902679,1696.47,1879.38,0.0,0.0,0.605,0.670227,0.0,Ni,Yes,Ni,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVELUJ_clean,446.8
AVEMAQ_clean,7.89565,4.97897,7.87662,0.907269,1685.58,1857.86,0.0,0.0,0.6116,0.674111,0.0,Ni,Yes,Ni,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVEMAQ_clean,458.1
AVEQID_clean,7.54994,6.22752,7.22874,0.801255,2259.4,2819.83,0.0,0.0,0.702,0.876126,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVEQID_clean,206.2
AVESOL_clean,5.87217,4.28231,5.84929,0.954537,2386.36,2500.02,0.0,0.0,0.6616,0.693111,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVESOL_clean,212.9
AVESUR_clean,6.33732,4.06042,6.33561,1.18458,2288.74,1932.12,0.0,0.0,0.6222,0.525251,0.0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVESUR_clean,223.0
AVETEC_clean,5.69318,3.49916,5.67679,1.19478,1755.51,1469.31,2.63176,2.20271,0.6268,0.524615,0.0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVETEC_clean,162.7
AVEVEE_clean,4.17515,3.43562,4.17515,1.60472,795.582,495.775,0.0,0.0,0.4962,0.309212,0.0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVEVEE_clean,192.5
AVIHIY_clean,6.88379,6.45442,6.88379,1.62124,1571.08,969.06,0.0,0.0,0.5722,0.35294,0.0,Ho,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIHIY_clean,134.2
AVIHOE_clean,6.82367,6.45553,6.82367,1.66276,1569.85,944.123,0.0,0.0,0.5622,0.338112,0.0,Tm,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIHOE_clean,125.3
AVILEY_clean,25.42698,10.76844,22.57889,0.654082,1604.18,2452.57,0.0,0.0,0.8422,1.28761,0.0,"Ir,Hf",Yes,Hf,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVILEY_clean,554.5
AVIMIC_clean,5.83174,5.68454,5.8285,1.51867,600.182,395.202,0.0,0.0,0.4036,0.265759,0.0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIMIC_clean,356.2
AVIMOI_clean,5.73292,4.38571,5.54624,1.22616,1137.64,927.807,0.0,0.0,0.5176,0.422132,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIMOI_clean,384.8
AVIMUO_clean,5.70679,3.6399,5.68672,1.24095,795.076,640.701,0.0545715,0.0439757,0.4934,0.397599,0.0,Mn,Yes,Mn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIMUO_clean,305.2
AVIPAX_clean,7.26399,5.25081,7.26386,0.96381,1855.66,1925.33,0.0,0.0,0.5882,0.610286,0.0,Mg,Yes,Mg,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIPAX_clean,196.1
AVIPOL_clean,6.57451,5.5873,6.57451,0.939158,1727.44,1839.35,0.0,0.0,0.604,0.64313,0.0,Mg,Yes,Mg,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIPOL_clean,219.5
AVITUU_clean,11.69294,6.93274,11.69294,0.710904,1782.6,2507.52,25.4741,35.8333,0.6994,0.983817,0.0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVITUU_clean,399.3
AVIVAC_clean,11.84006,7.39815,11.84006,0.73653,1721.91,2337.87,62.4247,84.7552,0.713,0.968053,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIVAC_clean,401.1
AVIVEG_clean,11.84801,7.36492,11.84801,0.733043,1723.96,2351.79,66.007,90.0452,0.716,0.97675,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIVEG_clean,410.7
AVIVIK_clean,11.79938,6.70311,11.79938,0.734288,1705.89,2323.19,141.576,192.807,0.7142,0.972643,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIVIK_clean,406.6
AVIVOQ_clean,11.94166,7.13512,11.94166,0.709142,1885.38,2658.68,0.0,0.0,0.7218,1.01785,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIVOQ_clean,408.5
AVIVUW_clean,12.04076,6.91892,12.04076,0.729779,1690.09,2315.89,127.81,175.136,0.7162,0.981393,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,AVIVUW_clean,402.2
