name,gas,temp,pressure,cutoff,path,henry_coeff
DAKVIW_clean,helium,273.0,5.0,14.0,DAKVIW_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.56536e-07
DOYLEI_clean,helium,273.0,5.0,14.0,DOYLEI_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.54465e-07
NOCLUN_clean,helium,273.0,5.0,14.0,NOCLUN_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.41055e-07
YIKJUZ_clean,helium,273.0,5.0,14.0,YIKJUZ_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.73631e-07
WIDQEG_clean,helium,273.0,5.0,14.0,WIDQEG_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.7859e-07
VUKTAY_clean,helium,273.0,5.0,14.0,VUKTAY_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.16843e-07
COQJUP_clean,helium,273.0,5.0,14.0,COQJUP_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.75716e-07
ATIBAG_clean,helium,273.0,5.0,14.0,ATIBAG_clean_helium_273.0K_5.0bar_14.0/Output/System_0,7.39472e-08
OQIQOW_clean,helium,273.0,5.0,14.0,OQIQOW_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.48709e-07
PUBRUA_clean,helium,273.0,5.0,14.0,PUBRUA_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.15852e-07
FURQOZ01_ion_b,helium,273.0,5.0,14.0,FURQOZ01_ion_b_helium_273.0K_5.0bar_14.0/Output/System_0,1.12383e-07
ABAYOU_clean,helium,273.0,5.0,14.0,ABAYOU_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.88451e-07
WILGOO_clean,helium,273.0,5.0,14.0,WILGOO_clean_helium_273.0K_5.0bar_14.0/Output/System_0,8.32453e-08
NIJZIP01_clean,helium,273.0,5.0,14.0,NIJZIP01_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.09386e-07
JADJOQ_clean,helium,273.0,5.0,14.0,JADJOQ_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.74691e-07
XANZAQ03_clean,helium,273.0,5.0,14.0,XANZAQ03_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.10861e-07
IQOKIK_clean,helium,273.0,5.0,14.0,IQOKIK_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.47096e-07
