name,N2_293_0.01,N2_293_5
ASINEX_clean,0.0029864469,1.3560222095
ASINIB_clean,0.0028991293,1.3178378705
ASIQEA_clean,0.0023957521,1.0221766132
ASIQIE_clean,0.0023829602,1.0390967268
ASIVAB_clean,0.0027248097,1.3792860057
ASIVEF_clean,0.0028938124,1.3759325762
ASOHUL_clean,0.0025694743,1.0214211032
ASOSUY_clean,0.0044256362,1.5788258554
ASOVEL_clean,0.0045660312,1.3731264019
ASOYOY_clean,0.0034240178,1.4421072321
ASUBIB_clean,0.0069388676,1.8372285785
ASUWUI_clean,0.0029314987,1.0091886926
ATAFIK_clean,0.0048099738,1.7431656703
ATAYAX_clean,0.0045263187,1.8658093021
ATAYEB_clean,0.0041709209,1.7595373687
ATEJOA_clean,0.017750084,2.0147590827
ATEYED_clean,0.0031512032,1.5990838761
ATEYOP_clean,0.0043963923,1.8434155838
ATEYUV_clean,0.0046982055,1.9450125894
ATEZAC_clean,0.0033607947,1.5527757988
ATEZEG_clean,0.0045271563,1.8833268575
ATEZIK_clean,0.0038189429,1.6641233912
ATIBAG_clean,0.0012917476,0.5339995097
ATIBOU01_clean,0.0015216755,0.5776155505
ATIBOU02_clean,0.0013987279,0.5741011668
ATIBOU_clean,0.0014035181,0.5340633785
ATIBUA_clean,0.0013141017,0.5300859456
ATICAH_clean,0.0014450328,0.5489448217
ATICEL_clean,0.0013268755,0.5168826567
ATIJUJ_manual,0.0010405594,0.4893257199
ATIRUS_clean,0.000558266,0.2520377672
ATIXAE_clean,0.0040913633,1.4677870383
ATIXUX_clean,0.0045611586,1.3025107386
ATOGEV_clean,0.0050797179,1.4183573498
ATOWIQ_clean,0.003047785,1.3740873799
ATOWOW_clean,0.0031682672,1.3363681325
ATULIM_clean,0.0054294243,0.912475221
ATUXIY_clean,0.0064080777,1.8423536382
ATUZEW_clean,0.0066956313,1.8825602163
AVAGIP_clean,0.0015196804,0.6113823464
AVAGOV_clean,0.0017952899,0.6796933194
AVAGUB_clean,0.0012670383,0.5213939176
AVAJUE_clean,0.004025288,2.0215654668
AVAKAL_clean,0.0038058897,1.8159377249
AVAKEP_clean,0.0036134528,1.7551220025
AVAQIX_clean,0.0091280769,2.0702127998
AVEHAM_clean,0.0019599797,0.6381764998
AVELOD_clean,0.0023722247,1.0502977845
AVELUJ_clean,0.0024941296,1.112166904
AVEMAQ_clean,0.0023109868,1.0063770628
AVEQID_clean,0.0043236591,1.8858845245
AVESOL_clean,0.0080837536,2.8654818125
AVESUR_clean,0.00500987,1.8690701015
AVETAY_clean,0.0076508408,2.3977154306
AVIHIY_clean,0.0037592307,1.2980601078
AVIHOE_clean,0.003584398,1.2375997529
AVILEY_clean,0.0017188927,0.8208208889
AVIMIC_clean,0.0019809172,0.539579905
AVIMOI_clean,0.0070948821,1.6861726119
AVIPAX_clean,0.006980805,2.2871986613
AVIPOL_clean,0.0057800625,2.1058199453
AVITUU_clean,0.0033304289,1.4473574734
AVIVAC_clean,0.0029120564,1.3504056364
AVIVEG_clean,0.0031275329,1.3780303556
AVIVIK_clean,0.0031821828,1.3868242974
AVIVOQ_clean,0.0031650071,1.4427170427
AVIVUW_clean,0.0030760059,1.3450733724
AVUCEA_clean,0.0048393152,1.8594220438
AVUDAX_clean,0.0026168699,1.0509979191
AWAGEL_clean,0.0027066859,1.1764639627
AWAGOV_clean,0.0021011463,0.7504158702
AWAHEM_clean,0.0008560826,0.3800447258
AWAKEQ_clean,0.0019360428,0.6129821385
AWAREV_clean,0.0027249387,0.7266064019
AWARIZ_clean,0.0025957174,0.7349781863
AWASAU_clean,0.0014319672,0.5214256812
AWASEY_clean,0.0011686529,0.5845957643
AWASOI_clean,0.0013691724,0.4728175972
AWAWUR_clean,0.0036849554,1.3714026685
AWEJIW_clean,0.0039112332,1.2086154597
AWEVIJ_clean,0.0027158205,1.1584012004
AWEWOP_clean,0.0040705218,1.5479525447
AWIBAL_clean,0.0048490757,1.30426656
AWOFOI_clean,0.0068851282,2.3712440047
AWUPAL_clean,0.003373204,1.5874723462
AWUPOZ_clean,0.003407715,1.6447216868
AXAFAG_clean,0.0008389377,0.3477920347
AXIGAR_clean,0.0019696898,0.8974194317
AXIMUP_clean,0.0030135475,1.3409174222
AXINAX01_clean,0.003319842,1.5953335821
AXINAX_clean,0.0034513013,1.5558723919
AXINIF_clean,0.0041118818,1.7672541992
AXIPEE01_clean,0.0020321701,0.8173586341
AXIPEE02_clean,0.0019614572,0.7836444368
AXIPEE03_clean,0.0020658744,0.7958731442
AXIPEE_clean,0.0021094917,0.7776728306
AXUBAW_manual,0.0021681511,1.0551835351
AXUBOL_clean,0.0044107225,1.5879822971
AXUHAD_clean,0.0027253399,1.1765890286
AXUHEH_clean,0.0035278731,0.9269437574
AYOQEM_clean,0.0031215267,1.4054343084
AYOXUJ_clean,0.0011931491,0.4967142087
AYUJIP_clean,0.0023665748,0.9590005809
AZAFIS_clean,0.0079922101,1.7584339375
AZAVOO_clean,0.0096814248,2.3609830512
AZAVUU_clean,0.0069152298,1.7930106239
AZAWAB_clean,0.0059434168,1.7300759463
AZEBUE_clean,0.0078618814,1.456598849
AZIVAI_clean,0.0045377193,1.9101725602
AZIXUD_clean,0.0044519432,1.6745173165
BABREE_clean,0.0033430651,1.403903404
BACGAQ_clean,0.0033063334,1.0432259456
BADXAI_clean,0.0006366867,0.2772985971
BADYAJ_clean,0.0023011613,1.0131896296
BAEDTA01_clean,0.0034741344,0.7583537069
BAFHAU_clean,0.0010592292,0.5031132508
BAKGIF_manual,0.0021763932,0.9542773152
BAKJEE_clean,0.0048988756,1.9207340816
BAKJII_clean,0.005371082,2.0204276564
BAKJOO_clean,0.003793076,1.5157835007
BAKYIY_clean,0.0049728852,1.8969558481
BAKYOE_clean,0.0045975782,1.6952849149
BAMKIM_clean,0.0013695389,0.6343765771
BAMKOS_clean,0.0016044203,0.6732404062
