,MOF,15bar time (s),1bar time (s),5bar time (s)
172,ZIBRAD_clean,1900.5,408.3,1062.7
173,VONDOT_clean,2206.0,554.7,1472.5
174,GUPBUP_SL,401.8,218.9,239.1
175,DURDIF_clean,612.7,150.5,215.0
176,LUMYEZ_clean,1405.9,222.8,597.2
177,TIQGUW_clean,1023.3,324.3,517.7
178,JUJTAL_clean,1247.1,283.2,688.5
179,DAWCOV_clean,1661.5,270.8,755.2
180,DUGGOD_clean,714.5,346.2,359.8
181,ZAHLIG_clean,2986.0,384.7,968.4
182,PUMNOB_clean,371.1,131.3,150.1
183,ILUGOM_clean,692.7,283.2,316.8
184,XISDOU_clean,3872.4,469.0,1861.0
185,FAMHAE01_clean,402.1,318.0,346.3
186,EZUCOS_SL,2569.7,508.6,1398.7
187,SUQHUJ_clean,4221.7,340.3,1618.5
188,RUVKAV_clean,375.8,132.7,147.0
189,VAGMAT_clean,586.6,180.1,205.5
190,KIYQIU_clean,2458.1,345.6,1290.7
191,HULTEN_clean,1798.4,485.9,1247.3
192,RUYVAK_clean,4737.5,556.0,1719.5
193,QIDDAI_clean_h,1702.0,336.8,956.6
194,GELVID_clean,672.4,303.1,320.6
195,ZUHSEC_clean,862.6,397.5,433.9
196,GUDJOG_clean,1171.4,254.2,490.5
197,MAPCIP_clean,628.4,133.0,255.9
198,UTATOA_clean,2873.5,441.6,1517.3
199,BUXNIT_clean,2478.3,478.5,1324.0
200,XAQTOY01_clean,782.8,178.2,441.7
201,RIZXUT_clean,455.7,125.3,158.5
202,KAKBUW_clean,910.1,272.3,387.0
203,SOXZIP_clean,1490.3,333.6,651.4
204,CUYWUP_clean,4045.6,438.9,1835.5
205,ONEJUN_clean,792.6,304.2,322.3
206,NAJTAW_clean,1202.5,216.3,555.7
207,YATWAU_clean,11065.5,1240.9,5194.3
208,VAMPUX_clean,3998.7,405.7,1372.0
209,DOJXOQ_clean,964.0,352.0,742.4
210,HAKWUM_clean,457.7,241.9,257.5
211,SAKDAM_clean,2348.4,390.8,1255.0
212,c6ra14268k_c6ra14268k2_clean,679.0,161.5,303.5
213,VUNNEZ_clean,525.3,208.1,230.9
214,ANONAT_manual,911.2,188.8,327.0
215,OYIVIC_clean,1240.3,243.8,574.9
216,QIWHEL_clean,3947.4,606.4,2042.6
217,LAGBUS_clean,1118.9,294.1,454.7
218,acs.inorgchem.6b01060_ic6b01060_si_003_clean,677.9,217.0,327.1
219,NUVYOT_clean,2431.2,451.1,1305.9
220,SUSZIQ_clean,1187.5,316.1,590.5
221,IYITOB_clean,490.0,173.7,194.9
222,c6ra03969c_c6ra03969c2_clean,644.1,279.8,313.9
223,REZXIE_clean,814.6,185.3,266.6
224,ULEPIM_clean,1165.7,500.1,937.6
225,HAZNON_clean,1624.8,481.8,1163.2
226,HOYRIY_clean,633.0,151.8,291.2
227,c5dt03038b_c5dt03038b2_clean,1693.3,235.1,864.0
228,HIJSOK_clean,1532.0,314.8,673.3
229,ic060608urom20060410_101638_clean,2091.1,443.0,1360.3
230,HIDDAB_clean,1111.8,262.9,703.5
231,ULOGAE_clean,1562.4,242.9,628.9
232,YOCNAH_clean,1824.9,448.9,1161.1
233,SERWIX_clean,2869.2,344.7,1338.0
234,XANMUX03_clean,878.5,220.8,318.1
235,TUMTOK_clean,543.9,159.3,388.3
236,PIYZAZ_clean,196.5,94.0,103.8
