name,O2_293_0.01,O2_293_5
BAKGIF_manual,0.0022456586,1.0214410999
BAKJEE_clean,0.0045136293,1.8768133969
BAKJII_clean,0.0057320335,2.291951121
BAKJOO_clean,0.0035832922,1.4952647952
BAKYIY_clean,0.0052131412,2.07441391
BAKYOE_clean,0.0044764794,1.7797638477
BAMKIM_clean,0.0016532033,0.7110237811
BAMKOS_clean,0.0016658508,0.7473021086
BANMAG_clean,0.0005996386,0.286464902
BAPDAA_clean,0.0018574492,0.8720819527
BAQWIC_clean,0.0008172848,0.372380343
BARZUR_clean,0.0061008111,2.218186682
BASJUB_clean,0.0043425384,1.6513655715
BAWROI_clean,0.0029951925,1.3468093072
BAWRUO_clean,0.001104799,0.4877261734
BAXFIR01_clean,0.0036637785,1.3298575256
BAXGAK_clean,0.0036082019,1.3447221203
BAXSIE_clean,0.0039385809,1.1947904001
BAZFUF01_clean,0.0030839333,1.4954853817
BAZFUF_clean,0.0032355539,1.4985884516
BAZGAM_clean,0.0047841739,2.5129182415
BAZGEQ_clean,0.0033301528,1.5923544165
BAZJET_clean,0.004046065,1.7717974747
BAZJIX_clean,0.0041747829,1.6756324543
BEDYEQ_clean,0.0031240706,1.4552298626
BEFGEA_manual,0.0042603918,1.8674118281
BEFLUV_clean,0.0036920846,1.2881018959
BEFMAC_clean,0.0042750453,1.5023260811
BEJZAS_clean,0.0038900495,1.5575572006
BEKYOG_clean,0.0009756163,0.3890635864
BELJIL_clean,0.0013457579,0.5407396747
BELTOD_clean,0.0042520569,1.6473330735
BELTUJ_clean,0.004401219,1.6425231093
BENZOL_clean,0.0052690015,1.6252239622
BENZUR_clean,0.0045010247,1.4284274708
BEPBAB_clean,0.0055447651,1.7158049396
BEPLUF_clean,0.0013513857,0.6456046347
BEPMAM_clean,0.0012264677,0.651541079
BEPMIU_clean,0.0009819409,0.4901943032
BEPNIV_clean,0.0012629012,0.6453054505
BEPNOB_clean,0.0013256186,0.6277474178
BEPNUH_clean,0.000971555,0.4867340664
BEPPAP_clean,0.0010191356,0.4761272563
BEPPIX_clean,0.001184328,0.6095723663
BEPPOD_clean,0.0012500758,0.6212749008
BEPREV01_clean,0.0071958801,2.8039547902
BEPREV02_clean,0.0060598478,2.5446883031
BEPREV03_clean,0.0068056054,2.7521148045
BEPREV_clean,0.0069644381,2.7356128376
BEPRIZ_clean,0.0038902595,1.691585824
BEPROF_clean,0.004551548,1.9999065588
BEPVEZ_clean,0.0018187815,0.6684284783
BEPVID_clean,0.001794159,0.6733841655
BEPVOJ01_clean,0.0019435355,0.6687584197
BEPVOJ_clean,0.0018286305,0.6570594522
BEPWEA_clean,0.0007399234,0.3321105604
BETDAH_clean,0.0044662242,1.7815555108
BETDEL_clean,0.0047682062,1.8120729376
BETDIP_clean,0.004795767,1.8423146132
BETDOV_clean,0.0038642337,1.2775257844
BETDUB_clean,0.0047643231,1.7873040409
BETFAJ_clean,0.0049911738,1.8526549583
BETFEN_clean,0.0051281435,1.866348675
BETFOX_clean,0.0046816455,1.3222818146
BETFUD_clean,0.0049151136,1.8520286725
BETGAK_clean,0.0048147158,1.8610291309
BETGEO_clean,0.0030397304,1.0978653135
BETGIS_clean,0.0023238097,0.9272330607
BETGOY_clean,0.0026038509,1.0654968106
BETGUE_clean,0.0030178808,1.3398285414
BETHEP_clean,0.0019134397,0.830529772
BETHIT_clean,0.0024075059,1.1281276254
BETZOR_clean,0.005156563,1.6561985594
BEVWAB_clean,0.0040244476,1.479154147
BEWCUD_clean,0.0034793937,1.5537248644
BEWVEG_clean,0.0029111174,1.2261692481
BEWVOQ_clean,0.0016397505,0.7587777099
BEWWEH_clean,0.0014972551,0.7037162069
BEXPAX_clean,0.0063946601,2.6929025191
BEXQIF_clean,0.0023194187,1.0566131157
BEXQOL_clean,0.0018843028,0.9034279742
BEXQUR_clean,0.0019894918,0.9308570594
BEXRAY_clean,0.0018430456,0.9359522515
