name,He_273_0.01,He_273_0.05,He_273_0.1,He_273_0.5,He_273_1,He_273_5,He_273_15,He_313_0.01,He_313_0.05,He_313_0.1,He_313_0.5,He_313_1,He_313_5,He_313_15
ADAXEK_clean,0.0001532797,0.0008167616,0.0014999509,0.0083208954,0.0165279275,0.0798389989,0.2363200207,0.0001182443,0.0006393952,0.0012700315,0.0063370194,0.0122098203,0.0625337245,0.182840745
ADAXIO_clean,0.0001100329,0.0006996121,0.001427143,0.0072703823,0.0144964245,0.0714885416,0.2129514407,0.0001133175,0.0005846524,0.0011003289,0.0055361326,0.0112135025,0.0563877573,0.1653482505
ADEGIA01_clean,9.81182e-05,0.0004940337,0.0010500368,0.005449863,0.0106070936,0.0546501149,0.1603423492,8.60686e-05,0.0004251789,0.0008813424,0.004091701,0.0084932489,0.0412802194,0.1224101982
ADEGIA_clean,9.81182e-05,0.0006128083,0.001148155,0.006033408,0.0111183411,0.05675191,0.1672071803,0.000106725,0.0003787018,0.000838308,0.0044308109,0.0085707107,0.0431255301,0.1272902875
ADIQEL_clean,0.0001681315,0.0007389968,0.0013430973,0.0070595699,0.01456293,0.0717315701,0.2136463361,0.0001016609,0.0005102597,0.0010381146,0.005172978,0.0107134993,0.0532155935,0.1574415199
ADOBAX_charged,8.69201e-05,0.0004616738,0.0008335776,0.0041579137,,,,,,,,,,
ADOBEB_charged,6.55463e-05,0.0004459997,0.0008150537,0.0042747571,,,,,,,,,,
ADOBIF_clean,0.000124224,0.0005689767,0.0012637112,0.006126852,0.0122797736,0.0606642595,0.1776510727,9.04842e-05,0.0004662235,0.0010597384,0.0047849257,0.0093137336,0.0469643447,0.1402780486
ADOBOL_charged,8.3765e-05,0.0003875908,0.0008135147,0.0036743036,,,,,,,,,,
ADOBUR_charged,8.44145e-05,0.0003619807,0.0007554381,0.0038215438,,,,,,,,,,
ADOCEC_clean,0.0001108621,0.0006430002,0.0013208429,0.0062462881,0.0122660984,0.0634337045,0.185382004,8.86897e-05,0.0004703721,0.0009676679,0.0049492005,0.0100013443,0.048400805,0.1465232576
ADODAA_charged,0.0002532129,0.0013562897,0.0028246334,0.0140620464,,,,,,,,,,
ADODII_clean,0.00013536,0.0006667734,0.00153408,0.0075400535,0.0149297086,0.0724677425,0.2174734141,0.00010528,0.0005990934,0.0010502935,0.0058254941,0.0115306681,0.0566180871,0.1686560746
ADODOO_clean,0.0001399481,0.0007365689,0.0014805035,0.0066978666,0.0138990567,0.0679411231,0.2037767199,9.5754e-05,0.0005205087,0.0010385623,0.0052910205,0.0105894068,0.0533005869,0.1560347736
ADODUU_clean,0.0001068612,0.0006581681,0.0013770529,0.0066909713,0.0132993692,0.0657318167,0.1998888394,0.0001020039,0.000478447,0.0011171859,0.0052604883,0.0102878247,0.0521725803,0.1532487578
ADOGEH_clean,0.0003393554,0.0016282371,0.0032614894,0.0163041036,0.0330367233,0.1619059671,0.4722673907,0.000250198,0.0013524066,0.0026039538,0.0130058381,0.0258929854,0.1297624897,0.3754374216
