,MOF,Ar_273_0.01,Ar_273_0.05,Ar_273_0.1,Ar_273_0.5,Ar_273_1,Ar_273_5,Ar_273_15,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_1,Ar_293_5,Ar_293_15,Ar_313_0.01,Ar_313_0.05,Ar_313_0.1,Ar_313_0.5,Ar_313_1,Ar_313_5,Ar_313_15
4447,KIVFAX_clean,,,,,,,,0.000904803,0.004250824,0.008716921,0.043753984,0.085727866,0.419404444,1.219937337,,,,,,,
4448,KIVFAY_clean,0.002607063,0.01331652,0.026622876,0.129062334,0.24968517,1.005570986,2.220803069,0.001839682,0.009069667,0.018039389,0.088401305,0.171922201,0.731297404,1.702675032,0.001307767,0.006386373,0.012857446,0.063018427,0.122826727,0.552162158,1.332907374
4449,KIVFEB_clean,,,,,,,,0.000902453,0.00442984,0.008627198,0.0441103,0.088219544,0.417297898,1.198237892,,,,,,,
4450,KIVFEC_clean,0.002617253,0.013399052,0.026694968,0.128859143,0.249639969,0.995656993,2.227838972,0.00180063,0.008940592,0.01759376,0.087368588,0.170099497,0.730286426,1.710329507,0.001300173,0.006340245,0.012670346,0.062994986,0.123048097,0.552781521,1.332915805
4451,KIVSUF_clean,,,,,,,,0.002088511,0.009994408,0.020331685,0.102332781,0.188601951,0.72038129,1.377314805,,,,,,,
4452,KIVVOC_clean,,,,,,,,0.007290311,0.037123279,0.072458037,0.326308363,0.580380641,1.714747425,2.517497824,,,,,,,
4453,KIXKOS_ion_b,,,,,,,,0.001589649,0.008247474,0.015906882,0.08117601,0.156616814,0.71743883,1.727842742,,,,,,,
4454,KIXXOG01_clean,,,,,,,,0.007502397,0.036912187,0.073450729,0.343908212,0.663895773,2.133989503,3.538083278,,,,,,,
4455,KIXXOG_clean,,,,,,,,0.008030908,0.037843841,0.077501827,0.369805248,0.670842619,2.189084924,3.597259296,,,,,,,
4456,KIYBIF_clean,,,,,,,,0.000946795,0.004828104,0.009536487,0.045888462,0.093490475,0.409017973,1.006338387,,,,,,,
4457,KIYJAF_clean,,,,,,,,0.000955012,0.004511195,0.00913933,0.043341351,0.081613793,0.325954427,0.637525204,,,,,,,
4458,KIYMAI01_clean,,,,,,,,0.011106621,0.055578665,0.109804985,0.501139921,0.888301849,2.53199266,3.89069707,,,,,,,
4459,KIYMAI_clean,,,,,,,,0.011433834,0.05512098,0.1087695,0.495448891,0.870404512,2.499142909,3.880586586,,,,,,,
4460,KIYMEM01_clean,,,,,,,,0.011879857,0.058061274,0.113497644,0.500963244,0.873237296,2.32848091,3.494885077,,,,,,,
4461,KIYMEM_clean,,,,,,,,0.011904306,0.056556566,0.11270195,0.497773797,0.879700649,2.324749146,3.499430317,,,,,,,
4462,KIYMIP_clean,,,,,,,,0.000624315,0.002776651,0.00593502,0.028701258,0.055431841,0.258541273,0.659465529,,,,,,,
