name,H2_293_0.01,H2_293_5
ATULIM_clean,0.0024347259,0.7353247393
ATUXIY_clean,0.0028111399,1.1562077599
ATUZEW_clean,0.0038398417,1.5918960619
AVAGIP_clean,0.0010775567,0.453025526
AVAGOV_clean,0.0011426312,0.4939190915
AVAKAL_clean,0.003358138,1.6659408963
AVAKEP_clean,0.0029870191,1.5853584772
AVAQIX01_clean,0.0052373254,1.8044835262
AVAQIX_clean,0.0051876687,1.7699282781
AVELUJ_clean,0.0016811026,0.7994511128
AVEMAQ_clean,0.0016281712,0.7372153804
AVEQID_clean,0.0028158044,1.3064951669
AVESOL_clean,0.0048600156,2.0987908522
AVESUR_clean,0.0029098593,1.2867189613
AVETAY_clean,0.0052645998,2.1057089317
AVETEC_clean,0.0047045785,1.8529797439
AVETOM_clean,0.0013485718,0.4238851018
AVEVEE_clean,0.0022645665,0.9256903758
AVIHIY_clean,0.0019281456,0.890336638
AVIHOE_clean,0.0020904372,0.8820961644
AVILEY_clean,0.0014775259,0.6958312231
AVIMIC_clean,0.0009641942,0.3649685308
AVIMOI_clean,0.0034995815,1.3137613421
AVIMUO_clean,0.0023955591,0.9931271336
AVIPAX_clean,0.0033144158,1.395329944
AVIPOL_clean,0.0031897586,1.3747932762
AVITUU_clean,0.0031711029,1.4226208152
AVIVAC_clean,0.0028667751,1.2905578034
AVIVEG_clean,0.0028090024,1.3071885339
AVIVIK_clean,0.0028542837,1.2656390326
AVIVOQ_clean,0.0027808967,1.267156737
AVIVUW_clean,0.002848038,1.2679015364
AVUBUP_clean,0.0010979756,0.4368210668
AVUCEA_clean,0.0029678001,1.3437034766
AVUDAX_clean,0.0019351287,0.8281405326
AVUHIJ_clean,0.0009335567,0.3930680208
AVUPIR_SL,0.0004486444,0.2405806673
AWAGEL_clean,0.001687814,0.7558806748
AWAHAI_clean,0.0004352495,0.2068641811
AWAHEM_clean,0.0006469707,0.3071844369
AWAKEQ_clean,0.0010337331,0.4796168406
AWAREV_clean,0.0013373778,0.50101987
AWARIZ_clean,0.0012621033,0.4988921095
AWASAU_clean,0.0009234526,0.3802950312
AWASEY_clean,0.0008977522,0.4368856006
AWASOI_clean,0.0008471139,0.3605520244
AWAWUR_clean,0.0022973474,0.989952285
AWEGEP_clean,0.0006908758,0.3212122103
AWEJIW_clean,0.0021132202,0.8657898748
AWEVIJ_clean,0.003347365,1.1703200384
AWEWOP_clean,0.0023671454,1.0860024694
AWIBAL_clean,0.0024912288,0.9435790825
AWOFOI_clean,0.0026852533,1.1867113032
AWUPAL_clean,0.0028126916,1.3719654673
AWUPOZ_clean,0.0028186862,1.39045423
AXAFAG_clean,0.0005341016,0.2589463315
AXIGAR_clean,0.0016856487,0.775376435
AXIMUP_clean,0.0020327317,0.9403216147
AXINAX01_clean,0.0027601458,1.274006613
AXINAX_clean,0.0028529435,1.2681780019
AXINEA_clean,0.0017868628,0.6398825099
AXINIF_clean,0.0028705313,1.3129786652
AXIPEE01_clean,0.0013303279,0.6348003693
AXIPEE02_clean,0.0014710929,0.6179885401
AXIPEE03_clean,0.0014968667,0.6310373851
AXIPEE_clean,0.0013878235,0.6363408534
AXUBAW_manual,0.0016019673,0.8164071495
AXUBOL_clean,0.0027310014,1.1563929064
AXUPEO_clean,0.0016157132,0.6750485676
AYUPOZ_clean,0.0002891092,0.1620775105
AZAWAZ_clean,0.0002758526,0.1170852592
AZEBUE_clean,0.0027222787,0.9835310267
AZOHEC_clean,0.00283798,1.040282927
BABREE_clean,0.0024424366,1.1614269766
BACGAQ_clean,0.0020923791,0.8175024501
BACMOH_clean,0.0011006461,0.4870379525
BADJIC_clean,0.0012940116,0.575595422
BADXAI_clean,0.0008513092,0.3570639508
BADYAJ_clean,0.0017222222,0.8164889917
BAEDTA01_clean,0.0012762551,0.4404940067
BAFCAP_clean,0.0038160354,1.2237063909
BAFHAU_clean,0.0009629357,0.4757933903
BAHGUN01_clean,0.0037954763,1.2293943519
BAHGUN02_clean,0.0037007023,1.2551623718
BAHGUN03_clean,0.0038782156,1.2531916727
BAHGUN04_clean,0.0036916762,1.208295836
BAHGUN_clean,0.0037789285,1.2464897911
