mof_name,base_atoms,core_atoms
LAGQOB_clean,50,50
CIGFAB_clean,172,172
AQUDEX_clean,188,188
PUJQEQ_clean,424,424
cg301725z_si_003_clean,152,152
VANXUD03_clean,48,48
XANZAQ02_clean,132,132
TACQUK_clean,256,256
GUJVIR_clean,90,90
SEHSUU_clean,76,76
KITCAT_clean,96,96
QUSRUT_clean,192,192
RIYBEI_clean,648,648
CUMDEU_clean,84,84
BIZMEE_clean,534,534
TEJGAS_clean,156,156
WEMCAU_clean,52,52
KEJBIL_clean,36,36
HEDCIE_clean,264,264
YINCEF_clean,166,166
ILECIN_clean,104,104
UCUJOU_clean,832,832
RUWXAJ_clean,66,66
TARWEO_clean,68,68
ULOJUC01_clean,688,688
HOVGEG_clean,376,376
QIDDAI01_clean_h,151,151
AFOQUI_clean,138,138
TUPDOZ_clean,164,164
KONFEA_clean,70,70
WIZDEP_clean,54,54
RAVVUH_clean,84,84
BONNIC_clean,90,90
SEYFAE_clean,88,88
HAZGOF_clean,100,100
IBASEL_clean,178,178
CUGFOB_clean,74,74
ORIBAU_clean,268,268
KEJBOQ_clean_h,216,216
RUGXOI01_clean,136,136
VABJUE_clean,148,148
WAVROC_clean,804,804
SIDCAL_clean,230,230
CUGLIB_clean,264,264
UREVOE_clean,94,94
TIQGEG_clean,114,114
QEFWUV_clean,564,564
VORBUA_clean,72,72
HAKCAZ_clean,518,518
CIFGUV_clean,168,168
GIRZAK_clean,178,178
LIDZUV_clean,120,120
LETQAE_clean,804,804
WIDZUG_clean,140,140
NUGRIR_clean,570,570
SUXGUP_clean,1636,1636
HIWXER_clean,70,70
OQUXIJ_clean,400,400
jacs.6b08724_ja6b08724_si_009_clean,263,263
UXEDIL03_clean,68,68
JORSEQ_clean,268,268
CEYYIQ_clean,158,158
XUMVAD_clean,112,112
YUQNAB_clean,254,254
FINQOK_clean,164,164
GAMVAS_clean,112,112
APACAX_clean,372,372
WUYYEW_clean,350,350
XONLES_clean,736,736
KOSKAG_clean,54,54
VIRKIQ_clean,40,40
WASNIO_clean,164,164
FURROA_clean,414,414
ADASIJ_clean,552,552
NADZEZ_clean,152,152
DOJYAD_clean,132,132
BIJDUV_clean,670,670
NAQLAT_clean,292,292
VUKTUS_clean,332,332
HAJDII_clean,330,330
IWEVAJ_clean,680,680
GAYPED_clean,590,590
ELELEN_clean,130,130
IDORIE_clean,580,580
UNIMAG_clean,988,988
CUYYAX_clean,136,136
AJUNOK_clean,384,384
XOPLUL_clean,55,55
PIDNIB_clean,1376,1376
TAJTOQ_clean,464,464
JIYXUL_clean,131,131
XEGJUQ_clean,416,416
c6ra27069g_c6ra27069g2_clean,164,164
GEJJEL01_clean,68,68
SEFWIL_clean,276,276
PEPFAT_clean,480,480
TATYOF_clean,312,312
TIFDOB_clean,1232,1232
