,MOF,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_15,Ar_293_1,Ar_293_5
9698,WENSIS_clean,0.0001808531,0.0008305331,0.0016735868,0.0086294756,0.2520410639,0.0175135367,0.0851414694
9699,WERHIK_clean,0.0043228301,0.0212721001,0.0416550714,0.2010659036,2.5042005837,0.3761856915,1.3660001165
9700,WERKUZ_clean,0.000269609,0.0013628182,0.0026419222,0.0136331065,0.346941262,0.0272588264,0.1286576719
9701,WESNEO_clean,0.000208592,0.0011298732,0.0021355844,0.0102607383,0.3076259727,0.0219915533,0.1062627088
9702,WESNIS_clean,0.0001760243,0.0008591662,0.0017707206,0.0084554528,0.2551954132,0.0173803036,0.0845147126
9703,WESYAV_clean,0.0082304239,0.0407191456,0.0786602048,0.3662959865,3.0045710115,0.6653869665,1.9511884214
9704,WETPES_clean,0.0071245708,0.0349811032,0.0693800873,0.3237491307,5.5098545731,0.6180771063,2.3881141148
9705,WEVQIX_clean,0.0007411762,0.0038027903,0.0075822506,0.0379830375,0.9260018682,0.0755730542,0.3603785374
9706,WEVQOD01_clean,0.0006695194,0.0032464465,0.0066197324,0.0321112415,0.7724102257,0.0644135449,0.3064134944
9707,WEVQOD_clean,0.0006679138,0.0032127297,0.006272931,0.0324050594,0.8070807331,0.0642289053,0.3052189562
9708,WEVQUJ_clean,0.0006604522,0.0032358918,0.0064798774,0.0327085694,0.808879068,0.0639715903,0.3038047552
9709,WEVRUK_clean,0.000685175,0.0032825812,0.0065272802,0.0324618132,0.8361259839,0.0632666888,0.3116031011
9710,WEVZUT_clean,0.0017866537,0.0086554481,0.0173841293,0.0833264155,1.4183182804,0.164294262,0.6804756174
9711,WEWGAH_clean,0.001477338,0.0079551547,0.0148253631,0.0713951656,0.770739454,0.1305088066,0.4791806873
9712,WEWTOI_clean,0.0002623957,0.0013544615,0.0026547779,0.0140652418,0.3326577543,0.0262720557,0.1309012945
9713,WEXNIW_clean,0.0002787606,0.0013859976,0.0028991101,0.0140863301,0.381020008,0.0281905008,0.1382462963
9714,WEXQOF01_clean,0.0033310122,0.016530924,0.0325885753,0.1579502373,1.8351110097,0.2936243305,1.0551601885
9715,WEXQUL_clean,0.0122982012,0.0585446871,0.1168943701,0.4642476226,1.6584540675,0.7560690485,1.4302252565
9716,WEXSEZ_clean,0.0062311789,0.0297774576,0.0593957098,0.2884580368,4.8658634945,0.5648809507,2.2697351171
9717,WEXTAV_clean,0.002423251,0.0115671584,0.0235287995,0.1130258041,1.8363445552,0.2195534807,0.8770579294
9718,WEYMIY_clean,0.00089555,0.0047442826,0.0095175031,0.0468930073,0.9129187735,0.0920360367,0.4049165256
9719,WEYQAU01_clean,0.0054952385,0.0264406829,0.0533940939,0.2632486667,4.3068414034,0.5042891705,2.0714656436
9720,WEYQAU02_clean,0.0067912776,0.0341650753,0.0663029036,0.3263768382,4.7566907498,0.6266975892,2.4555626189
9721,WEYQAU03_clean,0.0067594777,0.0338431008,0.0685805753,0.3343327891,4.8634908946,0.6433011401,2.5053076841
9722,WEYQAU04_clean,0.0064394906,0.0330620145,0.066372466,0.3218373948,4.6730946338,0.6199321491,2.3979430902
9723,WEYQAU05_clean,0.0066203529,0.0330640019,0.0676742767,0.3241945664,4.7417050216,0.6259483028,2.4696181985
9724,WEYQAU06_clean,0.0068111526,0.0338450883,0.0683142507,0.3289625719,4.7862428443,0.6364263876,2.467549214
9725,WEYQAU07_clean,0.00686084,0.0345367373,0.0682307758,0.3335139403,4.8136544045,0.6442352638,2.5245824311
9726,WEYQAU08_clean,0.0069304024,0.0341332754,0.0679346388,0.3361255115,4.8578046653,0.6439371392,2.5107236138
9727,WEYQAU09_clean,0.0067197277,0.0348845493,0.0686521252,0.3365607734,4.863900319,0.6400833823,2.5441016403
9728,WEYQAU10_clean,0.0057968433,0.0272027376,0.0540536029,0.2681869418,4.4499749739,0.5187279951,2.1482944263
9729,WEYQAU12_clean,0.0064891781,0.0325273777,0.0643889439,0.3131619699,4.5644361792,0.6044097966,2.3663498361
9730,WEYQAU13_clean,0.0058034916,0.0287829332,0.0575281039,0.2792632192,4.2110353428,0.5365069578,2.1377658058
9731,WEYQAU14_clean,0.0050999176,0.0257838,0.051982987,0.2544413677,3.8897365597,0.4973930147,1.9237938542
9732,WEYQAU15_clean,0.0048276305,0.0240367901,0.0477754556,0.2368619558,3.7083039109,0.4579988344,1.7801793004
9733,WEYQAU16_clean,0.0039889067,0.0192051846,0.0393961677,0.1920697334,3.2783228232,0.3740588814,1.5178416067
9734,WEZCIO_clean,0.0006281538,0.0033562791,0.0068011011,0.0339737638,0.8980945078,0.0683869011,0.3306277375
9735,WIBDAO_clean,0.0012029475,0.0062303134,0.0129279825,0.0619114765,1.0659562637,0.1193699081,0.4877598141
9736,WIBSAD_clean,0.0021357566,0.0106735801,0.0212717193,0.107451188,2.3884860352,0.2105840374,0.9489600897
9737,WICGEV_clean,0.0017547968,0.0085456527,0.0172190432,0.0827596651,1.3660158851,0.1632695497,0.6531149235
9738,WICQIJ_clean,0.0035273249,0.0171538558,0.0338327297,0.1633723727,2.4158710301,0.316012879,1.206263345
9739,WICQOP_clean,0.0012899783,0.0065329483,0.0131048295,0.0646624315,1.284466655,0.127360047,0.5378080298
9740,WIDQEG_clean,0.0039456499,0.0191782389,0.0384574634,0.1901882603,4.2881929152,0.3776643371,1.735734315
9741,WIDTAF_clean,0.0172589275,0.0844735489,0.1631944715,0.5856502826,2.3646387114,0.9154360745,1.8063047545
9742,WIDWOX_clean,0.0011587979,0.0058895654,0.0117830925,0.0569539248,1.1474282792,0.1134646343,0.4885769135
9743,WIDZOA_clean,0.0014148588,0.0073673826,0.0146157445,0.0699380634,1.1436701072,0.1361552414,0.5647696861
9744,WIDZUG_clean,0.0019564902,0.0097701108,0.0191801107,0.0945195677,1.6219416018,0.1837563875,0.7355505714
9745,WIFBAQ_clean,0.0029613843,0.0149609046,0.02959599,0.1451234528,2.3999821686,0.2838309448,1.1323512367
9746,WIFGOJ_clean,0.0013204847,0.0064930407,0.0128022736,0.0604761677,0.8531368347,0.113095959,0.4150336286
9747,WIFGUP_clean,0.0,1.3143e-06,3.2858e-06,3.28579e-05,0.0008050184,6.76873e-05,0.0002720634
9748,WIHCUM_clean,5.51919e-05,0.0002376317,0.000383277,0.0020497653,0.0641268381,0.0043831555,0.0202385576
9749,WIHDUN_clean,0.0074403126,0.0378289677,0.0750558292,0.3596319738,3.8219173011,0.663892944,2.2551028332
9750,WIHSEN_clean,0.0016549488,0.0079402143,0.0161273434,0.0801234172,1.4543247616,0.1546554085,0.6640566163
9751,WIHSUD_clean,0.0010674928,0.0054342576,0.0111026629,0.0536060239,1.1386673178,0.1061427113,0.4602415147
9752,WIHTAK_clean,0.0010422163,0.0054954905,0.0110085829,0.0524563656,1.1318959579,0.1052675479,0.4642726031
9753,WIHTEO_clean,0.0011868127,0.005734536,0.0112158978,0.0562846638,1.1741502473,0.1137646109,0.489809186
9754,WIHTIS_clean,0.0016416443,0.0086566818,0.0165651549,0.0812817228,1.6378846305,0.1597413975,0.7257984637
9755,WIHVAL_clean,0.0017244591,0.0085775872,0.0169092793,0.0830630421,1.3647081703,0.1613215497,0.6603113467
9756,WIHVEP_clean,0.001730846,0.0085121216,0.0170625645,0.0829353044,1.3540149273,0.1609654808,0.6511509562
9757,WIHWAN_clean,0.0036716798,0.0181736701,0.0362099385,0.1785993613,4.0679311725,0.3556048625,1.6121239251
9758,WIJDAV_clean,0.0042764286,0.021259632,0.0420131914,0.2071096681,2.8668856518,0.3936638551,1.5154117141
9759,WIJXEU_clean,0.0034318621,0.017140546,0.0357468265,0.1772558883,4.3940345281,0.3466076518,1.62610427
9760,WIJXIY_clean,0.0025770634,0.0131309683,0.025579572,0.1276362869,3.62017133,0.2592416608,1.229700507
9761,WIKGII_clean,0.0014312115,0.0074010311,0.014459099,0.0719694916,1.7811459862,0.1409983572,0.6563673415
9762,WIKLOT_clean,0.0016531579,0.0081863365,0.0165502739,0.0825617506,1.8589633848,0.161148845,0.7353154248
9763,WIKNOU_clean,0.0007364192,0.0037712167,0.0074931825,0.0367162035,0.5058652607,0.0692726549,0.2702947681
9764,WIKXAQ_clean,0.0017775503,0.0085515628,0.0171862067,0.085053851,2.3689934871,0.1724842095,0.8216359281
9765,WIKYAQ_clean,0.0011779518,0.0056471751,0.0116199806,0.0579676838,1.1117187496,0.1137313522,0.4799191848
9766,WILDUR_clean,0.0064455112,0.0325323049,0.0630930417,0.286751565,2.6339134412,0.5110224476,1.5476924295
9767,WILFAZ_clean,0.0054640194,0.0284832934,0.0568149278,0.2542450135,2.4853690884,0.4675163201,1.4235923739
9768,WILFED_clean,0.0028090666,0.0141247491,0.0283618156,0.1392620849,2.5742905545,0.2809191372,1.1658182202
9769,WILGII_clean,0.003526669,0.0179622574,0.0354676923,0.1746706188,2.54523177,0.3372498008,1.294638641
9770,WILGOO_clean,0.0018784074,0.0096193524,0.0190394983,0.0918024258,1.507995724,0.1825587119,0.7239140126
9771,WILGUV_clean,0.0030411238,0.0156521114,0.0305315008,0.1499260219,2.1133806156,0.283488033,1.0875114065
9772,WILHIK_clean,0.0084539325,0.0420233643,0.0840501976,0.3890751603,2.9371726428,0.6857849502,1.9707098474
9773,WILNEL01_clean,0.0053886151,0.0274985307,0.0544713002,0.2712979918,3.9868048533,0.5198100893,2.0470728581
9774,WILNEL02_clean,0.0143520189,0.0710283227,0.1378645684,0.6379851115,5.0537937393,1.189460999,3.5803075184
9775,WILNEL_clean,0.0140413761,0.0720387125,0.1438020097,0.6633105083,5.0444504356,1.187526687,3.6180490208
9776,WILRAK_clean,0.0011471507,0.0059030463,0.0112229577,0.0563705074,1.5590040892,0.1139526927,0.5593100527
9777,WILREO_clean,0.0011423709,0.0056210384,0.0112922647,0.0569775413,1.5510027131,0.1128891884,0.5537822203
9778,WILRIS_clean,0.0011026591,0.0051876068,0.010568924,0.0527424429,1.4253338123,0.1047270737,0.5138561867
9779,WIMJAE_clean,0.0023021828,0.0107375939,0.0213809672,0.1069883901,2.5938649157,0.2125848041,0.9845840288
9780,WIMWEW_clean,0.0056392424,0.0291000408,0.0573387563,0.2787643394,3.9006968259,0.5215617884,2.0244792605
