,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
380,He,273K,0.05,5,struct+input,qt_then_rd,rf,rf,0.99512174,0.000336758,0.003038745,5.59e-05,2.08e-05,2.1e-06,3.856398811,0.063249894,52.37232661,0.080918115,0.393186474,0.008072577
383,He,273K,0.05,5,struct+input,random_struct,rf,rf,0.961824954,0.046211281,0.00349776,0.000304173,0.00046556,0.00063806,4.04494238,0.094661469,52.31941376,0.054934055,0.403863525,0.009015041
386,He,273K,0.05,5,struct,random_struct,rf,rf,0.949036254,0.043295285,0.007553437,0.000307612,0.000597257,0.000622174,12.01785768,0.626906794,50.46867375,0.07005496,0.40719471,0.013521343
389,He,273K,0.1,15,struct+input,qt_then_rd,rf,rf,0.996462308,0.000302079,0.007164831,0.00015684,0.000118311,9.63e-06,3.000637563,0.029322188,52.58928394,0.527765465,0.398688841,0.015675501
392,He,273K,0.1,15,struct+input,random_struct,rf,rf,0.960700661,0.051385831,0.008635774,0.000933606,0.004186847,0.006150823,3.133176886,0.062406463,52.34658999,0.212902353,0.412590933,0.025846638
395,He,273K,0.1,15,struct,random_struct,rf,rf,0.949595069,0.049114936,0.021828881,0.000841143,0.005172194,0.006069825,11.5870917,0.328932535,50.51352034,0.699816079,0.421631098,0.025811643
398,He,273K,0.1,1,struct+input,qt_then_rd,rf,rf,0.996252294,0.000270523,0.000507058,1.03e-05,5.94e-07,3.39e-08,3.143572843,0.04843066,52.49924712,0.20117569,0.399932241,0.001922326
401,He,273K,0.1,1,struct+input,random_struct,rf,rf,0.966398246,0.051532462,0.000591041,7.12e-05,1.75e-05,2.92e-05,3.265715217,0.070764297,52.41914768,0.106786177,0.403206539,0.006798689
404,He,273K,0.1,1,struct,random_struct,rf,rf,0.949836142,0.047431061,0.001536317,6.63e-05,2.44e-05,2.81e-05,12.2196206,0.670639852,50.7373024,0.146652011,0.41540885,0.014966877
407,He,273K,0.1,5,struct+input,qt_then_rd,rf,rf,0.996493331,0.000297538,0.002424261,3.53e-05,1.37e-05,8.93e-07,3.013082411,0.030421166,52.55390921,0.249581262,0.419221592,0.02294143
410,He,273K,0.1,5,struct+input,random_struct,rf,rf,0.963187156,0.0466276,0.002887679,0.000315783,0.000451726,0.000642303,3.131970503,0.060732041,52.25154014,0.15538973,0.408229303,0.015711431
413,He,273K,0.1,5,struct,random_struct,rf,rf,0.949036254,0.043295285,0.007553437,0.000307612,0.000597257,0.000622174,12.01785768,0.626906794,51.37806664,1.504737623,0.417505884,0.012380245
416,He,273K,0.5,15,struct+input,qt_then_rd,rf,rf,0.998063596,0.000341215,0.004440709,0.000146588,6.4e-05,1.22e-05,1.796388413,0.090178142,51.55401692,0.276511429,0.391431999,0.010900731
419,He,273K,0.5,15,struct+input,random_struct,rf,rf,0.961261514,0.051546309,0.006146029,0.000926886,0.004136385,0.006160332,1.903445243,0.053478837,51.53564291,0.083252623,0.40253129,0.014516125
422,He,273K,0.5,15,struct,random_struct,rf,rf,0.949595069,0.049114936,0.021828881,0.000841143,0.005172194,0.006069825,11.5870917,0.328932535,50.36121488,0.614159162,0.409278584,0.009703141
425,He,273K,0.5,1,struct+input,qt_then_rd,rf,rf,0.997987556,0.000434255,0.000311795,1.58e-05,3.15e-07,7.26e-08,1.938719183,0.119213757,51.84525146,0.087069179,0.396160173,0.007105376
428,He,273K,0.5,1,struct+input,random_struct,rf,rf,0.966678398,0.051350521,0.000413106,6.68e-05,1.73e-05,2.91e-05,2.075732383,0.048749572,51.87253184,0.27538107,0.40540204,0.005599826
431,He,273K,0.5,1,struct,random_struct,rf,rf,0.949836142,0.047431061,0.001536317,6.63e-05,2.44e-05,2.81e-05,12.2196206,0.670639852,50.60627298,0.102100129,0.417674112,0.009441147
434,He,273K,0.5,5,struct+input,qt_then_rd,rf,rf,0.998175245,0.000382861,0.0014375,6.38e-05,7.05e-06,1.54e-06,1.780439942,0.102668825,51.67692971,0.274110904,0.399795532,0.004075353
437,He,273K,0.5,5,struct+input,random_struct,rf,rf,0.964114954,0.046561829,0.001964887,0.000269414,0.000441694,0.000640552,1.891714532,0.067849251,51.53133645,0.281725221,0.432666826,0.040187259
440,He,273K,0.5,5,struct,random_struct,rf,rf,0.949036254,0.043295285,0.007553437,0.000307612,0.000597257,0.000622174,12.01785768,0.626906794,50.74353719,0.515226128,0.433632946,0.02683945
443,He,293K,0.01,15,struct+input,qt_then_rd,rf,rf,0.989209184,0.000642092,0.012932563,0.000130273,0.000314983,9.01e-06,6.713090269,0.138941363,51.84554353,1.383128874,0.406504345,0.016300483
446,He,293K,0.01,15,struct+input,random_struct,rf,rf,0.960851671,0.053787571,0.013746746,0.000834333,0.003573613,0.005513244,6.935068592,0.146410623,50.94525332,0.229144768,0.404772425,0.014540247
449,He,293K,0.01,15,struct,random_struct,rf,rf,0.954168457,0.051996793,0.018598035,0.000861136,0.004070628,0.005426114,11.02482494,0.154529595,50.01580367,0.195944645,0.407301474,0.015035298
452,He,293K,0.01,1,struct+input,qt_then_rd,rf,rf,0.988947763,0.000728862,0.000894629,1.52e-05,1.52e-06,5.91e-08,6.831795832,0.1678088,51.81194158,0.556168521,0.401167154,0.006656494
455,He,293K,0.01,1,struct+input,random_struct,rf,rf,0.960497166,0.050069912,0.000952708,6.11e-05,1.67e-05,2.4e-05,7.067275296,0.154821439,51.0136138,0.158236689,0.396577692,0.010552967
458,He,293K,0.01,1,struct,random_struct,rf,rf,0.950177077,0.047020419,0.001297095,5.7e-05,2.03e-05,2.31e-05,11.60143038,0.550089646,51.84989004,3.402325954,0.405135012,0.011002782
461,He,293K,0.01,5,struct+input,qt_then_rd,rf,rf,0.989257584,0.000597593,0.004405124,5.19e-05,3.65e-05,1.08e-06,6.760767646,0.146677242,51.29142752,0.184202269,0.395282078,0.010057649
464,He,293K,0.01,5,struct+input,random_struct,rf,rf,0.962411542,0.047923694,0.004665504,0.000294404,0.000388321,0.000559444,6.965903416,0.13942433,51.00426688,0.221218169,0.40424242,0.007824546
467,He,293K,0.01,5,struct,random_struct,rf,rf,0.954187432,0.045944046,0.006368544,0.000301881,0.000459387,0.000548523,11.34248064,0.400650533,50.73374853,0.980091474,0.412963104,0.00359582
470,He,293K,0.05,15,struct+input,qt_then_rd,rf,rf,0.995943465,8.29e-05,0.007605872,7.12e-05,0.000109748,1.8e-06,3.752933882,0.041635342,50.90526929,0.299170642,0.419757652,0.025992925
473,He,293K,0.05,15,struct+input,random_struct,rf,rf,0.964203716,0.054496293,0.008866285,0.001016519,0.003321743,0.005541967,3.853600025,0.07040294,50.64175057,0.125214585,0.399364185,0.009895653
476,He,293K,0.05,15,struct,random_struct,rf,rf,0.954168457,0.051996793,0.018598035,0.000861136,0.004070628,0.005426114,11.02482494,0.154529595,50.53954544,1.201653782,0.418275928,0.023311222
479,He,293K,0.05,1,struct+input,qt_then_rd,rf,rf,0.995858555,0.000102926,0.000532128,6.4e-06,5.28e-07,1.68e-08,3.870495859,0.046117386,51.08098555,0.156181093,0.395495987,0.002481875
482,He,293K,0.05,1,struct+input,random_struct,rf,rf,0.962673474,0.050084781,0.000616411,6.79e-05,1.59e-05,2.38e-05,3.957575699,0.053065999,50.66366758,0.061646769,0.410186815,0.019744631
485,He,293K,0.05,1,struct,random_struct,rf,rf,0.950177077,0.047020419,0.001297095,5.7e-05,2.03e-05,2.31e-05,11.60143038,0.550089646,50.76153684,0.945236714,0.407763052,0.013218824
488,He,293K,0.05,5,struct+input,qt_then_rd,rf,rf,0.996021016,5.65e-05,0.002562829,2.61e-05,1.25e-05,3.01e-07,3.775376814,0.039575117,51.16336026,0.630715918,0.416789103,0.022598574
491,He,293K,0.05,5,struct+input,random_struct,rf,rf,0.96440372,0.048282489,0.002977188,0.000314105,0.000370977,0.000559915,3.862729298,0.063075208,50.65943618,0.179375239,0.429744816,0.031244874
494,He,293K,0.05,5,struct,random_struct,rf,rf,0.954187432,0.045944046,0.006368544,0.000301881,0.000459387,0.000548523,11.34248064,0.400650533,50.16084943,0.101353063,0.414576054,0.022309141
497,He,293K,0.1,15,struct+input,qt_then_rd,rf,rf,0.997632195,0.000116481,0.00585893,0.00010399,6.73e-05,2.53e-06,2.792288916,0.058709487,50.8119524,0.085724539,0.427017975,0.039394532
500,He,293K,0.1,15,struct+input,random_struct,rf,rf,0.964841926,0.054742106,0.007182408,0.001000429,0.003274519,0.005556122,2.938732685,0.090954557,50.77154708,1.001384398,0.400233698,0.011330202
503,He,293K,0.1,15,struct,random_struct,rf,rf,0.954168457,0.051996793,0.018598035,0.000861136,0.004070628,0.005426114,11.02482494,0.154529595,49.89725528,0.170773409,0.407107258,0.010380731
