Unnamed: 0,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std
163,Ar,293,0.1,15,struct+input,qt_then_rd,gbm,0.912356213,0.080580692,0.200534825,0.007518139,0.216543611,0.249351225,8.01972497,0.183976964
166,Ar,293,0.1,15,struct+input,random_struct,gbm,0.889209928,0.095057453,0.195200665,0.011273327,0.319105298,0.306371151,519742585,613579115.1
169,Ar,293,0.1,15,struct,random_struct,gbm,0.672208995,0.076342571,0.540095338,0.013840844,0.877455649,0.342014346,6163109783,4542400704
172,Ar,293,0.1,1,struct+input,qt_then_rd,gbm,0.981583855,0.003909394,0.01252419,0.000653273,0.001107504,0.000263952,2.88588971,0.058646987
175,Ar,293,0.1,1,struct+input,random_struct,gbm,0.962906161,0.02245349,0.015170207,0.002132112,0.004480145,0.003779737,63528907.3,43280397.9
178,Ar,293,0.1,1,struct,random_struct,gbm,0.253062242,0.093967985,0.153974637,0.007514331,0.082070415,0.016623628,2001936742,1412714681
181,Ar,293,0.1,5,struct+input,qt_then_rd,gbm,0.945382801,0.027394873,0.080336252,0.003032094,0.028914259,0.017681296,5.935205607,0.118064941
184,Ar,293,0.1,5,struct+input,random_struct,gbm,0.938139601,0.0296492,0.08083691,0.003724689,0.041798683,0.022646416,304404210.1,143670245.3
187,Ar,293,0.1,5,struct,random_struct,gbm,0.482658638,0.019538966,0.375656724,0.011092517,0.341791339,0.026910356,4728665775,3834495954
190,Ar,293,0.5,15,struct+input,qt_then_rd,gbm,0.934882061,0.06591396,0.17171336,0.006398212,0.135413727,0.152384387,7.399463991,0.152526902
193,Ar,293,0.5,15,struct+input,random_struct,gbm,0.897215052,0.092005442,0.18475092,0.011739987,0.297324808,0.294558806,431937271.3,586237317.2
196,Ar,293,0.5,15,struct,random_struct,gbm,0.672208995,0.076342571,0.540095338,0.013840844,0.877455649,0.342014346,6163109783,4542400704
199,Ar,293,0.5,1,struct+input,qt_then_rd,gbm,0.994372654,0.001660407,0.0061206,0.000261007,0.000246236,9.21E-05,1.704528491,0.040826177
202,Ar,293,0.5,1,struct+input,random_struct,gbm,0.984347963,0.011606754,0.009181907,0.001170681,0.001911198,0.001865404,50688626.38,31727433.53
205,Ar,293,0.5,1,struct,random_struct,gbm,0.253062242,0.093967985,0.153974637,0.007514331,0.082070415,0.016623628,2001936742,1412714681
208,Ar,293,0.5,5,struct+input,qt_then_rd,gbm,0.963129991,0.021230953,0.060179675,0.001073551,0.015260168,0.009459858,4.905177007,0.129589005
