,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
64,Ar,273K,0.1,1,struct+input,qt_then_rd,gbm,gbm,0.986221924,0.001610173,0.016202448,0.000665252,0.001000137,0.000118888,2.664696499,0.097883575,15.49115691,0.04961144,0.011822033,0.000109539
65,Ar,273K,0.1,1,struct+input,qt_then_rd,rf,rf,0.985107656,0.002022658,0.016238357,0.000793865,0.001080815,0.000144878,2.589734711,0.107499836,36.96907673,0.171408147,0.278885555,0.009445434
66,Ar,273K,0.1,1,struct+input,random_struct,cat,cat,0.97353008,0.010281985,0.026085312,0.002493471,0.006187231,0.003038225,3.865033673,0.166360487,3.515822554,0.075146561,0.002317619,2.40E-05
67,Ar,273K,0.1,1,struct+input,random_struct,gbm,gbm,0.973135396,0.010183548,0.025135687,0.002334293,0.006259132,0.003061849,3.212447647,0.067986971,15.49780474,0.057314936,0.012322855,8.82E-05
68,Ar,273K,0.1,1,struct+input,random_struct,rf,rf,0.970966384,0.009464292,0.026035076,0.00220237,0.006713639,0.002916792,3.126879088,0.063074821,36.85997667,0.154562321,0.283848667,0.009220137
69,Ar,273K,0.1,1,struct,random_struct,cat,cat,0.392269983,0.037119813,0.212007605,0.007552143,0.137685404,0.024460617,53.26237275,4.207201506,3.46943326,0.023480775,0.002434969,0.000108662
70,Ar,273K,0.1,1,struct,random_struct,gbm,gbm,0.288677376,0.025899722,0.226239667,0.007673912,0.160550438,0.02296257,55.95084672,3.346199166,13.73235364,0.066063335,0.011873913,0.000183362
71,Ar,273K,0.1,1,struct,random_struct,rf,rf,0.368565771,0.04974628,0.204124557,0.010165879,0.143212792,0.027808885,51.3716324,3.234273335,41.71149411,1.059127093,0.31863966,0.022461402
72,Ar,273K,0.1,5,struct+input,qt_then_rd,cat,cat,0.949685027,0.004567568,0.113713185,0.001645736,0.032833247,0.002490561,5.708185005,0.171086742,3.446545601,0.037905193,0.00232749,5.77E-05
73,Ar,273K,0.1,5,struct+input,qt_then_rd,gbm,gbm,0.943423261,0.0044127,0.117053872,0.001940558,0.036956167,0.002888354,5.755462274,0.135489944,15.4738668,0.069593545,0.012004328,7.41E-05
74,Ar,273K,0.1,5,struct+input,qt_then_rd,rf,rf,0.945141836,0.004697583,0.110469368,0.002603233,0.03585075,0.003287691,5.432429864,0.138874022,35.84434257,0.107973529,0.274579573,0.010310257
75,Ar,273K,0.1,5,struct+input,random_struct,cat,cat,0.943767556,0.009313985,0.129542712,0.007166746,0.058495587,0.013556248,6.579362389,0.340018819,3.629376268,0.179893118,0.002472305,0.000172771
76,Ar,273K,0.1,5,struct+input,random_struct,gbm,gbm,0.9379783,0.008479141,0.134507661,0.006986485,0.064417311,0.01308073,6.563221746,0.320082131,15.56390424,0.117974859,0.01250186,0.000180559
77,Ar,273K,0.1,5,struct+input,random_struct,rf,rf,0.936210385,0.006818241,0.130992096,0.007914688,0.066158731,0.011688073,6.209506985,0.384874793,35.92158756,0.141460537,0.291349554,0.020004644
78,Ar,273K,0.1,5,struct,random_struct,cat,cat,0.536265239,0.03344935,0.466601951,0.019993135,0.479492207,0.062976628,31.42590048,1.658490331,3.201104355,0.031880961,0.002252293,6.45E-05
79,Ar,273K,0.1,5,struct,random_struct,gbm,gbm,0.482032534,0.024437145,0.486079967,0.019711407,0.534939416,0.057222296,32.11065719,1.351240811,13.74012494,0.057963835,0.012211895,0.000332068
80,Ar,273K,0.1,5,struct,random_struct,rf,rf,0.531827906,0.039540325,0.44721471,0.021846358,0.484481654,0.070997794,30.2847758,1.312545915,38.65049214,0.368330473,0.287847042,0.003028176
81,Ar,273K,0.5,15,struct+input,qt_then_rd,cat,cat,0.952565201,0.002688423,0.244485943,0.003799858,0.1287741,0.00761466,6.444289546,0.137285683,3.486447477,0.044155795,0.002325058,2.83E-05
82,Ar,273K,0.5,15,struct+input,qt_then_rd,gbm,gbm,0.949412886,0.001946583,0.253833767,0.003558446,0.13737408,0.006928355,6.660190904,0.104457335,15.41649423,0.066922002,0.012888241,0.000181043
83,Ar,273K,0.5,15,struct+input,qt_then_rd,rf,rf,0.9479449,0.003022215,0.247650085,0.004619072,0.14130735,0.008308673,6.541321596,0.168782821,36.53218741,0.192861222,0.28078413,0.003470469
84,Ar,273K,0.5,15,struct+input,random_struct,cat,cat,0.953234729,0.007213665,0.253341762,0.01181522,0.152219971,0.029508336,6.941192756,0.226207263,3.491252089,0.02657314,0.002369833,6.83E-05
85,Ar,273K,0.5,15,struct+input,random_struct,gbm,gbm,0.951269098,0.00658476,0.260062948,0.011152229,0.158483728,0.02726999,6.998444803,0.220297403,15.49572868,0.125263901,0.013160038,0.000241473
86,Ar,273K,0.5,15,struct+input,random_struct,rf,rf,0.949458196,0.006627418,0.254523685,0.011560089,0.164420301,0.028206064,6.769465601,0.173287926,37.31324515,1.1524886,0.292065001,0.010903875
