folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9859769000917084,0.0010358080903851,5,Ar,293,qt_then_rd,cat,RATIO0.65,0.65,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9864258667004632,0.0004605560336231,5,Ar,293,qt_then_rd,cat,RATIO0.6,0.6,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9858512441529892,0.0007620664357183,5,Ar,293,qt_then_rd,cat,RATIO0.75,0.75,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.985496116313155,0.0002695624606669,5,Ar,293,qt_then_rd,cat,RATIO0.7,0.7,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9849173448844418,0.0019152886068794,5,Ar,293,qt_then_rd,cat,RATIO0.8,0.8,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.8042121488461328,0.061335704949725,5,Ar,293,random_struct,cat,RATIO0.05,0.05,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.8907472167724547,0.0176785169346224,5,Ar,293,random_struct,cat,RATIO0.15,0.15,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.8610108315645263,0.0389355918546874,5,Ar,293,random_struct,cat,RATIO0.1,0.1,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9079180113333344,0.0120461124698882,5,Ar,293,random_struct,cat,RATIO0.25,0.25,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9011054179422744,0.0119228127023045,5,Ar,293,random_struct,cat,RATIO0.2,0.2,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9158312917520104,0.0196064116088672,5,Ar,293,random_struct,cat,RATIO0.35,0.35,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9084908845022588,0.0130290029802077,5,Ar,293,random_struct,cat,RATIO0.3,0.3,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9245313735477908,0.0092430861415379,5,Ar,293,random_struct,cat,RATIO0.45,0.45,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9247418632100356,0.0065993613981333,5,Ar,293,random_struct,cat,RATIO0.4,0.4,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.927431973331612,0.0158670102214338,5,Ar,293,random_struct,cat,RATIO0.55,0.55,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9252795907927354,0.0101316097991642,5,Ar,293,random_struct,cat,RATIO0.5,0.5,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9386453869365902,0.0204157921231941,5,Ar,293,random_struct,cat,RATIO0.65,0.65,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9374817816375604,0.0200636220444112,5,Ar,293,random_struct,cat,RATIO0.6,0.6,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9421135173561196,0.0233372424031552,5,Ar,293,random_struct,cat,RATIO0.75,0.75,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.941391806962183,0.0271421833491519,5,Ar,293,random_struct,cat,RATIO0.7,0.7,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9368265293835076,0.026558358698724,5,Ar,293,random_struct,cat,RATIO0.8,0.8,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.8042121488461328,0.061335704949725,5,Ar,293,random_struct,cat,RATIO0.05,0.05,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.8907472167724547,0.0176785169346224,5,Ar,293,random_struct,cat,RATIO0.15,0.15,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.8610108315645263,0.0389355918546874,5,Ar,293,random_struct,cat,RATIO0.1,0.1,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9079180113333344,0.0120461124698882,5,Ar,293,random_struct,cat,RATIO0.25,0.25,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9011054179422744,0.0119228127023045,5,Ar,293,random_struct,cat,RATIO0.2,0.2,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9158312917520104,0.0196064116088672,5,Ar,293,random_struct,cat,RATIO0.35,0.35,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9084908845022588,0.0130290029802077,5,Ar,293,random_struct,cat,RATIO0.3,0.3,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9245313735477908,0.0092430861415379,5,Ar,293,random_struct,cat,RATIO0.45,0.45,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9247418632100356,0.0065993613981333,5,Ar,293,random_struct,cat,RATIO0.4,0.4,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.927431973331612,0.0158670102214338,5,Ar,293,random_struct,cat,RATIO0.55,0.55,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9252795907927354,0.0101316097991642,5,Ar,293,random_struct,cat,RATIO0.5,0.5,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9386453869365902,0.0204157921231941,5,Ar,293,random_struct,cat,RATIO0.65,0.65,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9374817816375604,0.0200636220444112,5,Ar,293,random_struct,cat,RATIO0.6,0.6,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9421135173561196,0.0233372424031552,5,Ar,293,random_struct,cat,RATIO0.75,0.75,0.01,1
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.941391806962183,0.0271421833491519,5,Ar,293,random_struct,cat,RATIO0.7,0.7,0.01,1
