Unnamed: 0,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_R2,trial_002_R2,trial_003_R2,trial_004_R2,trial_005_R2,trial_001_MAE,trial_002_MAE,trial_003_MAE,trial_004_MAE,trial_005_MAE,trial_001_RMSE,trial_002_RMSE,trial_003_RMSE,trial_004_RMSE,trial_005_RMSE,trial_001_MAPE_percent,trial_002_MAPE_percent,trial_003_MAPE_percent,trial_004_MAPE_percent,trial_005_MAPE_percent,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std
38,Ar,273.0,0.05,1.0,struct+input,qt_then_rd,rf,0.9779488681252374,0.98105651488725,0.978927062767734,0.980510087367367,0.983001022698028,0.0174898528219141,0.0179852705728294,0.017889553897173,0.0171736518762958,0.0163775848132996,0.0014705792820449,0.0014437438736321,0.0015977663414674,0.0013601311214127,0.0011181709450751,2.7861008792677016,2.791336171027827,2.809014243185973,2.818627196349308,2.769212585393556,0.9802887111691232,0.0019573014356234673,0.01738318279630238,0.0006491206333691462,0.0013980783127264399,0.00017818892124757597,2.794858215044873,0.01944319706971347
41,Ar,273.0,0.05,1.0,struct+input,random_struct,rf,0.9797072825542332,0.9552006912990076,0.953367655442964,0.9544066859631276,0.9694159514541424,0.0253818357566406,0.0303340776554355,0.0282070736153363,0.0315245633169333,0.0254655136779306,0.0040933621936829,0.0112608048750066,0.0116388182057155,0.0130632586804326,0.0060551247836098,3.3604587839982,3.395474799593385,3.2937175852910805,3.4656556141659376,3.1861538558691014,0.962419653342695,0.011684070739802297,0.02818261280445526,0.002785005040347821,0.00922227374768948,0.003907845564301062,3.340292127783541,0.10617864649501596
44,Ar,273.0,0.05,1.0,struct,random_struct,rf,0.4275373338720957,0.3571163029328438,0.3761340907419669,0.3663198193400153,0.3274895570657756,0.1982175649849524,0.2034314561088518,0.2034836228140285,0.2227268451588741,0.2076939100141948,0.1154747776430372,0.1615959727931191,0.1557087032953421,0.1815601321266113,0.1331457031969359,52.49688655910625,50.03508891731963,52.0126786511918,51.460207630199015,61.32432394911813,0.3709194207905394,0.0365055349353411,0.20711067981618028,0.009353936316613699,0.1494970578110091,0.02568020328715457,53.46583714138696,4.488845420843271
47,Ar,273.0,0.05,5.0,struct+input,qt_then_rd,rf,0.9338604541995812,0.8690168315755356,0.938050537225873,0.9404030763689444,0.9427244867801684,0.1180544062676672,0.122494983609709,0.1130056143882041,0.1128823911641216,0.1070287984414647,0.0423700442623181,0.097437819605478,0.0409711769517186,0.0366669160401984,0.0377301261448206,5.827636793526936,5.716147464417317,5.512255373453665,5.639891352015411,5.311811068812419,0.9248110772300204,0.03136149331398115,0.11469323877423332,0.005853109433171525,0.05103521660090673,0.026043450061220788,5.60154841044515,0.19851955501642454
50,Ar,273.0,0.05,5.0,struct+input,random_struct,rf,0.9300165358869236,0.8744376683398017,0.9247012853589394,0.9359653134828176,0.924406721587148,0.1321915533518553,0.1417835398367747,0.1371619806494712,0.1398427714789706,0.1333977784733612,0.0675213500071839,0.1329371762374154,0.0827597178497597,0.0752870664456446,0.0747314984950589,6.676699030528549,6.232929600582485,6.548340842653562,6.30973888578186,6.3984983282705565,0.9179055049311261,0.024752449491402352,0.1368755247580866,0.004092967427437244,0.0866473618070125,0.026432504289573864,6.433241337563402,0.17965541224730644
53,Ar,273.0,0.05,5.0,struct,random_struct,rf,0.534166164099043,0.4663844961016756,0.5310355459276026,0.5020554188837131,0.5054827939264382,0.4433197178829688,0.4378160762604554,0.4497855882468859,0.4903738599665175,0.4676973120022402,0.4494451636208788,0.5649571598966656,0.5154319842723349,0.5854449955758158,0.4888796016972873,31.46208787241219,29.014532449436924,30.81397307100552,31.731636076756324,34.41308194195963,0.5078248837876945,0.02733439100829769,0.45779851087181356,0.02140256819207491,0.5208317810125964,0.05538064930172039,31.487062282314117,1.9486202792974836
56,Ar,273.0,0.1,15.0,struct+input,qt_then_rd,rf,0.939952172034964,0.7532016101221068,0.9400526072167016,0.9346833676041522,0.935306231682914,0.265719625859604,0.2788837519917264,0.2660118454719732,0.2654293906913309,0.2605044910436906,0.1561324902671439,0.8319879671737013,0.1653632372143522,0.1765827486940381,0.1731224860911507,7.22019184679655,6.871491170466043,6.954431513457962,6.889468803518644,6.851076364199875,0.9006391977321677,0.0824584407159403,0.267309821011665,0.006855980484532155,0.3006377858880772,0.2971379322255715,6.957331939687815,0.15196054872161882
59,Ar,273.0,0.1,15.0,struct+input,random_struct,rf,0.9276659614824068,0.7722832011396012,0.93503265138187,0.9430620735215016,0.9384035474347132,0.2736048556574314,0.2901938126697146,0.2788515783186943,0.2838665384871675,0.2709487843737001,0.2304207451136901,0.8487264959607982,0.2120067064997635,0.2052545002460112,0.1963869686962339,7.441202127494482,7.1283470462143725,7.373116431214297,7.31142316389779,7.20864234974082,0.9032894869920185,0.07344954698111722,0.27949311390134157,0.0077736818314597675,0.3385590833032993,0.28546594159137584,7.2925462237123515,0.1254469059955214
62,Ar,273.0,0.1,15.0,struct,random_struct,rf,0.7545780067201056,0.6015267578247314,0.7442322350902255,0.721660568515973,0.7499145880185014,0.5920379866665967,0.5907948906303105,0.6035717969752505,0.6524412041210131,0.6154219006447782,0.7817940172811746,1.485155246595943,0.8346420566745256,1.0033807769516712,0.7973432548268798,19.66642526088926,18.2659256982299,19.44060624616708,20.380192957801498,20.65669296417815,0.7143824312339073,0.06434011879773667,0.6108535558075898,0.025297242780975598,0.980463070466039,0.29559492618851496,19.681968625453177,0.9355853409552989
65,Ar,273.0,0.1,1.0,struct+input,qt_then_rd,rf,0.9832666518821568,0.979624032677821,0.9829817713586833,0.9842723735273344,0.9819367108232072,0.0165685216921511,0.0171288552790018,0.0165187596088071,0.0159891616564691,0.016164547850677,0.0011320173263614,0.0015641045057559,0.001227276516827,0.0011011628318471,0.0012472397008696,2.686604185468968,2.6911674289179817,2.6551947754092726,2.5513822404392967,2.614492238857937,0.9824163080538406,0.0017688009848857494,0.016473969217421218,0.00043891971265960837,0.0012543601763322,0.00018382258749226706,2.639768173818691,0.0581472732726746
