folder,filename,num_atoms,a,b,c,aspect_ratio_ab,aspect_ratio_ac,aspect_ratio_bc
,YUZSUH_clean.cif,28,7.055,9.479,9.906773465664791,0.7442768224496256,0.7121390253296335,0.9568201022111403
,EWUTEW_clean.cif,240,9.7097,20.906,24.7394,0.46444561369941645,0.3924792032143059,0.8450487885720752
,PEWFII01_clean.cif,22,7.1162,7.235299999999999,9.2139,0.9835390377731402,0.7723331054168159,0.785259227905664
,MODPAW_charged.cif,102,11.129000000000001,15.2774,15.2774,0.7284616492335084,0.7284616492335084,1.0
,ADEGIA_clean.cif,50,8.606600000000002,10.156,11.161,0.8474399369830643,0.771131619030553,0.9099543051697877
,LOFVUY_clean.cif,480,13.102,26.104,26.279,0.5019154152620289,0.4985730050610754,0.9933406902850185
,VAHVOQ_clean.cif,88,10.0126,10.379010883990823,20.0589,0.9646969361448503,0.49915997387693245,0.5174267225017734
,IBACAS_clean.cif,284,12.707,18.0156,21.7598,0.7053331557094963,0.5839667644004082,0.8279304037720935
,AQOLEZ_clean.cif,255,18.7059,18.7059,18.7059,1.0,1.0,1.0
,ZEFVIR_clean.cif,186,7.6575,10.477,30.456,0.7308867042092202,0.2514282899921198,0.34400446545836616
,AMIWUP_clean.cif,128,10.833,13.244999999999997,14.298,0.817893544733862,0.7576584137641629,0.9263533361309272
,QOLVET_clean.cif,72,8.2367,9.1664,17.55,0.8985752312794556,0.46932763532763533,0.5223019943019942
,ASOVEL_clean.cif,220,8.9836,10.5918,32.7196,0.8481655620385581,0.27456325871954423,0.32371422633528524
,JILWOR_clean.cif,288,18.9056,18.9056,18.9056,1.0,1.0,1.0
,JAKBUV_clean.cif,64,10.098,12.156,17.119,0.8307008884501481,0.5898709036742801,0.7100882060868042
,AVEMOE_clean.cif,100,6.9008,10.3551,16.6597,0.6664155826597522,0.4142211444383752,0.6215658145104653
,MOLLII_clean.cif,34,6.7705,10.241492396130555,10.241492396130557,0.6610852928581027,0.6610852928581026,0.9999999999999998
,TONTUN_clean.cif,124,12.871700000000002,12.8717,21.94055287379463,1.0000000000000002,0.5866625182163805,0.5866625182163805
,MIMKIE_clean.cif,56,9.5387,10.425,11.59,0.9149832134292566,0.8230112165660052,0.8994823123382226
,CAJHUS04_clean.cif,26,7.3292,7.329199999999999,8.3159,1.0000000000000002,0.8813477795548288,0.8813477795548287
,OHAQEU_clean.cif,38,10.754989020740526,10.7551,10.7551,0.999989681243366,0.999989681243366,1.0
,SABWUQ_clean.cif,75,10.425,10.62,11.323,0.9816384180790961,0.9206923960081251,0.9379139803938884
,CABQEB_clean.cif,260,11.564999999999998,17.7233,17.723311064512796,0.6525308492210817,0.6525304418516064,0.9999993757084804
,GULWIU_clean.cif,536,20.8616,22.2038,35.5933,0.9395508876858916,0.5861103072769314,0.6238196514512563
,TANBOZ_clean.cif,32,8.582,11.744999999999997,12.979,0.7306939123031079,0.6612219739579321,0.9049233376993604
,QEPZUH_charged.cif,702,23.8713,23.8713,32.565,1.0,0.7330354675264856,0.7330354675264856
,MAXJIG_clean.cif,68,8.3034,10.297,10.5,0.8063902107409925,0.7908,0.9806666666666667
,IYOVOI_clean.cif,108,11.5785,11.738,16.5818,0.9864116544556143,0.6982655682736494,0.707884548119022
,SURLEY_clean.cif,150,14.670697942667895,14.670697942667895,14.670697942667895,1.0,1.0,1.0
,RAVFIF_clean.cif,272,10.7028,15.6733,23.2631,0.6828683174570767,0.46007625810833463,0.6737408170020331
,DACSEI_clean.cif,216,16.799141618282498,16.799141618282498,16.799141618282498,1.0,1.0,1.0
,YICTUZ_clean.cif,48,8.856,9.069,15.535,0.9765133972874627,0.5700675893144512,0.5837785645317026
,IKOTUZ_clean.cif,204,8.4834,28.334628887164435,28.334628887164442,0.2994004274339719,0.2994004274339718,0.9999999999999998
,PELQII_clean.cif,728,18.4538,25.3442,37.783,0.728127145461289,0.48841542492655426,0.6707831564460207
,RIGVOU_clean.cif,140,7.5721,15.595,16.7063,0.4855466495671689,0.4532481758378576,0.9334801841221576
,ABEYIR_clean.cif,144,10.934,11.7927,19.2152,0.9271837662282598,0.5690286856238811,0.6137172654981473
,VIRKIQ_clean.cif,40,5.9778,8.466,16.6747,0.7060949681077251,0.35849520531104007,0.5077152812344449
,ja302110d_si_001_clean.cif,168,13.234,13.824899999999998,22.796952744179542,0.9572582803492251,0.5805161833911714,0.6064363143240596
,LUCDES_clean.cif,68,12.1323,12.3676,13.3757,0.9809744817102753,0.9070403791951076,0.9246319818775839
,CUHLUO_clean.cif,127,11.49930068632195,11.499300686321948,11.499300686321948,1.0000000000000002,1.0000000000000002,1.0
,KUHVOZ01_clean.cif,384,20.2663,20.2663,20.2663,1.0,1.0,1.0
