---- START at 2025-09-08 15:20:53, Target=369/369 ----
[99/369] REGJIW_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3465.6s, Completed=87/369, ETA=2025-09-09 16:31:33
[94/369] NIRMUW01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5191.2s, Completed=88/369, ETA=2025-09-09 16:57:44
[84/369] IYAZAL_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=8513.8s, Completed=89/369, ETA=2025-09-09 16:45:10
[96/369] NEZWOG_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4954.1s, Completed=90/369, ETA=2025-09-09 16:40:13
[72/369] LUCDAO_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=10465.0s, Completed=91/369, ETA=2025-09-09 16:37:02
[111/369] AQUDAT_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2337.5s, Completed=92/369, ETA=2025-09-09 16:20:58
[101/369] CATART03_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4136.7s, Completed=93/369, ETA=2025-09-09 16:14:50
[87/369] FUTYUQ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=8160.6s, Completed=94/369, ETA=2025-09-09 16:22:35
[114/369] AQETIA_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2289.6s, Completed=95/369, ETA=2025-09-09 16:11:19
[68/369] AZILEA_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=11697.6s, Completed=96/369, ETA=2025-09-09 16:10:20
[92/369] COYTOA_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6613.2s, Completed=97/369, ETA=2025-09-09 15:56:24
[100/369] IFENOY_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5792.8s, Completed=98/369, ETA=2025-09-09 16:14:52
[61/369] QOMFEE_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=13470.8s, Completed=99/369, ETA=2025-09-09 16:01:19
[75/369] POKSAL_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=12350.5s, Completed=100/369, ETA=2025-09-09 16:38:01
[89/369] OZUMAZ01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9298.1s, Completed=101/369, ETA=2025-09-09 16:28:45
[98/369] RORRIB_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6987.7s, Completed=102/369, ETA=2025-09-09 16:18:14
[117/369] RAVWAO_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3508.4s, Completed=103/369, ETA=2025-09-09 16:47:27
[118/369] VUQKOI_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4049.9s, Completed=104/369, ETA=2025-09-09 17:15:10
[107/369] XINHOT_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6973.4s, Completed=105/369, ETA=2025-09-09 17:01:39
[124/369] GEWXAJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3250.2s, Completed=106/369, ETA=2025-09-09 16:58:24
[119/369] KIYMAI_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4260.7s, Completed=107/369, ETA=2025-09-09 16:55:13
[120/369] PEQRUZ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4379.7s, Completed=108/369, ETA=2025-09-09 16:48:08
[122/369] WALCET_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4068.1s, Completed=109/369, ETA=2025-09-09 16:45:27
[116/369] RUWWOW_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5076.8s, Completed=110/369, ETA=2025-09-09 16:34:12
[102/369] KAFYAT_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=8628.7s, Completed=111/369, ETA=2025-09-09 16:24:59
[108/369] VEFLUP_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7641.0s, Completed=112/369, ETA=2025-09-09 16:21:52
[112/369] NARNIG_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7144.0s, Completed=113/369, ETA=2025-09-09 16:08:36
[113/369] FEFCUQ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7194.3s, Completed=114/369, ETA=2025-09-09 16:10:35
[109/369] ATIXAE_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7914.0s, Completed=115/369, ETA=2025-09-09 16:03:46
[105/369] EWASIG01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9113.9s, Completed=116/369, ETA=2025-09-09 16:10:22
[106/369] IKETIC_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9137.9s, Completed=117/369, ETA=2025-09-09 16:03:16
[115/369] YAZZEG_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7127.9s, Completed=118/369, ETA=2025-09-09 16:06:10
[129/369] AVIMOI_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4431.1s, Completed=119/369, ETA=2025-09-09 16:29:40
[95/369] QUDJIJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=12456.7s, Completed=120/369, ETA=2025-09-09 16:34:42
[121/369] MOJNAC_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7353.2s, Completed=121/369, ETA=2025-09-09 16:42:52
