---- START at 2025-08-17 23:16:27, Target=1780/1780 ----
[170/1780] ja907023c_si_002_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=507.2s, Completed=166/1780, ETA=2025-08-18 09:36:43
[171/1780] JUQVAU_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=514.1s, Completed=167/1780, ETA=2025-08-18 09:36:51
[181/1780] ZIDBEV_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=373.9s, Completed=168/1780, ETA=2025-08-18 09:35:46
[173/1780] am301365h_si_002_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=503.4s, Completed=169/1780, ETA=2025-08-18 09:36:13
[175/1780] SOVHOA_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=512.6s, Completed=170/1780, ETA=2025-08-18 09:37:41
[166/1780] COKMOG_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=692.9s, Completed=171/1780, ETA=2025-08-18 09:41:03
[178/1780] WANHOL_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=497.0s, Completed=172/1780, ETA=2025-08-18 09:37:51
[162/1780] CADZIT_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=800.2s, Completed=173/1780, ETA=2025-08-18 09:37:12
[169/1780] AQUCOG_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=689.3s, Completed=174/1780, ETA=2025-08-18 09:35:35
[152/1780] YAMYUJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1112.7s, Completed=175/1780, ETA=2025-08-18 09:33:14
[174/1780] UMABIV_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=596.8s, Completed=176/1780, ETA=2025-08-18 09:30:13
[163/1780] MIFPUO_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=769.5s, Completed=177/1780, ETA=2025-08-18 09:28:18
[172/1780] XOVQIJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=763.8s, Completed=178/1780, ETA=2025-08-18 09:41:42
[192/1780] CUWZAX_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=374.7s, Completed=179/1780, ETA=2025-08-18 09:42:08
[186/1780] EKOPUQ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=553.1s, Completed=180/1780, ETA=2025-08-18 09:42:08
[188/1780] CIYZUG_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=578.8s, Completed=181/1780, ETA=2025-08-18 09:49:34
[185/1780] SUVNEE_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=633.8s, Completed=182/1780, ETA=2025-08-18 09:47:11
[191/1780] TESHAB_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=511.4s, Completed=183/1780, ETA=2025-08-18 09:43:59
