GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.6,0.6,0.9833098995973965,0.000424897436126974,0.013449232731688538,0.00017191101472464646
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.65,0.65,0.9573914807653523,0.001256324375195406,0.18847942111192414,0.0012559361115830267
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.2,0.2,0.9895057042061852,0.0005780788399284801,0.014921560120055438,0.00018530073496699582
Ar,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.05,0.05,0.8042121488461328,0.05486032228618224,0.0333704971750718,0.0035736350521951383
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.1,0.1,0.9443903968689907,0.006019027402221245,0.2237865054431234,0.004500409113707646
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.6,0.6,0.9558576206540454,0.04273882119094697,0.014834142775582601,0.0006660249500659745
He,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.5,0.5,0.9852247598162384,0.0001764784893873929,0.00465873588111136,2.0921742331215857e-05
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.7,0.7,0.9724945440712534,0.03742983420613703,0.0009884752075181602,4.887707861092054e-05
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.65,0.65,0.9727895983140499,0.03700753755222302,0.01448819335826618,0.0007242772447317259
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.8,0.8,0.9618747910686475,0.05541276987904859,0.014309284792262738,0.0009120531340917274
He,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.8,0.8,0.9645283160225725,0.0475010613958902,0.00486052557854406,0.00029256432511466613
Ar,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.35,0.35,0.958843928993917,0.0024787283942665655,0.19460575974725952,0.0010899987539571972
Ar,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.2,0.2,0.9533582833251218,0.002736887324523299,0.20443551906731092,0.0014362225967595647
Ar,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.65,0.65,0.9577405804223933,0.0033333404004044225,0.08300028460099608,0.0014734423221963054
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.2,0.2,0.9499136351416342,0.003024271164555541,0.21000091941637605,0.00294696234603675
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.15,0.15,0.9411583765749268,0.006441159612217226,0.09501044866613535,0.002280789292448858
Ar,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.7,0.7,0.9587518488937604,0.0015317504100352416,0.07375699214075998,0.0008753031282444616
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.4,0.4,0.9272172939224012,0.027897398992977045,0.01563224521227572,0.00023976209355930098
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.15,0.15,0.9180854676465021,0.021445081806458693,0.00575912939020134,0.00020902719297378325
