folder,mean,std,count
./try09_all\Ar_293_0.01_to_5__struct+input__random_with_input__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9597834751826607,0.007439780248220266,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.3918182916295539,0.014584366852878426,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.45318286031119526,0.014497857010323828,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.42626087652350997,0.023265235464282715,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.48379223630127255,0.011672000365491203,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.4719269615098085,0.013445937395205788,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.5048763495446641,0.01292056912278122,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.4935756301483389,0.014077553201174887,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.5194835475611395,0.007404498727258174,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.5172302281420212,0.007748362596912575,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.5300765791137196,0.006970939342839937,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.5265150404701,0.005660360528191542,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.5404630637046379,0.008823248832086336,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.5335269401319074,0.0037407039041257905,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.5480581105371181,0.01538708369190581,5
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.546710791472746,0.015451978527458015,5
