GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_STD_HIGH_1,MAE_MEAN_HIGH_1,MAE_STD_HIGH_1,INPUT_HIGH_1
Ar,273,0.5,qt_then_rd__gbm_TRAIN_RATIO0.5,0.01,0.9814935231250288,0.0013020990212637,0.0192954452522914,0.0002929178823878,struct+input
Ar,273,0.5,qt_then_rd__rf_TRAIN_RATIO0.5,0.01,0.9790609618365091,0.0010770582949068,0.0192861078905799,0.0001511769135046,struct+input
Ar,273,0.5,random_struct__cat_TRAIN_RATIO0.5,0.01,0.9511604541209976,0.0067046537803817,0.0317096027881871,0.0009720835665324,struct+input
Ar,273,0.5,random_struct__gbm_TRAIN_RATIO0.5,0.01,0.9474928850094202,0.008063202967788,0.0317885328881629,0.001448354736305,struct+input
Ar,273,0.5,random_struct__rf_TRAIN_RATIO0.5,0.01,0.9446577455773,0.0071486251078517,0.0329714406499454,0.0011740979741552,struct+input
Ar,273,0.55,qt_then_rd__cat_TRAIN_RATIO0.55,0.01,0.9809071640882022,0.0015333021926976,0.0199809578361631,0.0005392358999315,struct+input
Ar,273,0.55,qt_then_rd__gbm_TRAIN_RATIO0.55,0.01,0.9811390388624488,0.0011652505382895,0.0185495036054896,0.0004662986222924,struct+input
Ar,273,0.55,qt_then_rd__rf_TRAIN_RATIO0.55,0.01,0.9792098394535186,0.0016087436490292,0.0187251461570771,0.0003563868065407,struct+input
Ar,273,0.55,random_struct__cat_TRAIN_RATIO0.55,0.01,0.953869103512036,0.0087450761100036,0.0307500042150123,0.0005918345744759,struct+input
Ar,273,0.55,random_struct__gbm_TRAIN_RATIO0.55,0.01,0.9539541413374628,0.0089248604838727,0.0304177619821621,0.0007973024978805,struct+input
Ar,273,0.55,random_struct__rf_TRAIN_RATIO0.55,0.01,0.9530832354071098,0.0072108488576478,0.0306816146495269,0.0008719664085185,struct+input
Ar,273,0.6,qt_then_rd__cat_TRAIN_RATIO0.6,0.01,0.982404156931566,0.0008998130119345,0.0189374653086188,0.0002711822057509,struct+input
Ar,273,0.6,qt_then_rd__gbm_TRAIN_RATIO0.6,0.01,0.9821002843882848,0.0007562351460152,0.0180102651651747,8.009174756865743e-05,struct+input
Ar,273,0.6,qt_then_rd__rf_TRAIN_RATIO0.6,0.01,0.9805442308413472,0.0014058777350978,0.0179955542597501,0.000270673407919,struct+input
Ar,273,0.6,random_struct__cat_TRAIN_RATIO0.6,0.01,0.9561241265041408,0.0104840047845987,0.0308326203969394,0.0006251935788366,struct+input
Ar,273,0.6,random_struct__gbm_TRAIN_RATIO0.6,0.01,0.9536895182618836,0.014419735295415,0.0306958258970339,0.0011208465996265,struct+input
Ar,273,0.6,random_struct__rf_TRAIN_RATIO0.6,0.01,0.9559115043237564,0.0130260208427273,0.030482766844433,0.0010548975308641,struct+input
Ar,273,0.65,qt_then_rd__cat_TRAIN_RATIO0.65,0.01,0.9809881413222844,0.0012077299612345,0.0189678657827112,0.000453824222648,struct+input
Ar,273,0.65,qt_then_rd__gbm_TRAIN_RATIO0.65,0.01,0.9808289736568498,0.0019806415659667,0.0181525834967837,0.0004387561172319,struct+input
Ar,273,0.65,qt_then_rd__rf_TRAIN_RATIO0.65,0.01,0.9800528672430422,0.0020458691963177,0.0179061935495207,0.0004961145396097,struct+input
Ar,273,0.65,random_struct__cat_TRAIN_RATIO0.65,0.01,0.9506951260946686,0.0082456348633994,0.0311729668014561,0.0013734559458806,struct+input
Ar,273,0.65,random_struct__gbm_TRAIN_RATIO0.65,0.01,0.9480967803125968,0.0148277470634223,0.0308189842588326,0.0018086079508009,struct+input
Ar,273,0.65,random_struct__rf_TRAIN_RATIO0.65,0.01,0.9503697246644162,0.0095348030131982,0.0310750377123343,0.0018937573878211,struct+input
Ar,273,0.7,qt_then_rd__cat_TRAIN_RATIO0.7,0.01,0.9815025586093148,0.001488516054331,0.018054210914677,0.0003327811930162,struct+input
Ar,273,0.7,qt_then_rd__gbm_TRAIN_RATIO0.7,0.01,0.9819298833186482,0.0011274532786708,0.0172339520138888,0.000442830923353,struct+input
Ar,273,0.7,qt_then_rd__rf_TRAIN_RATIO0.7,0.01,0.980417870659769,0.0007444990094559,0.0172494735649039,0.000461178329486,struct+input
Ar,273,0.7,random_struct__cat_TRAIN_RATIO0.7,0.01,0.9532680999318206,0.005538188663641,0.0311958349040106,0.0010722658599238,struct+input
Ar,273,0.7,random_struct__gbm_TRAIN_RATIO0.7,0.01,0.9575199119114536,0.0077820791051929,0.0299006888245681,0.000798285532236,struct+input
Ar,273,0.7,random_struct__rf_TRAIN_RATIO0.7,0.01,0.957713481851702,0.0081128036179194,0.030324369620348,0.0004894690228785,struct+input
Ar,273,0.75,qt_then_rd__cat_TRAIN_RATIO0.75,0.01,0.9809772608416942,0.0012312512835997,0.0181674646460309,0.0003734244093003,struct+input
Ar,273,0.75,qt_then_rd__gbm_TRAIN_RATIO0.75,0.01,0.981611810960128,0.0014925575672329,0.0170859496136312,0.0005013407536164,struct+input
Ar,273,0.75,qt_then_rd__rf_TRAIN_RATIO0.75,0.01,0.9794155707411936,0.0022494517927785,0.0171657081991126,0.0005240899947176,struct+input
Ar,273,0.75,random_struct__cat_TRAIN_RATIO0.75,0.01,0.9490363262341696,0.0100624626530113,0.0310346095691306,0.001613109697277,struct+input
Ar,273,0.75,random_struct__gbm_TRAIN_RATIO0.75,0.01,0.9502740384077768,0.0099311277204323,0.0302648881067264,0.0014531499829493,struct+input
Ar,273,0.75,random_struct__rf_TRAIN_RATIO0.75,0.01,0.9498402157300896,0.0088304680391487,0.0305657263557658,0.0009467516474811,struct+input
Ar,273,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.01,0.9826655498420956,0.0012191388419381,0.0172590390502196,0.0003499033636017,struct+input
Ar,273,0.8,qt_then_rd__gbm_TRAIN_RATIO0.8,0.01,0.9826299100318407,0.0008021432412864,0.0165431385792021,0.0002770770656936,struct+input
Ar,273,0.8,qt_then_rd__rf_TRAIN_RATIO0.8,0.01,0.9809879834908556,0.0015285963550436,0.0167002802607973,0.0003150694500919,struct+input
Ar,273,0.8,random_struct__cat_TRAIN_RATIO0.8,0.01,0.9599358588118386,0.0159788062541914,0.0309274582853368,0.0026859918076119,struct+input
Ar,273,0.8,random_struct__gbm_TRAIN_RATIO0.8,0.01,0.9587264095996516,0.0143567233334622,0.0305746796684415,0.0027119875876175,struct+input
Ar,273,0.8,random_struct__rf_TRAIN_RATIO0.8,0.01,0.9603524771112448,0.010535766761737,0.0304959319762468,0.0021740048757205,struct+input
Ar,293,0.05,qt_then_rd__cat_TRAIN_RATIO0.05,0.01,0.9265573289391164,0.0122615907610351,0.0297582555259992,0.0017206851543336,struct+input
Ar,293,0.05,qt_then_rd__gbm_TRAIN_RATIO0.05,0.01,0.9315739100349372,0.0100717370148336,0.0223155124314732,0.0003210233042624,struct+input
Ar,293,0.05,qt_then_rd__rf_TRAIN_RATIO0.05,0.01,0.9260776453479558,0.0109222521193191,0.0230734145299247,0.000614140274179,struct+input
Ar,293,0.05,random_struct__cat_TRAIN_RATIO0.05,0.01,0.8042121488461328,0.0548603222861822,0.0333704971750718,0.0035736350521951,struct+input
Ar,293,0.05,random_struct__gbm_TRAIN_RATIO0.05,0.01,0.8297363283416856,0.0499307443680551,0.0298860590788867,0.0037339996376754,struct+input
Ar,293,0.05,random_struct__rf_TRAIN_RATIO0.05,0.01,0.8614117740916581,0.0332623816629814,0.028425522421666,0.0020655638142452,struct+input
Ar,293,0.1,qt_then_rd__cat_TRAIN_RATIO0.1,0.01,0.9553818786762416,0.0100879955154949,0.0239844739761257,0.0005853157153371,struct+input
