folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9273944308653878,0.0260942696839701,5,He,273,random_struct,cat,RATIO0.4,0.4,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9294913960593076,0.0452740090431667,5,He,273,random_struct,cat,RATIO0.55,0.55,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9197058153858902,0.029946848647156,5,He,273,random_struct,cat,RATIO0.5,0.5,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.972519236771175,0.0386345110085499,5,He,273,random_struct,cat,RATIO0.65,0.65,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.955633095099104,0.0444004886555015,5,He,273,random_struct,cat,RATIO0.6,0.6,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9657734847662912,0.0498315221381123,5,He,273,random_struct,cat,RATIO0.75,0.75,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9707764078099036,0.0412995281255473,5,He,273,random_struct,cat,RATIO0.7,0.7,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9626337130994128,0.0547897341791734,5,He,273,random_struct,cat,RATIO0.8,0.8,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.05_QTFRAC_0.05,0.9192661721670504,0.0216292796390912,5,He,273,random_struct,gbm,RATIO0.05,0.05,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.15_QTFRAC_0.15,0.9287065496710352,0.0176913913582954,5,He,273,random_struct,gbm,RATIO0.15,0.15,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.1_QTFRAC_0.1,0.9252844234807084,0.0146567783129239,5,He,273,random_struct,gbm,RATIO0.1,0.1,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.25_QTFRAC_0.25,0.9350139386959168,0.0146210077739848,5,He,273,random_struct,gbm,RATIO0.25,0.25,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.2_QTFRAC_0.2,0.9322933905851724,0.0233676768932981,5,He,273,random_struct,gbm,RATIO0.2,0.2,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.35_QTFRAC_0.35,0.9379765614357388,0.0127015360273925,5,He,273,random_struct,gbm,RATIO0.35,0.35,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.3_QTFRAC_0.3,0.9400150931191362,0.0137415183699541,5,He,273,random_struct,gbm,RATIO0.3,0.3,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.45_QTFRAC_0.45,0.9380239624165132,0.024291353717648,5,He,273,random_struct,gbm,RATIO0.45,0.45,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.4_QTFRAC_0.4,0.942191180174796,0.0243504485161817,5,He,273,random_struct,gbm,RATIO0.4,0.4,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.55_QTFRAC_0.55,0.944637546846078,0.0357752543673916,5,He,273,random_struct,gbm,RATIO0.55,0.55,0.01,1
