---- START at 2025-03-26 22:58:37, Target=6012/6012 ----
[1/6012] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[76/6012] RAYKIN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=106.5s, Completed=84/6012, ETA=2025-03-27 03:48:39
[96/6012] acs.inorgchem.5b02108_ic5b02108_si_002_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=48.5s, Completed=85/6012, ETA=2025-03-27 03:47:21
[73/6012] ANUGEW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=112.6s, Completed=86/6012, ETA=2025-03-27 03:47:14
[92/6012] OHAKIS_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=73.3s, Completed=87/6012, ETA=2025-03-27 03:51:59
[99/6012] ZALDUO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=56.1s, Completed=88/6012, ETA=2025-03-27 03:50:02
[114/6012] AVAKEP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=29.9s, Completed=89/6012, ETA=2025-03-27 03:47:14
[48/6012] acs.inorgchem.6b00276_ic6b00276_si_009_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=199.8s, Completed=90/6012, ETA=2025-03-27 03:49:52
[101/6012] VIDXOX_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=61.4s, Completed=91/6012, ETA=2025-03-27 03:49:16
[94/6012] EGAGEA_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=70.7s, Completed=92/6012, ETA=2025-03-27 03:47:27
[95/6012] GAWMOI_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=70.5s, Completed=93/6012, ETA=2025-03-27 03:44:28
[74/6012] c5ce00677e_c5ce00677e2_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=134.0s, Completed=94/6012, ETA=2025-03-27 03:46:07
[102/6012] LAWGUO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=65.5s, Completed=95/6012, ETA=2025-03-27 03:43:48
[111/6012] BEVQID_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=55.9s, Completed=96/6012, ETA=2025-03-27 03:44:48
[97/6012] DOLPIF_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=76.8s, Completed=97/6012, ETA=2025-03-27 03:42:42
[82/6012] DINNIZ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=128.0s, Completed=98/6012, ETA=2025-03-27 03:41:48
[115/6012] MAWFEY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=45.1s, Completed=99/6012, ETA=2025-03-27 03:39:11
[104/6012] JAJKUD_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=69.1s, Completed=100/6012, ETA=2025-03-27 03:36:30
[105/6012] MAGVOG29_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=68.5s, Completed=101/6012, ETA=2025-03-27 03:34:14
[103/6012] YABHIV_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=72.8s, Completed=102/6012, ETA=2025-03-27 03:33:26
[86/6012] HABREJ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=128.1s, Completed=103/6012, ETA=2025-03-27 03:35:22
[109/6012] ic402692p_si_004_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=72.0s, Completed=104/6012, ETA=2025-03-27 03:34:33
[120/6012] LEYQUD_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=40.0s, Completed=105/6012, ETA=2025-03-27 03:33:09
[107/6012] ZOQZAI_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=77.4s, Completed=106/6012, ETA=2025-03-27 03:32:20
[100/6012] UWALEL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=88.5s, Completed=107/6012, ETA=2025-03-27 03:30:33
[89/6012] SIVWUR_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=126.5s, Completed=108/6012, ETA=2025-03-27 03:29:16
[98/6012] ja500330a_si_002_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=98.0s, Completed=109/6012, ETA=2025-03-27 03:31:56
[133/6012] WILREO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=25.1s, Completed=110/6012, ETA=2025-03-27 03:33:57
[116/6012] MEWNEH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=70.3s, Completed=111/6012, ETA=2025-03-27 03:32:24
[118/6012] UWODAN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=61.6s, Completed=112/6012, ETA=2025-03-27 03:31:14
[113/6012] NACYOG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=86.5s, Completed=113/6012, ETA=2025-03-27 03:30:34
[112/6012] MOBFIT_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=88.2s, Completed=114/6012, ETA=2025-03-27 03:28:39
[122/6012] c5ce02540k_c5ce02540k2_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=61.7s, Completed=115/6012, ETA=2025-03-27 03:35:24
[108/6012] XAWZOM_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=109.9s, Completed=116/6012, ETA=2025-03-27 03:38:08
[125/6012] NEVVAM01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=64.3s, Completed=117/6012, ETA=2025-03-27 03:39:46
[127/6012] IYOVUO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=64.1s, Completed=118/6012, ETA=2025-03-27 03:38:19
[142/6012] VIWRAW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=39.0s, Completed=119/6012, ETA=2025-03-27 03:37:08
[140/6012] TOKDON_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=48.2s, Completed=120/6012, ETA=2025-03-27 03:40:37
[117/6012] FIJGEK_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=100.3s, Completed=121/6012, ETA=2025-03-27 03:42:37
[139/6012] QAXROW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=56.3s, Completed=122/6012, ETA=2025-03-27 03:41:11
[136/6012] NHBZZN10_clean_h_helium_293.0K_0.05bar_14.0 Done. TimeForThis=66.8s, Completed=123/6012, ETA=2025-03-27 03:40:56
[131/6012] CORZIU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=73.7s, Completed=124/6012, ETA=2025-03-27 03:40:25
[121/6012] TAJVOS01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=98.9s, Completed=125/6012, ETA=2025-03-27 03:42:04
[126/6012] XALPUY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=90.9s, Completed=126/6012, ETA=2025-03-27 03:41:49
[137/6012] HUSQES_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=79.4s, Completed=127/6012, ETA=2025-03-27 03:45:45
[130/6012] ZIGWUJ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=90.6s, Completed=128/6012, ETA=2025-03-27 03:44:09
[124/6012] ZAVQAQ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=104.8s, Completed=129/6012, ETA=2025-03-27 03:43:13
[119/6012] IPIHIA_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=125.3s, Completed=130/6012, ETA=2025-03-27 03:43:57
[146/6012] FABGUM_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=68.1s, Completed=131/6012, ETA=2025-03-27 03:43:46
[106/6012] TAQGOK_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=162.9s, Completed=132/6012, ETA=2025-03-27 03:42:07
[128/6012] DIBWUH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=104.9s, Completed=133/6012, ETA=2025-03-27 03:40:50
[132/6012] ADABIS_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=100.7s, Completed=134/6012, ETA=2025-03-27 03:41:01
[110/6012] VIZMUO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=162.7s, Completed=135/6012, ETA=2025-03-27 03:39:51
