,name,0.01 bar,0.05 bar,0.1 bar,0.2 bar,0.35 bar,0.5 bar,1.0 bar,5.0 bar,15.0 bar,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,DISORDER,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE
9267,PUMDIM_clean,0.000179641,0.0008276317,0.001734391,0.003278448,0.0058126691,0.008481621,0.0171920704,0.0847028649,0.248888313,PUMDIM_clean,7.80071,4.22996,5.62381,1.22507,393.72,321.387,874.299,713.674,0.564,0.460383,0.0,Co,Yes,Co,clean,Y,Y,Y,N,,,,,,,,
9268,PUNCIL_clean,7.42711e-05,0.0004286059,0.0008370967,0.0016649096,0.0029894101,0.0043046268,0.0086680516,0.0419028033,0.124308091,PUNCIL_clean,4.82248,2.76984,4.36575,1.26608,0.0,0.0,624.21,493.025,0.4982,0.393498,0.0,Cd,Yes,Cd,clean,N,Y,Y,N,,,,,,,,
9269,PUPHUE_clean,0.0001194072,0.000803814,0.0015391873,0.0032137998,0.0055742753,0.0079624183,0.0156816537,0.0780981009,0.2320255669,PUPHUE_clean,7.11215,6.70655,7.11215,0.937093,954.53,1018.61,0.0,0.0,0.5324,0.56814,0.0,Na,Yes,Na,clean,Y,Y,Y,N,,,,,,,,
9270,PUPJER_clean,0.0002904284,0.00138645,0.0027901875,0.005900192,0.0102618047,0.014806664,0.0297585422,0.1451018496,0.4260792596,PUPJER_clean,11.34986,4.2884,11.34946,1.04067,2155.08,2070.86,0.0,0.0,0.678,0.651506,0.0,Cu,Yes,Cu,clean,Y,Y,Y,N,,,,,,,,
9271,PUPNAQ_clean,3.0433e-05,0.0001663673,0.0003327347,0.0006431518,0.0011828312,0.001809752,0.0034369057,0.0168801982,0.0511863607,PUPNAQ_clean,3.58947,2.69874,3.57729,1.43868,0.0,0.0,28.5625,19.8532,0.3892,0.270525,0.0,Zn,No, ,clean,Y,Y,Y,N,,,,,,,,
9272,PUPXII01_clean,3.82293e-05,0.0002075303,0.0004678534,0.0009229637,0.0015874247,0.0021098913,0.004452799,0.0217397081,0.0644017463,PUPXII01_clean,3.82607,3.19147,3.81562,1.47931,0.0,0.0,175.848,118.871,0.418,0.282564,0.0,Mn,Yes,Mn,clean,Y,Y,Y,N,,,,,,,,
9273,PUPYAA_clean,9.23903e-05,0.0004354027,0.0008846109,0.0017490446,0.003024456,0.0044580991,0.0087261078,0.0433246953,0.129590719,PUPYAA_clean,3.97311,3.16979,3.8941,2.0967,0.0,0.0,499.749,238.351,0.455,0.217008,0.0,Fe,No, ,clean,Y,Y,Y,N,,,,,,,,
9274,PUQYAC_clean,8.45875e-05,0.0003509237,0.0007235657,0.0013339672,0.0024484641,0.0035275258,0.0070653393,0.0353472719,0.1039054108,PUQYAC_clean,5.36415,5.07421,5.36415,1.50028,235.559,157.01,320.725,213.777,0.4614,0.307543,0.0,Zn,Yes,Zn,clean,Y,Y,Y,N,,,,,,,,
9275,PURJES_clean,0.0001883353,0.0009786709,0.001884474,0.0039034731,0.0068293964,0.0096476995,0.0195980808,0.0977695585,0.2841206037,PURJES_clean,6.1741,5.21501,6.1741,1.07844,1412.21,1309.49,0.0,0.0,0.5678,0.526503,0.0,Zn,Yes,Zn,clean,Y,Y,Y,N,,,,,,,,
9276,PURNEX_clean,3.03537e-05,0.0001528034,0.0003328561,0.0006526049,0.0011875891,0.001724643,0.003424796,0.0167693935,0.0498535645,PURNEX_clean,5.09479,3.51841,5.0825,3.89183,1036.85,266.417,0.0,0.0,0.4494,0.115473,0.0,"W,Cu,Si",Yes,W,clean,Y,Y,Y,N,,,,,,,,
