---- START at 2025-03-26 22:58:33, Target=6013/6013 ----
[1/6013] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[55/6013] DUBKAO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=103.7s, Completed=67/6013, ETA=2025-03-27 03:28:55
[49/6013] UYAMOY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=125.4s, Completed=68/6013, ETA=2025-03-27 03:36:06
[84/6013] XAPCOJ02_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=47.7s, Completed=69/6013, ETA=2025-03-27 03:33:55
[81/6013] WALMOO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=59.3s, Completed=70/6013, ETA=2025-03-27 03:30:01
[78/6013] MAGVOG19_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=68.0s, Completed=71/6013, ETA=2025-03-27 03:26:45
[35/6013] YATWAU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=165.8s, Completed=72/6013, ETA=2025-03-27 03:23:12
[82/6013] GOQXAN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.8s, Completed=73/6013, ETA=2025-03-27 03:22:49
[65/6013] GACBIY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=101.0s, Completed=74/6013, ETA=2025-03-27 03:28:17
[68/6013] WUTBUI_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=99.7s, Completed=75/6013, ETA=2025-03-27 03:26:55
[90/6013] c6ta02340a_c6ta02340a2_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=57.4s, Completed=76/6013, ETA=2025-03-27 03:35:25
[79/6013] LIXWAR_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=85.7s, Completed=77/6013, ETA=2025-03-27 03:35:47
[89/6013] WIHTIS_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=65.5s, Completed=78/6013, ETA=2025-03-27 03:32:58
[96/6013] MEMGAN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=50.5s, Completed=79/6013, ETA=2025-03-27 03:37:17
[86/6013] SANGUM_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=77.6s, Completed=80/6013, ETA=2025-03-27 03:35:11
[83/6013] INIQUR_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=84.2s, Completed=81/6013, ETA=2025-03-27 03:32:28
[87/6013] XODPUD_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=79.8s, Completed=82/6013, ETA=2025-03-27 03:35:20
[97/6013] WAYMIU_manual_helium_293.0K_0.05bar_14.0 Done. TimeForThis=62.1s, Completed=83/6013, ETA=2025-03-27 03:41:16
[93/6013] YEMTIV_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=76.1s, Completed=84/6013, ETA=2025-03-27 03:44:35
[75/6013] PAHPOG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=122.1s, Completed=85/6013, ETA=2025-03-27 03:41:49
[103/6013] BUNLAZ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=50.9s, Completed=86/6013, ETA=2025-03-27 03:38:47
[98/6013] XUBJAF01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=67.5s, Completed=87/6013, ETA=2025-03-27 03:37:47
[72/6013] HOBGOV_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=133.4s, Completed=88/6013, ETA=2025-03-27 03:35:08
[92/6013] FEFVES_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=84.2s, Completed=89/6013, ETA=2025-03-27 03:32:38
[107/6013] INOVEN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=51.7s, Completed=90/6013, ETA=2025-03-27 03:30:29
[48/6013] LOVLEP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=182.1s, Completed=91/6013, ETA=2025-03-27 03:28:16
[85/6013] WAHREE_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=111.5s, Completed=92/6013, ETA=2025-03-27 03:35:03
[99/6013] IRAJER_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=78.5s, Completed=93/6013, ETA=2025-03-27 03:33:24
[110/6013] KEDJAG18_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=45.3s, Completed=94/6013, ETA=2025-03-27 03:30:41
[112/6013] KECRAL11_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=44.8s, Completed=95/6013, ETA=2025-03-27 03:31:09
[105/6013] HIFGEK_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=70.6s, Completed=96/6013, ETA=2025-03-27 03:30:38
[104/6013] KIYXUN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=79.9s, Completed=97/6013, ETA=2025-03-27 03:37:03
[101/6013] HAKSEU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=90.3s, Completed=98/6013, ETA=2025-03-27 03:35:45
