GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD,MAPE_MEAN,MAPE_STD
Ar,273,0.05,5,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9351511456844225,0.006678058065605018,0.13284537953679984,0.007488941224007471,6.30344158478213,0.354134551479315
Ar,273,0.05,5,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.5362652394503648,0.029918008438573902,0.46660195103981783,0.01788240315992648,31.425900480394695,1.4833988480522908
Ar,273,0.05,5,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.4820325344905677,0.021857247295297182,0.4860799669965442,0.01763041843437031,32.11065718701449,1.2085865227706332
Ar,273,0.05,5,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.5318279057573673,0.03536594213617623,0.4472147095310469,0.019539976893195858,30.28477580409209,1.1739767554862928
Ar,273,0.1,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9489751415362868,0.004040267572753128,0.2569445159779865,0.0060557104636664045,6.672831845087389,0.15456568217420003
Ar,273,0.1,15,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9441064861901826,0.003759755723714499,0.2693023924551573,0.006002166004455043,6.974589166538881,0.14671694311991196
Ar,273,0.1,15,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.944356655262039,0.004374368710485835,0.25593072245172455,0.0075068027647179954,6.616621319604823,0.156304303360734
Ar,273,0.1,15,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.94726612928817,0.006365817045659965,0.2683522772767561,0.009304346680171324,7.356453856573458,0.18150715497808323
Ar,273,0.1,15,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9448104898696441,0.00584172891197008,0.27495254486309584,0.011026479724919125,7.380768310069532,0.24338714177485843
Ar,273,0.1,15,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9424899461957039,0.00562918167468254,0.26797470121109157,0.011856085582495898,7.12503259786043,0.20078339058824954
Ar,273,0.1,15,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.7487052147223331,0.01883128153698225,0.6219096618568779,0.024047556494109983,19.97845106559181,0.7530890482786694
Ar,273,0.1,15,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.7294466905294312,0.017086995021405545,0.6403554059391904,0.022424699039083375,20.358206941652643,0.652721866835017
Ar,273,0.1,15,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.7498821648152786,0.020603758045855004,0.5933429369542796,0.024304544528720294,19.066119436669634,0.7203569087872267
Ar,273,0.1,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9864837767652535,0.002859917071406083,0.0166462608434824,0.000468583053393271,2.9593374070741274,0.0635143928644799
Ar,273,0.1,1,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9855218695651843,0.0019716486913485573,0.015859749877995523,0.0001596179260898683,2.63474311255019,0.024133283339256753
Ar,273,0.1,1,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9845767585423035,0.0018627316026079955,0.015833341737173,0.00047389449574234186,2.5729330008617715,0.05382055411709356
Ar,273,0.1,1,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9735300799007216,0.009196487240035786,0.02608531233807656,0.0022302281027511573,3.865033673251525,0.1487973428347728
Ar,273,0.1,1,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9731353961315383,0.00910844261516124,0.025135687133893258,0.002087854833370099,3.2124476466064813,0.060809395329349016
Ar,273,0.1,1,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9709663843505192,0.008465120087093282,0.02603507636742792,0.0019698592080227024,3.126879087931885,0.056415834973865694
Ar,273,0.1,1,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.3922699828404989,0.0332009696503892,0.2120076051528578,0.006754842406129608,53.26237274804622,3.763035425428226
Ar,273,0.1,1,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.2886773758616358,0.0231654155273406,0.2262396671479896,0.00686375523482149,55.950846720816024,2.9929315206383684
Ar,273,0.1,1,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.3685657712297831,0.04449442572084345,0.20412455695225126,0.0090926384717815,51.37163240194941,2.892822013543875
Ar,273,0.1,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9507081384015524,0.0027413283945549624,0.11138714259185512,0.0030435513585424625,5.561020496690718,0.14504135777794644
Ar,273,0.1,5,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.945569194473966,0.002729134690656928,0.11390532800788593,0.0022667981733316784,5.598483840518014,0.09043115321680173
Ar,273,0.1,5,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9458629950689253,0.0034406509997872824,0.10856421452485135,0.0027497408734127008,5.332146675731804,0.14300972340044144
Ar,273,0.1,5,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9437675564512016,0.008330681022269266,0.1295427123255576,0.006410132064356285,6.5793623889903925,0.30412207723817425
Ar,273,0.1,5,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9379783002724149,0.0075839745119821896,0.13450766099732597,0.006248902413262038,6.563221745956544,0.2862901611038359
Ar,273,0.1,5,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9362103847827227,0.006098419885358793,0.13099209590298197,0.007079112345601175,6.209506984932983,0.34424248015107306
Ar,273,0.1,5,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.5362652394503648,0.029918008438573902,0.46660195103981783,0.01788240315992648,31.425900480394695,1.4833988480522908
Ar,273,0.1,5,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.4820325344905677,0.021857247295297182,0.4860799669965442,0.01763041843437031,32.11065718701449,1.2085865227706332
Ar,273,0.1,5,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.5318279057573673,0.03536594213617623,0.4472147095310469,0.019539976893195858,30.28477580409209,1.1739767554862928
Ar,273,0.5,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9492252532220068,0.0035536896089841527,0.25132701672883706,0.006417409648800764,6.539972427018455,0.12157079421849422
Ar,273,0.5,15,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9460901751189233,0.004055628361518046,0.2589762092153206,0.00857668685170906,6.702765952029617,0.2167866230480245
Ar,273,0.5,15,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9449842061951259,0.003648766658762587,0.2524025373138433,0.005275341704365672,6.533068820684841,0.20508014906833572
Ar,273,0.5,15,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9532347290878065,0.006452098082193424,0.25334176233576944,0.010567854349468246,6.941192756087444,0.2023259265986449
Ar,273,0.5,15,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.951269098214846,0.005889588209749303,0.2600629475987794,0.009974857109465095,6.998444803443836,0.1970399876842335
Ar,273,0.5,15,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9494581960155631,0.00592774250692796,0.2545236849083585,0.010339658310144792,6.769465601016053,0.15499343311919794
