GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,MAPE_MEAN_HIGH_1,MAPE_MEAN_HIGH_5,MAPE_MEAN_HIGH_15,MAPE_STD_HIGH_1,MAPE_STD_HIGH_5,MAPE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
Ar,273,cat,random_with_input__cat_TRAIN_RATIO0.8,0.01,0.9599358588118386,0.9399824598420452,0.9452734382047816,0.0159788062541914,0.0087791570553758,0.0067119909745561,0.0309274582853368,0.1357297724427972,0.275067206232589,0.0026859918076119,0.0067822900353476,0.010046492930475,4.535763704676223,6.9103944730945575,7.543422223903145,0.1743132112485048,0.289653191360418,0.1732448282176989,struct+input,struct+input,struct+input
Ar,273,cat,random_with_input__cat_TRAIN_RATIO0.8,0.05,0.9712590834676522,0.9416947450159132,0.9468928551616572,0.0083553790533066,0.0084638569688456,0.0069807987001549,0.0273272914917185,0.131747354736867,0.2699240464755423,0.0022679137637818,0.0060348313755403,0.011103473181986,4.046878129200956,6.684782850074512,7.406822863547087,0.1960351068424109,0.3143822524407965,0.1947529828846343,struct+input,struct+input,struct+input
Ar,273,cat,random_with_input__cat_TRAIN_RATIO0.8,0.1,0.9735300799007216,0.9437675564512016,0.94726612928817,0.0091964872400357,0.0083306810222692,0.0063658170456599,0.0260853123380765,0.1295427123255576,0.2683522772767561,0.0022302281027511,0.0064101320643562,0.0093043466801713,3.865033673251525,6.5793623889903925,7.356453856573458,0.1487973428347728,0.3041220772381742,0.1815071549780832,struct+input,struct+input,struct+input
Ar,273,cat,random_with_input__cat_TRAIN_RATIO0.8,0.5,0.985716600880701,0.955004409774446,0.9532347290878064,0.0084276891916089,0.007215743176889,0.0064520980821934,0.0164250683203645,0.1153149264220972,0.2533417623357694,0.0009959731660658,0.0058863097439724,0.0105678543494682,2.649693787911572,5.920933347823302,6.941192756087444,0.1695371405115149,0.3145761443514527,0.2023259265986449,struct+input,struct+input,struct+input
Ar,273,cat,random_with_input__cat_TRAIN_RATIO0.8,Henry,0.8852652404456268,0.9316785683780192,0.9477419790503376,0.0118314679493046,0.0069218799243143,0.0059939880101486,0.0495128659020493,0.1387001246435339,0.2639854484310576,0.0021003370260492,0.0052898176659818,0.0107881445101873,8.693732466775,7.102015510664925,7.296061925340291,1.496483609497799,0.3450435203450109,0.2389047239493703,struct+input,struct+input,struct+input
Ar,273,gbm,qt_then_rd__gbm_TRAIN_RATIO0.8,0.01,0.980844318055832,0.9388776263867926,0.9392760299965788,0.0018548033779714,0.0016469149941888,0.0022309881834162,0.0188522654146143,0.1213845867661851,0.2743741778380348,0.0004678003207816,0.0010486936118206,0.003435161111579,3.2932839908448672,6.086537653738147,7.130835274889402,0.0571771360457222,0.0949363672812839,0.1570047371849392,struct+input,struct+input,struct+input
Ar,273,gbm,qt_then_rd__gbm_TRAIN_RATIO0.8,0.05,0.9818780339098664,0.9432612176925176,0.944587806516692,0.0014212831142376,0.002703692480414,0.0028254989734711,0.01688245500532,0.1170314337963025,0.2689406077478834,0.0005121822958326,0.0028371204673704,0.0053077614111454,2.821831558026062,5.797379146754386,6.913631783962359,0.0839654749228716,0.1783903325997786,0.1199538907426819,struct+input,struct+input,struct+input
Ar,273,gbm,qt_then_rd__gbm_TRAIN_RATIO0.8,0.1,0.9855218695651844,0.945569194473966,0.9441064861901826,0.0019716486913485,0.0027291346906569,0.0037597557237144,0.0158597498779955,0.1139053280078859,0.2693023924551573,0.0001596179260898,0.0022667981733316,0.006002166004455,2.63474311255019,5.598483840518014,6.974589166538881,0.0241332833392567,0.0904311532168017,0.1467169431199119,struct+input,struct+input,struct+input
Ar,273,gbm,qt_then_rd__gbm_TRAIN_RATIO0.8,0.5,0.9955977878974976,0.9563207620440386,0.9460901751189232,0.0006172609983643,0.0036664740235112,0.004055628361518,0.0101905666877542,0.1033575843986813,0.2589762092153206,0.0002267072997861,0.00204775116348,0.008576686851709,1.7078695645231818,5.1315174979704405,6.702765952029617,0.0246894182540102,0.1356809810967656,0.2167866230480245,struct+input,struct+input,struct+input
Ar,273,gbm,qt_then_rd__gbm_TRAIN_RATIO0.8,Henry,0.7374479665880587,0.8550395266865287,0.919514181292978,0.0220632329332281,0.0139979628339863,0.0049489495414785,0.0749433942781753,0.2039430766744678,0.3354473099555112,0.0030678760178269,0.0040636497277589,0.0035574776898471,15.431415544331662,11.302192004262032,8.973230672548217,0.5118974144978802,0.2361936069889363,0.0932019270867247,struct+input,struct+input,struct+input
